rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,309243667,9,Mists of Tirna Scithe,2024-11-26T17:53:37.000Z,940402,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Igóóglé,Paladin,Protection,tank,Area 52
1,310,309243667,9,Mists of Tirna Scithe,2024-11-26T17:53:37.000Z,940402,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Sósà,Priest,Discipline,healer,Area 52
1,310,309243667,9,Mists of Tirna Scithe,2024-11-26T17:53:37.000Z,940402,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Unholydeathh,Death Knight,Unholy,dps,Stormrage
1,310,309243667,9,Mists of Tirna Scithe,2024-11-26T17:53:37.000Z,940402,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Bhrisky,Evoker,Augmentation,dps,Illidan
1,310,309243667,9,Mists of Tirna Scithe,2024-11-26T17:53:37.000Z,940402,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Shammendes,Shaman,Enhancement,dps,Tichondrius
2,310,297343769,9,Mists of Tirna Scithe,2024-10-02T22:41:09.000Z,974823,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Kadolin,Paladin,Protection,tank,Dalaran
2,310,297343769,9,Mists of Tirna Scithe,2024-10-02T22:41:09.000Z,974823,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Staystrong,Priest,Discipline,healer,Dalaran
2,310,297343769,9,Mists of Tirna Scithe,2024-10-02T22:41:09.000Z,974823,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Colvera,Evoker,Augmentation,dps,Stormrage
2,310,297343769,9,Mists of Tirna Scithe,2024-10-02T22:41:09.000Z,974823,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Mightyelfo,Mage,Arcane,dps,Dalaran
2,310,297343769,9,Mists of Tirna Scithe,2024-10-02T22:41:09.000Z,974823,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Dalarel,Death Knight,Frost,dps,Dalaran
3,310,309374762,9,Mists of Tirna Scithe,2024-11-27T14:00:43.000Z,987910,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Daemonk,Monk,Mistweaver,healer,Frostmourne
3,310,309374762,9,Mists of Tirna Scithe,2024-11-27T14:00:43.000Z,987910,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Paladeen,Paladin,Protection,tank,Frostmourne
3,310,309374762,9,Mists of Tirna Scithe,2024-11-27T14:00:43.000Z,987910,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Ãddison,Paladin,Retribution,dps,Illidan
3,310,309374762,9,Mists of Tirna Scithe,2024-11-27T14:00:43.000Z,987910,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Darmar,Warrior,Arms,dps,Nagrand
3,310,309374762,9,Mists of Tirna Scithe,2024-11-27T14:00:43.000Z,987910,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Aelyria,Hunter,Beast Mastery,dps,Barthilas
4,310,298461814,9,Mists of Tirna Scithe,2024-10-07T17:42:34.000Z,989701,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Vaxum,Demon Hunter,Havoc,dps,Area 52
4,310,298461814,9,Mists of Tirna Scithe,2024-10-07T17:42:34.000Z,989701,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Vynlin,Paladin,Retribution,dps,Frostmourne
4,310,298461814,9,Mists of Tirna Scithe,2024-10-07T17:42:34.000Z,989701,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Zígzág,Shaman,Restoration,healer,Tichondrius
4,310,298461814,9,Mists of Tirna Scithe,2024-10-07T17:42:34.000Z,989701,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Ustrikka,Death Knight,Blood,tank,Frostmourne
4,310,298461814,9,Mists of Tirna Scithe,2024-10-07T17:42:34.000Z,989701,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Khldk-227795119,Death Knight,Frost,dps,Frostmourne
5,310,309433140,9,Mists of Tirna Scithe,2024-11-27T22:05:36.000Z,997533,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Arlathaan,Paladin,Retribution,dps,Stormrage
5,310,309433140,9,Mists of Tirna Scithe,2024-11-27T22:05:36.000Z,997533,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Nagissa,Demon Hunter,Havoc,dps,Azralon
5,310,309433140,9,Mists of Tirna Scithe,2024-11-27T22:05:36.000Z,997533,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Soulcyy,Mage,Frost,dps,Stormrage
5,310,309433140,9,Mists of Tirna Scithe,2024-11-27T22:05:36.000Z,997533,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Áëgis,Paladin,Protection,tank,Stormrage
5,310,309433140,9,Mists of Tirna Scithe,2024-11-27T22:05:36.000Z,997533,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Nanahcle,Priest,Discipline,healer,Tichondrius
6,310,309380245,9,Mists of Tirna Scithe,2024-11-27T15:07:30.000Z,1009040,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Chomdem,Monk,Windwalker,dps,Kel'Thuzad
6,310,309380245,9,Mists of Tirna Scithe,2024-11-27T15:07:30.000Z,1009040,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Gallywixx,Death Knight,Blood,tank,Stormrage
6,310,309380245,9,Mists of Tirna Scithe,2024-11-27T15:07:30.000Z,1009040,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Itripfatkids,Priest,Discipline,healer,Firetree
6,310,309380245,9,Mists of Tirna Scithe,2024-11-27T15:07:30.000Z,1009040,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Layzair,Mage,Fire,dps,Mal'Ganis
6,310,309380245,9,Mists of Tirna Scithe,2024-11-27T15:07:30.000Z,1009040,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Sucmydotzz,Warlock,Demonology,dps,Stormrage
7,310,309430699,9,Mists of Tirna Scithe,2024-11-27T18:07:13.000Z,1025076,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Nikolaz,Warrior,Protection,tank,Drakkari
7,310,309430699,9,Mists of Tirna Scithe,2024-11-27T18:07:13.000Z,1025076,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Piggeh,Mage,Fire,dps,Stormrage
7,310,309430699,9,Mists of Tirna Scithe,2024-11-27T18:07:13.000Z,1025076,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Gattide,Shaman,Restoration,healer,Illidan
