rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,302859296,9,Siege of Boralus,2024-10-26T08:32:39.000Z,1237084,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",卡卡莉娜,Priest,Holy,healer,Isillien
1,310,302859296,9,Siege of Boralus,2024-10-26T08:32:39.000Z,1237084,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",涂山图图,Warrior,Fury,dps,Isillien
1,310,302859296,9,Siege of Boralus,2024-10-26T08:32:39.000Z,1237084,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",卡卡西索,Shaman,Elemental,dps,Isillien
1,310,302859296,9,Siege of Boralus,2024-10-26T08:32:39.000Z,1237084,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Starimage,Hunter,Survival,dps,Isillien
1,310,302859296,9,Siege of Boralus,2024-10-26T08:32:39.000Z,1237084,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",毛毛巨巨,Paladin,Protection,tank,Al'ar
2,308.6,303428390,9,Siege of Boralus,2024-10-28T16:01:04.000Z,1319173,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",沐沐喵,Priest,Discipline,healer,Shadowmourne
2,308.6,303428390,9,Siege of Boralus,2024-10-28T16:01:04.000Z,1319173,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Huhuhuhuhuhf,Mage,Frost,dps,Shadowmourne
2,308.6,303428390,9,Siege of Boralus,2024-10-28T16:01:04.000Z,1319173,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",過載,Shaman,Enhancement,dps,Shadowmourne
2,308.6,303428390,9,Siege of Boralus,2024-10-28T16:01:04.000Z,1319173,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",汝就是乃,Warrior,Fury,dps,Deathwing
2,308.6,303428390,9,Siege of Boralus,2024-10-28T16:01:04.000Z,1319173,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",月不西沉,Warrior,Protection,tank,Rhonin
3,307.9,303596838,9,Siege of Boralus,2024-10-29T08:56:01.000Z,1360790,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",愁立,Rogue,Outlaw,dps,Eldre'Thalas
3,307.9,303596838,9,Siege of Boralus,2024-10-29T08:56:01.000Z,1360790,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",小宇闪电大王,Shaman,Enhancement,dps,Burning Blade
3,307.9,303596838,9,Siege of Boralus,2024-10-29T08:56:01.000Z,1360790,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",刹那浮华,Paladin,Retribution,dps,Deathwing
3,307.9,303596838,9,Siege of Boralus,2024-10-29T08:56:01.000Z,1360790,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",命里不会有你,Paladin,Protection,tank,Rhonin
3,307.9,303596838,9,Siege of Boralus,2024-10-29T08:56:01.000Z,1360790,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Zyskanon,Priest,Discipline,healer,Grim Batol
4,307.8,303790704,9,Siege of Boralus,2024-10-30T07:09:53.000Z,1362600,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",大天使泰瑞尓,Paladin,Retribution,dps,Eldre'Thalas
4,307.8,303790704,9,Siege of Boralus,2024-10-30T07:09:53.000Z,1362600,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",火柴法,Mage,Frost,dps,Eldre'Thalas
4,307.8,303790704,9,Siege of Boralus,2024-10-30T07:09:53.000Z,1362600,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",丶学长,Paladin,Retribution,dps,Eldre'Thalas
4,307.8,303790704,9,Siege of Boralus,2024-10-30T07:09:53.000Z,1362600,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",小心夹熊饼干,Priest,Discipline,healer,Eldre'Thalas
4,307.8,303790704,9,Siege of Boralus,2024-10-30T07:09:53.000Z,1362600,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",怀言者星夜,Paladin,Protection,tank,Eldre'Thalas
5,307.7,302444662,9,Siege of Boralus,2024-10-24T07:19:31.000Z,1366919,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",如果你追到我,Monk,Brewmaster,tank,Kel'Thuzad
5,307.7,302444662,9,Siege of Boralus,2024-10-24T07:19:31.000Z,1366919,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",我不会咕的,Rogue,Outlaw,dps,Galakrond
5,307.7,302444662,9,Siege of Boralus,2024-10-24T07:19:31.000Z,1366919,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",鱼卡鈤,Paladin,Retribution,dps,Kel'Thuzad
5,307.7,302444662,9,Siege of Boralus,2024-10-24T07:19:31.000Z,1366919,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",欧修缇,Hunter,Marksmanship,dps,Scarlet Crusade
