rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,309.6,307703950,9,Siege of Boralus,2024-11-17T12:16:08.000Z,1264399,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",丨奔波尔灞丨,Mage,Frost,dps,Al'ar
1,309.6,307703950,9,Siege of Boralus,2024-11-17T12:16:08.000Z,1264399,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",紫色防骑,Demon Hunter,Vengeance,tank,Blanchard
1,309.6,307703950,9,Siege of Boralus,2024-11-17T12:16:08.000Z,1264399,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",执念散落冰河,Death Knight,Frost,dps,Deathwing
1,309.6,307703950,9,Siege of Boralus,2024-11-17T12:16:08.000Z,1264399,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",加强奶德,Shaman,Restoration,healer,Al'ar
1,309.6,307703950,9,Siege of Boralus,2024-11-17T12:16:08.000Z,1264399,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",易小戰,Warrior,Arms,dps,Al'ar
2,309.4,308288229,9,Siege of Boralus,2024-11-20T15:10:46.000Z,1275296,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",漫过星星海,Evoker,Augmentation,dps,Silver Hand
2,309.4,308288229,9,Siege of Boralus,2024-11-20T15:10:46.000Z,1275296,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Mqsmovo,Shaman,Enhancement,dps,Burning Blade
2,309.4,308288229,9,Siege of Boralus,2024-11-20T15:10:46.000Z,1275296,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",倔强的朵朵,Paladin,Retribution,dps,Ring of Trials
2,309.4,308288229,9,Siege of Boralus,2024-11-20T15:10:46.000Z,1275296,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",黑兔,Priest,Discipline,healer,Scarlet Crusade
2,309.4,308288229,9,Siege of Boralus,2024-11-20T15:10:46.000Z,1275296,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Harukadk,Death Knight,Blood,tank,Barrens
3,308.9,307148278,9,Siege of Boralus,2024-11-14T12:28:26.000Z,1303175,2070999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",卡哇伊小车,Mage,Frost,dps,Gyth
3,308.9,307148278,9,Siege of Boralus,2024-11-14T12:28:26.000Z,1303175,2070999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",月華劍士,Paladin,Protection,tank,Gyth
3,308.9,307148278,9,Siege of Boralus,2024-11-14T12:28:26.000Z,1303175,2070999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",恶魔丶魂,Warlock,Affliction,dps,Eldre'Thalas
3,308.9,307148278,9,Siege of Boralus,2024-11-14T12:28:26.000Z,1303175,2070999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",丷艾利桑德,Paladin,Retribution,dps,Eldre'Thalas
