rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,301855081,9,Siege of Boralus,2024-10-21T06:21:44.000Z,1072201,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Kkermi,Demon Hunter,Vengeance,tank,Al'ar
1,310,301855081,9,Siege of Boralus,2024-10-21T06:21:44.000Z,1072201,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",獨孤星夜,Paladin,Retribution,dps,Silver Hand
1,310,301855081,9,Siege of Boralus,2024-10-21T06:21:44.000Z,1072201,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",蓝小北,Shaman,Restoration,healer,Al'ar
1,310,301855081,9,Siege of Boralus,2024-10-21T06:21:44.000Z,1072201,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Flareup,Mage,Frost,dps,Azjol-Nerub
1,310,301855081,9,Siege of Boralus,2024-10-21T06:21:44.000Z,1072201,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",哆啦丶,Death Knight,Frost,dps,Silver Hand
2,310,300809526,9,Siege of Boralus,2024-10-17T07:54:53.000Z,1224616,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",狂小昂,Demon Hunter,Havoc,dps,The Great Sea
2,310,300809526,9,Siege of Boralus,2024-10-17T07:54:53.000Z,1224616,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",挤挤总会有滴,Priest,Discipline,healer,Rhonin
2,310,300809526,9,Siege of Boralus,2024-10-17T07:54:53.000Z,1224616,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Hansmage,Mage,Frost,dps,Isillien
2,310,300809526,9,Siege of Boralus,2024-10-17T07:54:53.000Z,1224616,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Theclawsl,Rogue,Assassination,dps,Rhonin
2,310,300809526,9,Siege of Boralus,2024-10-17T07:54:53.000Z,1224616,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",布鲁斯科尔德,Paladin,Protection,tank,Isillien
3,309.7,301919558,9,Siege of Boralus,2024-10-21T16:06:26.000Z,1259468,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",荀彧熊熊,Druid,Guardian,tank,Doomwalker
3,309.7,301919558,9,Siege of Boralus,2024-10-21T16:06:26.000Z,1259468,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",龍贰天,Death Knight,Frost,dps,The Master's Glaive
3,309.7,301919558,9,Siege of Boralus,2024-10-21T16:06:26.000Z,1259468,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",只喝蜜雪冰城,Evoker,Devastation,dps,Al'ar
3,309.7,301919558,9,Siege of Boralus,2024-10-21T16:06:26.000Z,1259468,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",千堆雪丶,Shaman,Elemental,dps,Doomwalker
3,309.7,301919558,9,Siege of Boralus,2024-10-21T16:06:26.000Z,1259468,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",樱桃暴击,Priest,Holy,healer,Shadowmourne
4,309.2,301043768,9,Siege of Boralus,2024-10-18T08:25:26.000Z,1284039,2070999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",鬼斩楼兰,Rogue,Assassination,dps,Anzu
4,309.2,301043768,9,Siege of Boralus,2024-10-18T08:25:26.000Z,1284039,2070999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Cocouncle,Paladin,Retribution,dps,Rhonin
4,309.2,301043768,9,Siege of Boralus,2024-10-18T08:25:26.000Z,1284039,2070999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",红麗,Druid,Restoration,healer,Rhonin
