rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,309.6,306128951,9,Siege of Boralus,2024-11-09T19:52:09.000Z,1262730,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",时机已到,Paladin,Protection,tank,Al'ar
1,309.6,306128951,9,Siege of Boralus,2024-11-09T19:52:09.000Z,1262730,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",丶打弟弟,Hunter,Survival,dps,Al'ar
1,309.6,306128951,9,Siege of Boralus,2024-11-09T19:52:09.000Z,1262730,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",丶昭,Shaman,Restoration,healer,Thousand Needles
1,309.6,306128951,9,Siege of Boralus,2024-11-09T19:52:09.000Z,1262730,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",雪糕真冷呀,Hunter,Survival,dps,The Great Sea
1,309.6,306128951,9,Siege of Boralus,2024-11-09T19:52:09.000Z,1262730,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",咻就完事了,Hunter,Beast Mastery,dps,Deathwing
2,309.6,306296647,9,Siege of Boralus,2024-11-10T12:59:24.000Z,1264440,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",拳王月灼,Monk,Brewmaster,tank,Burning Blade
2,309.6,306296647,9,Siege of Boralus,2024-11-10T12:59:24.000Z,1264440,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Rimururogue,Rogue,Assassination,dps,Burning Blade
2,309.6,306296647,9,Siege of Boralus,2024-11-10T12:59:24.000Z,1264440,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",月弦倚歌,Paladin,Retribution,dps,Silver Hand
2,309.6,306296647,9,Siege of Boralus,2024-11-10T12:59:24.000Z,1264440,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Justicedr,Evoker,Preservation,healer,Shadowmourne
2,309.6,306296647,9,Siege of Boralus,2024-11-10T12:59:24.000Z,1264440,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",迷你月灼,Shaman,Elemental,dps,Burning Blade
3,307.5,306115508,9,Siege of Boralus,2024-11-09T18:47:16.000Z,1381836,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",温柔如初丷,Shaman,Restoration,healer,Silver Hand
3,307.5,306115508,9,Siege of Boralus,2024-11-09T18:47:16.000Z,1381836,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",撕人,Paladin,Protection,tank,Chillwind Point
3,307.5,306115508,9,Siege of Boralus,2024-11-09T18:47:16.000Z,1381836,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",星存,Death Knight,Unholy,dps,Chillwind Point
3,307.5,306115508,9,Siege of Boralus,2024-11-09T18:47:16.000Z,1381836,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",石头的猫,Paladin,Retribution,dps,Burning Blade
3,307.5,306115508,9,Siege of Boralus,2024-11-09T18:47:16.000Z,1381836,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",老紧张张,Warrior,Fury,dps,Chillwind Point
4,307.1,306956189,9,Siege of Boralus,2024-11-13T12:50:58.000Z,1404160,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",容颜易老,Paladin,Protection,tank,Silvermoon
4,307.1,306956189,9,Siege of Boralus,2024-11-13T12:50:58.000Z,1404160,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",半尘烟丶,Shaman,Elemental,dps,Dark Iron
4,307.1,306956189,9,Siege of Boralus,2024-11-13T12:50:58.000Z,1404160,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",顶住就是干,Warlock,Destruction,dps,Silvermoon
4,307.1,306956189,9,Siege of Boralus,2024-11-13T12:50:58.000Z,1404160,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",风火雷电丶,Shaman,Enhancement,dps,Dark Iron
4,307.1,306956189,9,Siege of Boralus,2024-11-13T12:50:58.000Z,1404160,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",圣徒灬天堂,Monk,Mistweaver,healer,Amani
5,306.8,305804432,9,Siege of Boralus,2024-11-08T12:45:29.000Z,1416779,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",葫芦爸巴,Shaman,Restoration,healer,Al'ar
5,306.8,305804432,9,Siege of Boralus,2024-11-08T12:45:29.000Z,1416779,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",小蓝手千乐,Shaman,Enhancement,dps,Rhonin
5,306.8,305804432,9,Siege of Boralus,2024-11-08T12:45:29.000Z,1416779,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",橡皮丶,Demon Hunter,Vengeance,tank,Amani
5,306.8,305804432,9,Siege of Boralus,2024-11-08T12:45:29.000Z,1416779,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",麻辣钵钵鸡,Druid,Balance,dps,Deathwing
5,306.8,305804432,9,Siege of Boralus,2024-11-08T12:45:29.000Z,1416779,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",负二代妈宝,Evoker,Augmentation,dps,Rhonin
6,306.2,305840600,9,Siege of Boralus,2024-11-08T16:57:09.000Z,1451812,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",战哥侠骨,Warrior,Arms,dps,Deathwing
6,306.2,305840600,9,Siege of Boralus,2024-11-08T16:57:09.000Z,1451812,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",非鬼亦非仙,Death Knight,Frost,dps,Moonglade
6,306.2,305840600,9,Siege of Boralus,2024-11-08T16:57:09.000Z,1451812,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",超神的白喵,Shaman,Enhancement,dps,Deathwing
6,306.2,305840600,9,Siege of Boralus,2024-11-08T16:57:09.000Z,1451812,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",深情祖師爺,Paladin,Protection,tank,Deathwing
6,306.2,305840600,9,Siege of Boralus,2024-11-08T16:57:09.000Z,1451812,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",丶冰红茶丨,Priest,Discipline,healer,Deathwing
7,306,305850443,9,Siege of Boralus,2024-11-08T18:08:09.000Z,1463106,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Krices,Hunter,Survival,dps,Frostmane
7,306,305850443,9,Siege of Boralus,2024-11-08T18:08:09.000Z,1463106,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",欧买噶德侠,Paladin,Retribution,dps,Al'ar
7,306,305850443,9,Siege of Boralus,2024-11-08T18:08:09.000Z,1463106,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",蟑嘴痴史,Priest,Discipline,healer,Frostmane
7,306,305850443,9,Siege of Boralus,2024-11-08T18:08:09.000Z,1463106,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",圣光丁真,Paladin,Retribution,dps,Frostmane
7,306,305850443,9,Siege of Boralus,2024-11-08T18:08:09.000Z,1463106,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",幸运小红手,Death Knight,Blood,tank,Frostmane
8,305.8,305616839,9,Siege of Boralus,2024-11-07T11:29:03.000Z,1477012,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",怀梦美少女,Shaman,Enhancement,dps,Deathwing
8,305.8,305616839,9,Siege of Boralus,2024-11-07T11:29:03.000Z,1477012,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",茨艾菜丶,Shaman,Restoration,healer,Burning Blade
8,305.8,305616839,9,Siege of Boralus,2024-11-07T11:29:03.000Z,1477012,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",马冬西丶,Paladin,Protection,tank,Burning Blade
8,305.8,305616839,9,Siege of Boralus,2024-11-07T11:29:03.000Z,1477012,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",快救救青槿丶,Hunter,Survival,dps,Rhonin
8,305.8,305616839,9,Siege of Boralus,2024-11-07T11:29:03.000Z,1477012,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",情人令我困倦,Paladin,Retribution,dps,Deathwing
9,305.7,306526938,9,Siege of Boralus,2024-11-11T10:57:34.000Z,1477982,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",二手牧,Priest,Discipline,healer,Al'ar
9,305.7,306526938,9,Siege of Boralus,2024-11-11T10:57:34.000Z,1477982,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",小翔向前冲丶,Warrior,Protection,tank,Rhonin
9,305.7,306526938,9,Siege of Boralus,2024-11-11T10:57:34.000Z,1477982,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",窗外下雨了,Paladin,Retribution,dps,Burning Blade
9,305.7,306526938,9,Siege of Boralus,2024-11-11T10:57:34.000Z,1477982,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",山雨初晴,Shaman,Enhancement,dps,Thunder Axe Fortress
9,305.7,306526938,9,Siege of Boralus,2024-11-11T10:57:34.000Z,1477982,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",猿神启动,Death Knight,Unholy,dps,Anetheron
10,305.6,306943980,9,Siege of Boralus,2024-11-13T10:15:02.000Z,1486501,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",耶巴弟,Warrior,Protection,tank,Burning Blade
10,305.6,306943980,9,Siege of Boralus,2024-11-13T10:15:02.000Z,1486501,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",丶志酱,Shaman,Restoration,healer,Silver Hand
10,305.6,306943980,9,Siege of Boralus,2024-11-13T10:15:02.000Z,1486501,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",拂晓利剑,Paladin,Retribution,dps,The Master's Glaive
10,305.6,306943980,9,Siege of Boralus,2024-11-13T10:15:02.000Z,1486501,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",打出血丶,Hunter,Survival,dps,Gnomeregan
10,305.6,306943980,9,Siege of Boralus,2024-11-13T10:15:02.000Z,1486501,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Plws,Paladin,Retribution,dps,Scarlet Crusade
11,305.4,306816128,9,Siege of Boralus,2024-11-12T19:33:43.000Z,1499116,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",溅血之鳞,Paladin,Protection,tank,Valley of Kings
11,305.4,306816128,9,Siege of Boralus,2024-11-12T19:33:43.000Z,1499116,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",阴险的丢丢,Rogue,Assassination,dps,Argus
