rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,309.8,298388435,9,Siege of Boralus,2024-10-07T07:19:43.000Z,1254176,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",天气不错丶,Paladin,Retribution,dps,Swiftwind
1,309.8,298388435,9,Siege of Boralus,2024-10-07T07:19:43.000Z,1254176,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",阿黑睡不着,Demon Hunter,Vengeance,tank,Swiftwind
1,309.8,298388435,9,Siege of Boralus,2024-10-07T07:19:43.000Z,1254176,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",是水饺呀,Hunter,Survival,dps,Valley of Kings
1,309.8,298388435,9,Siege of Boralus,2024-10-07T07:19:43.000Z,1254176,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",小舒不想输,Paladin,Retribution,dps,Feathermoon
1,309.8,298388435,9,Siege of Boralus,2024-10-07T07:19:43.000Z,1254176,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",空腹不能充电,Shaman,Restoration,healer,Isillien
2,309.3,297866350,9,Siege of Boralus,2024-10-06T07:38:43.000Z,1281509,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",苟斯特菲斯,Death Knight,Frost,dps,Shadowmourne
2,309.3,297866350,9,Siege of Boralus,2024-10-06T07:38:43.000Z,1281509,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",画船,Demon Hunter,Vengeance,tank,The Forgotten Coast
2,309.3,297866350,9,Siege of Boralus,2024-10-06T07:38:43.000Z,1281509,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Meraxes,Evoker,Preservation,healer,The Forgotten Coast
2,309.3,297866350,9,Siege of Boralus,2024-10-06T07:38:43.000Z,1281509,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",出现又离开丶,Mage,Fire,dps,Scarlet Crusade
2,309.3,297866350,9,Siege of Boralus,2024-10-06T07:38:43.000Z,1281509,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",哎丶别怕我在,Paladin,Retribution,dps,Silver Hand
3,308.6,298636870,9,Siege of Boralus,2024-10-08T13:35:44.000Z,1317547,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",牧冬,Mage,Frost,dps,Deathwing
3,308.6,298636870,9,Siege of Boralus,2024-10-08T13:35:44.000Z,1317547,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",薯片灬,Shaman,Restoration,healer,Barrens
3,308.6,298636870,9,Siege of Boralus,2024-10-08T13:35:44.000Z,1317547,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",二晴,Death Knight,Unholy,dps,Barrens
3,308.6,298636870,9,Siege of Boralus,2024-10-08T13:35:44.000Z,1317547,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",哈哟哟呐,Evoker,Augmentation,dps,Barrens
3,308.6,298636870,9,Siege of Boralus,2024-10-08T13:35:44.000Z,1317547,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",阿喵萌德二号,Druid,Guardian,tank,Barrens
4,306.9,298609222,9,Siege of Boralus,2024-10-08T09:10:01.000Z,1415534,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",我星期日没空,Shaman,Enhancement,dps,Silver Hand
4,306.9,298609222,9,Siege of Boralus,2024-10-08T09:10:01.000Z,1415534,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",火柴法,Mage,Fire,dps,Eldre'Thalas
4,306.9,298609222,9,Siege of Boralus,2024-10-08T09:10:01.000Z,1415534,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",烟火年年,Paladin,Retribution,dps,Eldre'Thalas
4,306.9,298609222,9,Siege of Boralus,2024-10-08T09:10:01.000Z,1415534,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",非酋的阿昆达,Death Knight,Blood,tank,Eldre'Thalas
4,306.9,298609222,9,Siege of Boralus,2024-10-08T09:10:01.000Z,1415534,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",丶雪仗,Shaman,Restoration,healer,Eldre'Thalas
5,306.8,297789520,9,Siege of Boralus,2024-10-05T08:53:22.000Z,1420765,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",羊羊爱吃魚,Hunter,Marksmanship,dps,Al'ar
5,306.8,297789520,9,Siege of Boralus,2024-10-05T08:53:22.000Z,1420765,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",胖黑黑,Death Knight,Frost,dps,Al'ar
5,306.8,297789520,9,Siege of Boralus,2024-10-05T08:53:22.000Z,1420765,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",一只奶熊,Shaman,Restoration,healer,Al'ar
5,306.8,297789520,9,Siege of Boralus,2024-10-05T08:53:22.000Z,1420765,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Hoyomaster,Druid,Guardian,tank,Silver Hand
5,306.8,297789520,9,Siege of Boralus,2024-10-05T08:53:22.000Z,1420765,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",深夜消失之前,Rogue,Assassination,dps,Emerald Dream
6,306.5,298381708,9,Siege of Boralus,2024-10-07T06:04:35.000Z,1438616,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",榆落无情,Hunter,Marksmanship,dps,Frostmane
6,306.5,298381708,9,Siege of Boralus,2024-10-07T06:04:35.000Z,1438616,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Io,Warrior,Protection,tank,Frostmane
6,306.5,298381708,9,Siege of Boralus,2024-10-07T06:04:35.000Z,1438616,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",奶奶助我,Shaman,Restoration,healer,Frostmane
6,306.5,298381708,9,Siege of Boralus,2024-10-07T06:04:35.000Z,1438616,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",孤冬来了,Death Knight,Frost,dps,Frostmane
6,306.5,298381708,9,Siege of Boralus,2024-10-07T06:04:35.000Z,1438616,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",快推我一把,Death Knight,Frost,dps,Al'ar
7,306.4,297673802,9,Siege of Boralus,2024-10-04T19:22:52.000Z,1439334,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Nigihayami,Evoker,Devastation,dps,Deathwing
7,306.4,297673802,9,Siege of Boralus,2024-10-04T19:22:52.000Z,1439334,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Soledh,Demon Hunter,Vengeance,tank,Al'ar
7,306.4,297673802,9,Siege of Boralus,2024-10-04T19:22:52.000Z,1439334,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",爱讲话的牛至,Warrior,Fury,dps,Barrens
7,306.4,297673802,9,Siege of Boralus,2024-10-04T19:22:52.000Z,1439334,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",白牛不白,Shaman,Restoration,healer,Blanchard
7,306.4,297673802,9,Siege of Boralus,2024-10-04T19:22:52.000Z,1439334,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",低迟俟雨,Rogue,Outlaw,dps,Burning Blade
8,306.4,297514082,9,Siege of Boralus,2024-10-04T00:28:28.000Z,1441983,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",听凭风引,Shaman,Elemental,dps,Grim Batol
8,306.4,297514082,9,Siege of Boralus,2024-10-04T00:28:28.000Z,1441983,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",灿老大丶,Druid,Guardian,tank,Burning Blade
8,306.4,297514082,9,Siege of Boralus,2024-10-04T00:28:28.000Z,1441983,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Iconoclast,Rogue,Assassination,dps,Deathwing
8,306.4,297514082,9,Siege of Boralus,2024-10-04T00:28:28.000Z,1441983,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",彼得很,Death Knight,Frost,dps,Shadowmourne
8,306.4,297514082,9,Siege of Boralus,2024-10-04T00:28:28.000Z,1441983,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",汤晓晓,Shaman,Restoration,healer,Itharius
9,306.1,298387138,9,Siege of Boralus,2024-10-07T08:13:29.000Z,1458686,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",胖圈圏,Shaman,Restoration,healer,Al'ar
9,306.1,298387138,9,Siege of Boralus,2024-10-07T08:13:29.000Z,1458686,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",图图的裂蹄牛,Warrior,Protection,tank,Silver Hand
9,306.1,298387138,9,Siege of Boralus,2024-10-07T08:13:29.000Z,1458686,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",超酷小猪,Mage,Fire,dps,Al'ar
9,306.1,298387138,9,Siege of Boralus,2024-10-07T08:13:29.000Z,1458686,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",奶修修,Priest,Shadow,dps,Silver Hand
