rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,302208945,9,Siege of Boralus,2024-10-27T20:41:09.000Z,1117680,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Nasuí,Paladin,Protection,tank,Draenor
1,310,302208945,9,Siege of Boralus,2024-10-27T20:41:09.000Z,1117680,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Garradan,Warrior,Fury,dps,Tarren Mill
1,310,302208945,9,Siege of Boralus,2024-10-27T20:41:09.000Z,1117680,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Vusham,Shaman,Restoration,healer,Tarren Mill
1,310,302208945,9,Siege of Boralus,2024-10-27T20:41:09.000Z,1117680,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Showmemoon,Druid,Balance,dps,Silvermoon
1,310,302208945,9,Siege of Boralus,2024-10-27T20:41:09.000Z,1117680,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Losmidk,Death Knight,Frost,dps,Tarren Mill
2,310,302523366,9,Siege of Boralus,2024-10-24T17:47:41.000Z,1124475,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Krawallbiene,Monk,Mistweaver,healer,Azshara
2,310,302523366,9,Siege of Boralus,2024-10-24T17:47:41.000Z,1124475,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Jyx,Hunter,Survival,dps,Azshara
2,310,302523366,9,Siege of Boralus,2024-10-24T17:47:41.000Z,1124475,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Holycarrier,Paladin,Protection,tank,Tarren Mill
2,310,302523366,9,Siege of Boralus,2024-10-24T17:47:41.000Z,1124475,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Azebots,Shaman,Elemental,dps,Tarren Mill
2,310,302523366,9,Siege of Boralus,2024-10-24T17:47:41.000Z,1124475,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Djgracey,Rogue,Assassination,dps,Stormscale
3,310,302743541,9,Siege of Boralus,2024-10-25T13:15:21.000Z,1164081,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Fakssham,Shaman,Elemental,dps,Kazzak
3,310,302743541,9,Siege of Boralus,2024-10-25T13:15:21.000Z,1164081,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Alacarda,Rogue,Assassination,dps,Draenor
3,310,302743541,9,Siege of Boralus,2024-10-25T13:15:21.000Z,1164081,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Monksite,Monk,Windwalker,dps,Kazzak
3,310,302743541,9,Siege of Boralus,2024-10-25T13:15:21.000Z,1164081,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Heallover,Paladin,Holy,healer,Kazzak
3,310,302743541,9,Siege of Boralus,2024-10-25T13:15:21.000Z,1164081,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Yhalpw,Warrior,Protection,tank,Kazzak
4,310,302588904,9,Siege of Boralus,2024-10-25T00:38:05.000Z,1178424,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Amandathul,Paladin,Retribution,dps,Tarren Mill
