rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,307383618,9,Siege of Boralus,2024-11-15T20:50:47.000Z,1077451,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Incredibadz,Rogue,Assassination,dps,Ravencrest
1,310,307383618,9,Siege of Boralus,2024-11-15T20:50:47.000Z,1077451,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Veldonav,Shaman,Restoration,healer,Silvermoon
1,310,307383618,9,Siege of Boralus,2024-11-15T20:50:47.000Z,1077451,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Káel,Paladin,Retribution,dps,Kazzak
1,310,307383618,9,Siege of Boralus,2024-11-15T20:50:47.000Z,1077451,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Sayadin,Paladin,Protection,tank,Kazzak
1,310,307383618,9,Siege of Boralus,2024-11-15T20:50:47.000Z,1077451,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Majstorarsa,Rogue,Assassination,dps,The Maelstrom
2,310,307587912,9,Siege of Boralus,2024-11-16T21:23:10.000Z,1129446,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Yuffle,Monk,Mistweaver,healer,Silvermoon
2,310,307587912,9,Siege of Boralus,2024-11-16T21:23:10.000Z,1129446,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Tenderice,Death Knight,Frost,dps,Tarren Mill
2,310,307587912,9,Siege of Boralus,2024-11-16T21:23:10.000Z,1129446,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Tyzone,Paladin,Protection,tank,Tarren Mill
2,310,307587912,9,Siege of Boralus,2024-11-16T21:23:10.000Z,1129446,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Barkforbuffs,Evoker,Augmentation,dps,Tarren Mill
2,310,307587912,9,Siege of Boralus,2024-11-16T21:23:10.000Z,1129446,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Appys,Shaman,Enhancement,dps,Tarren Mill
3,310,306967639,9,Siege of Boralus,2024-11-13T14:23:45.000Z,1139995,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Larkriy,Rogue,Assassination,dps,Tarren Mill
3,310,306967639,9,Siege of Boralus,2024-11-13T14:23:45.000Z,1139995,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Mortalat,Mage,Arcane,dps,Tarren Mill
3,310,306967639,9,Siege of Boralus,2024-11-13T14:23:45.000Z,1139995,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Dretchx,Evoker,Devastation,dps,Antonidas
3,310,306967639,9,Siege of Boralus,2024-11-13T14:23:45.000Z,1139995,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Miragtail,Shaman,Restoration,healer,Blackmoore
3,310,306967639,9,Siege of Boralus,2024-11-13T14:23:45.000Z,1139995,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Shifu,Monk,Brewmaster,tank,Wildhammer
4,310,307633427,9,Siege of Boralus,2024-11-17T01:39:47.000Z,1140484,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Ascendance,Shaman,Restoration,healer,Stormscale
4,310,307633427,9,Siege of Boralus,2024-11-17T01:39:47.000Z,1140484,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Vasiljka,Paladin,Retribution,dps,Sylvanas
4,310,307633427,9,Siege of Boralus,2024-11-17T01:39:47.000Z,1140484,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Tyrann,Paladin,Protection,tank,Stormscale
4,310,307633427,9,Siege of Boralus,2024-11-17T01:39:47.000Z,1140484,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Royjónesjr-228423922,Warrior,Fury,dps,Ravencrest
4,310,307633427,9,Siege of Boralus,2024-11-17T01:39:47.000Z,1140484,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Woömy,Druid,Balance,dps,Draenor
5,310,307927372,9,Siege of Boralus,2024-11-18T15:20:30.000Z,1156490,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Zapxzo,Paladin,Protection,tank,Ragnaros
5,310,307927372,9,Siege of Boralus,2024-11-18T15:20:30.000Z,1156490,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Wingws,Evoker,Augmentation,dps,Silvermoon
5,310,307927372,9,Siege of Boralus,2024-11-18T15:20:30.000Z,1156490,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Arvenuwu,Paladin,Retribution,dps,Silvermoon
5,310,307927372,9,Siege of Boralus,2024-11-18T15:20:30.000Z,1156490,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Joshyis,Shaman,Enhancement,dps,Ragnaros
5,310,307927372,9,Siege of Boralus,2024-11-18T15:20:30.000Z,1156490,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Yöruichi,Priest,Discipline,healer,Silvermoon
6,310,308119079,9,Siege of Boralus,2024-11-19T09:21:20.000Z,1156592,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Dampfdruck,Monk,Mistweaver,healer,Blackrock
6,310,308119079,9,Siege of Boralus,2024-11-19T09:21:20.000Z,1156592,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Dubstepbro,Shaman,Enhancement,dps,Tarren Mill
6,310,308119079,9,Siege of Boralus,2024-11-19T09:21:20.000Z,1156592,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Cringleberry,Rogue,Assassination,dps,Twisting Nether
6,310,308119079,9,Siege of Boralus,2024-11-19T09:21:20.000Z,1156592,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Jobbý,Paladin,Protection,tank,Draenor
6,310,308119079,9,Siege of Boralus,2024-11-19T09:21:20.000Z,1156592,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Llauron,Hunter,Survival,dps,Vol'jin
7,310,307821299,9,Siege of Boralus,2024-11-17T23:03:15.000Z,1160836,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Palapaula,Paladin,Protection,tank,Blackhand
7,310,307821299,9,Siege of Boralus,2024-11-17T23:03:15.000Z,1160836,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Casè,Rogue,Assassination,dps,Blackhand
7,310,307821299,9,Siege of Boralus,2024-11-17T23:03:15.000Z,1160836,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Spotiee,Paladin,Retribution,dps,Blackrock
7,310,307821299,9,Siege of Boralus,2024-11-17T23:03:15.000Z,1160836,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Klude,Shaman,Restoration,healer,Eredar
7,310,307821299,9,Siege of Boralus,2024-11-17T23:03:15.000Z,1160836,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Jâdes,Shaman,Enhancement,dps,Blackrock
8,310,308086372,9,Siege of Boralus,2024-11-19T11:49:01.000Z,1164173,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Windfuhrerr,Shaman,Enhancement,dps,Stormscale
8,310,308086372,9,Siege of Boralus,2024-11-19T11:49:01.000Z,1164173,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Huntersnus,Hunter,Survival,dps,Silvermoon
8,310,308086372,9,Siege of Boralus,2024-11-19T11:49:01.000Z,1164173,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Zugly,Priest,Discipline,healer,Antonidas
8,310,308086372,9,Siege of Boralus,2024-11-19T11:49:01.000Z,1164173,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Probepala,Paladin,Protection,tank,Stormscale
