rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,309317830,9,Siege of Boralus,2024-11-26T21:44:50.000Z,1130894,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Blockerleet,Hunter,Survival,dps,Kazzak
1,310,309317830,9,Siege of Boralus,2024-11-26T21:44:50.000Z,1130894,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Neurojudge,Paladin,Protection,tank,Tarren Mill
1,310,309317830,9,Siege of Boralus,2024-11-26T21:44:50.000Z,1130894,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Xyzasd,Evoker,Augmentation,dps,Kazzak
1,310,309317830,9,Siege of Boralus,2024-11-26T21:44:50.000Z,1130894,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Whatthedmg,Shaman,Enhancement,dps,Outland
1,310,309317830,9,Siege of Boralus,2024-11-26T21:44:50.000Z,1130894,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Cerko,Priest,Discipline,healer,Twisting Nether
2,310,308650697,9,Siege of Boralus,2024-11-22T23:06:28.000Z,1156030,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Дарксоулфеар,Priest,Discipline,healer,Howling Fjord
2,310,308650697,9,Siege of Boralus,2024-11-22T23:06:28.000Z,1156030,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Inchy,Paladin,Protection,tank,Die ewige Wacht
2,310,308650697,9,Siege of Boralus,2024-11-22T23:06:28.000Z,1156030,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Finos,Warrior,Arms,dps,Thrall
2,310,308650697,9,Siege of Boralus,2024-11-22T23:06:28.000Z,1156030,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Stlch,Rogue,Assassination,dps,Thrall
2,310,308650697,9,Siege of Boralus,2024-11-22T23:06:28.000Z,1156030,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Krakosh,Hunter,Survival,dps,Blackrock
3,310,308623595,9,Siege of Boralus,2024-11-22T20:21:54.000Z,1157030,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Semíevoker,Evoker,Augmentation,dps,Tarren Mill
3,310,308623595,9,Siege of Boralus,2024-11-22T20:21:54.000Z,1157030,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Mirabell,Priest,Holy,healer,Dun Modr
3,310,308623595,9,Siege of Boralus,2024-11-22T20:21:54.000Z,1157030,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Djakelong,Hunter,Survival,dps,Tarren Mill
3,310,308623595,9,Siege of Boralus,2024-11-22T20:21:54.000Z,1157030,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Coozpala,Paladin,Protection,tank,Tarren Mill
3,310,308623595,9,Siege of Boralus,2024-11-22T20:21:54.000Z,1157030,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Shockingnews,Shaman,Enhancement,dps,Tarren Mill
4,310,295366196,9,Siege of Boralus,2024-09-25T23:31:25.000Z,1179357,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Tændrør-30981549,Warrior,Protection,tank,Draenor
4,310,295366196,9,Siege of Boralus,2024-09-25T23:31:25.000Z,1179357,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Youngturbo,Demon Hunter,Havoc,dps,Antonidas
4,310,295366196,9,Siege of Boralus,2024-09-25T23:31:25.000Z,1179357,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Môrtie-201636563,Shaman,Restoration,healer,Blackhand
4,310,295366196,9,Siege of Boralus,2024-09-25T23:31:25.000Z,1179357,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Repláy,Paladin,Retribution,dps,Blackrock
4,310,295366196,9,Siege of Boralus,2024-09-25T23:31:25.000Z,1179357,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Icynarko,Shaman,Enhancement,dps,Draenor
5,310,309101489,9,Siege of Boralus,2024-11-25T17:46:51.000Z,1181878,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Nâpster,Paladin,Protection,tank,Thrall
5,310,309101489,9,Siege of Boralus,2024-11-25T17:46:51.000Z,1181878,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Watchmebron,Paladin,Retribution,dps,Mal'Ganis
5,310,309101489,9,Siege of Boralus,2024-11-25T17:46:51.000Z,1181878,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Urós,Warrior,Fury,dps,Thrall
5,310,309101489,9,Siege of Boralus,2024-11-25T17:46:51.000Z,1181878,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Crûnchêr,Hunter,Survival,dps,Blackmoore
5,310,309101489,9,Siege of Boralus,2024-11-25T17:46:51.000Z,1181878,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Munjio,Shaman,Restoration,healer,Eredar
6,310,308409696,9,Siege of Boralus,2024-11-21T09:58:07.000Z,1189609,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Nikkeo,Druid,Balance,dps,Tarren Mill
6,310,308409696,9,Siege of Boralus,2024-11-21T09:58:07.000Z,1189609,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Kkqdh,Demon Hunter,Havoc,dps,Tarren Mill
6,310,308409696,9,Siege of Boralus,2024-11-21T09:58:07.000Z,1189609,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Shadoppler,Priest,Discipline,healer,Shen'dralar
6,310,308409696,9,Siege of Boralus,2024-11-21T09:58:07.000Z,1189609,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Ylerias,Rogue,Assassination,dps,Twisting Nether
6,310,308409696,9,Siege of Boralus,2024-11-21T09:58:07.000Z,1189609,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Holytana,Paladin,Protection,tank,Silvermoon
7,310,295526482,9,Siege of Boralus,2024-09-26T10:46:30.000Z,1190777,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Kraidysh,Shaman,Enhancement,dps,Blackmoore
7,310,295526482,9,Siege of Boralus,2024-09-26T10:46:30.000Z,1190777,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Ssøomnini,Priest,Discipline,healer,Hyjal
7,310,295526482,9,Siege of Boralus,2024-09-26T10:46:30.000Z,1190777,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Aedex,Rogue,Assassination,dps,Blackrock
7,310,295526482,9,Siege of Boralus,2024-09-26T10:46:30.000Z,1190777,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Talíssad,Druid,Balance,dps,Blackrock
7,310,295526482,9,Siege of Boralus,2024-09-26T10:46:30.000Z,1190777,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Swyypedh,Demon Hunter,Vengeance,tank,Blackrock
8,310,295176139,9,Siege of Boralus,2024-09-25T12:31:38.000Z,1192911,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Rycnhuh,Priest,Discipline,healer,Tarren Mill
8,310,295176139,9,Siege of Boralus,2024-09-25T12:31:38.000Z,1192911,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Xerwoba,Warlock,Destruction,dps,Tarren Mill
8,310,295176139,9,Siege of Boralus,2024-09-25T12:31:38.000Z,1192911,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Revvezt,Warrior,Fury,dps,Tarren Mill
8,310,295176139,9,Siege of Boralus,2024-09-25T12:31:38.000Z,1192911,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Kushininja-226496646,Rogue,Assassination,dps,Tarren Mill
8,310,295176139,9,Siege of Boralus,2024-09-25T12:31:38.000Z,1192911,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Miniaug,Death Knight,Blood,tank,Tarren Mill
9,310,308947115,9,Siege of Boralus,2024-11-24T16:11:30.000Z,1194431,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Fíøna,Monk,Mistweaver,healer,Thrall
9,310,308947115,9,Siege of Boralus,2024-11-24T16:11:30.000Z,1194431,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Драктерис,Evoker,Augmentation,dps,Howling Fjord
9,310,308947115,9,Siege of Boralus,2024-11-24T16:11:30.000Z,1194431,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Imortalguard,Paladin,Protection,tank,Draenor
9,310,308947115,9,Siege of Boralus,2024-11-24T16:11:30.000Z,1194431,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Gortz,Rogue,Assassination,dps,Stormscale
9,310,308947115,9,Siege of Boralus,2024-11-24T16:11:30.000Z,1194431,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Teltelsham,Shaman,Enhancement,dps,Kazzak
10,310,309349381,9,Siege of Boralus,2024-11-26T00:46:39.000Z,1196356,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Iamrektum,Druid,Balance,dps,Tarren Mill
10,310,309349381,9,Siege of Boralus,2024-11-26T00:46:39.000Z,1196356,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Sf,Death Knight,Frost,dps,Blackhand
10,310,309349381,9,Siege of Boralus,2024-11-26T00:46:39.000Z,1196356,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Plumer,Paladin,Protection,tank,Draenor
10,310,309349381,9,Siege of Boralus,2024-11-26T00:46:39.000Z,1196356,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Moobaccaa,Shaman,Restoration,healer,Silvermoon
10,310,309349381,9,Siege of Boralus,2024-11-26T00:46:39.000Z,1196356,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Quality,Warrior,Fury,dps,Ysondre
11,310,309131241,9,Siege of Boralus,2024-11-25T17:39:07.000Z,1199129,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Boatteng,Paladin,Protection,tank,Stormscale
11,310,309131241,9,Siege of Boralus,2024-11-25T17:39:07.000Z,1199129,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Lvreshiram,Shaman,Restoration,healer,Ragnaros
11,310,309131241,9,Siege of Boralus,2024-11-25T17:39:07.000Z,1199129,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Feind,Rogue,Assassination,dps,Drak'thul
11,310,309131241,9,Siege of Boralus,2024-11-25T17:39:07.000Z,1199129,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Yomsi,Shaman,Elemental,dps,Kazzak
11,310,309131241,9,Siege of Boralus,2024-11-25T17:39:07.000Z,1199129,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Turuturu,Death Knight,Frost,dps,Twisting Nether
12,310,308514786,9,Siege of Boralus,2024-11-21T21:20:10.000Z,1205483,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Sloundy,Shaman,Enhancement,dps,Stormreaver
