rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,306324401,9,Siege of Boralus,2024-11-10T15:22:19.000Z,1114409,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Babop,Paladin,Protection,tank,Draenor
1,310,306324401,9,Siege of Boralus,2024-11-10T15:22:19.000Z,1114409,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Chargebøt,Warrior,Fury,dps,Blackhand
1,310,306324401,9,Siege of Boralus,2024-11-10T15:22:19.000Z,1114409,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Akorsa,Hunter,Survival,dps,Draenor
1,310,306324401,9,Siege of Boralus,2024-11-10T15:22:19.000Z,1114409,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Grÿmz,Shaman,Enhancement,dps,Marécage de Zangar
1,310,306324401,9,Siege of Boralus,2024-11-10T15:22:19.000Z,1114409,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Dauspause,Priest,Discipline,healer,Draenor
2,310,306508083,9,Siege of Boralus,2024-11-11T07:09:35.000Z,1148885,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Sierrasek,Priest,Discipline,healer,Burning Legion
2,310,306508083,9,Siege of Boralus,2024-11-11T07:09:35.000Z,1148885,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Retrimode,Paladin,Retribution,dps,Silvermoon
2,310,306508083,9,Siege of Boralus,2024-11-11T07:09:35.000Z,1148885,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Unforgivin,Druid,Balance,dps,Kazzak
2,310,306508083,9,Siege of Boralus,2024-11-11T07:09:35.000Z,1148885,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Toibenias,Paladin,Protection,tank,Trollbane
2,310,306508083,9,Siege of Boralus,2024-11-11T07:09:35.000Z,1148885,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Maelstromaik,Shaman,Enhancement,dps,Blackmoore
