rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,309365566,9,Siege of Boralus,2024-11-27T12:34:54.000Z,1086487,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Krâkenh,Shaman,Enhancement,dps,Dethecus
1,310,309365566,9,Siege of Boralus,2024-11-27T12:34:54.000Z,1086487,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Titchii,Rogue,Outlaw,dps,Silvermoon
1,310,309365566,9,Siege of Boralus,2024-11-27T12:34:54.000Z,1086487,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Riju,Paladin,Retribution,dps,Mannoroth
1,310,309365566,9,Siege of Boralus,2024-11-27T12:34:54.000Z,1086487,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Vartulo,Shaman,Restoration,healer,Tarren Mill
1,310,309365566,9,Siege of Boralus,2024-11-27T12:34:54.000Z,1086487,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Peludinz,Paladin,Protection,tank,Sanguino
2,310,297990514,9,Siege of Boralus,2024-10-05T19:28:34.000Z,1142463,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Свонтилол,Shaman,Elemental,dps,Howling Fjord
2,310,297990514,9,Siege of Boralus,2024-10-05T19:28:34.000Z,1142463,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Màrshálli,Evoker,Preservation,healer,Silvermoon
2,310,297990514,9,Siege of Boralus,2024-10-05T19:28:34.000Z,1142463,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Tendari,Mage,Fire,dps,Sylvanas
2,310,297990514,9,Siege of Boralus,2024-10-05T19:28:34.000Z,1142463,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Sacredx,Paladin,Protection,tank,Silvermoon
2,310,297990514,9,Siege of Boralus,2024-10-05T19:28:34.000Z,1142463,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Мистертишман,Shaman,Elemental,dps,Howling Fjord
3,310,309361153,9,Siege of Boralus,2024-11-27T10:43:06.000Z,1150901,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Fîxor,Monk,Brewmaster,tank,Kazzak
3,310,309361153,9,Siege of Boralus,2024-11-27T10:43:06.000Z,1150901,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Kinosha,Warrior,Fury,dps,Kazzak
3,310,309361153,9,Siege of Boralus,2024-11-27T10:43:06.000Z,1150901,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Ougie,Paladin,Holy,healer,Tarren Mill
3,310,309361153,9,Siege of Boralus,2024-11-27T10:43:06.000Z,1150901,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Бипоолярочка,Mage,Frost,dps,Howling Fjord
3,310,309361153,9,Siege of Boralus,2024-11-27T10:43:06.000Z,1150901,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Thorwayn,Paladin,Retribution,dps,Eredar
