rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,307501246,9,Siege of Boralus,2024-11-16T10:10:17.000Z,1241484,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",殺手文,Demon Hunter,Havoc,dps,Chillwind Point
1,310,307501246,9,Siege of Boralus,2024-11-16T10:10:17.000Z,1241484,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",洛皇玥雲,Shaman,Restoration,healer,Dragonmaw
1,310,307501246,9,Siege of Boralus,2024-11-16T10:10:17.000Z,1241484,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",不要盧我,Warlock,Destruction,dps,Shadowmoon
1,310,307501246,9,Siege of Boralus,2024-11-16T10:10:17.000Z,1241484,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",神多洋,Paladin,Protection,tank,Sundown Marsh
1,310,307501246,9,Siege of Boralus,2024-11-16T10:10:17.000Z,1241484,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",青花丶聖騎士,Paladin,Retribution,dps,Sundown Marsh
2,308.9,307667643,9,Siege of Boralus,2024-11-17T06:19:15.000Z,1304810,2070999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",賴清德撲,Druid,Guardian,tank,Bleeding Hollow
2,308.9,307667643,9,Siege of Boralus,2024-11-17T06:19:15.000Z,1304810,2070999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",蛤換我打宿儺,Paladin,Retribution,dps,Hellscream
2,308.9,307667643,9,Siege of Boralus,2024-11-17T06:19:15.000Z,1304810,2070999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",不斷線的卡比,Warlock,Destruction,dps,Bleeding Hollow
2,308.9,307667643,9,Siege of Boralus,2024-11-17T06:19:15.000Z,1304810,2070999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",血小賤,Priest,Holy,healer,Arygos
2,308.9,307667643,9,Siege of Boralus,2024-11-17T06:19:15.000Z,1304810,2070999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",柚梨冬寧,Shaman,Enhancement,dps,Hellscream
3,308.4,294474612,9,Siege of Boralus,2024-09-23T11:14:27.000Z,1331996,2070999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Holyfish,Druid,Balance,dps,Arygos
