rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,308594328,9,Siege of Boralus,2024-11-22T16:39:16.000Z,1107745,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Showting,Evoker,Augmentation,dps,Shadowmoon
1,310,308594328,9,Siege of Boralus,2024-11-22T16:39:16.000Z,1107745,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Nomsyolk,Shaman,Enhancement,dps,Sundown Marsh
1,310,308594328,9,Siege of Boralus,2024-11-22T16:39:16.000Z,1107745,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Marquee,Priest,Discipline,healer,Arthas
1,310,308594328,9,Siege of Boralus,2024-11-22T16:39:16.000Z,1107745,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",挖勒阿勒勒,Death Knight,Frost,dps,Arthas
1,310,308594328,9,Siege of Boralus,2024-11-22T16:39:16.000Z,1107745,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",毛毬,Druid,Guardian,tank,Whisperwind
2,310,308396533,9,Siege of Boralus,2024-11-21T06:15:43.000Z,1204870,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Alglol,Paladin,Protection,tank,Shadowmoon
2,310,308396533,9,Siege of Boralus,2024-11-21T06:15:43.000Z,1204870,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",萬嘉集團,Priest,Discipline,healer,Crystalpine Stinger
2,310,308396533,9,Siege of Boralus,2024-11-21T06:15:43.000Z,1204870,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",冷無凝,Evoker,Augmentation,dps,Quel'dorei
2,310,308396533,9,Siege of Boralus,2024-11-21T06:15:43.000Z,1204870,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",夷蚌嚇怯-231193108,Paladin,Retribution,dps,Stormscale
2,310,308396533,9,Siege of Boralus,2024-11-21T06:15:43.000Z,1204870,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",沛青-231366586,Druid,Feral,dps,Shadowmoon
3,309.8,307736676,9,Siege of Boralus,2024-11-25T16:01:00.000Z,1255014,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",小小郎君,Paladin,Retribution,dps,Shadowmoon
3,309.8,307736676,9,Siege of Boralus,2024-11-25T16:01:00.000Z,1255014,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",啟示者庫伯特,Paladin,Protection,tank,Spirestone
3,309.8,307736676,9,Siege of Boralus,2024-11-25T16:01:00.000Z,1255014,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",樂喵,Shaman,Elemental,dps,Shadowmoon
3,309.8,307736676,9,Siege of Boralus,2024-11-25T16:01:00.000Z,1255014,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Devon,Hunter,Survival,dps,Spirestone
3,309.8,307736676,9,Siege of Boralus,2024-11-25T16:01:00.000Z,1255014,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",苡旎,Priest,Holy,healer,Shadowmoon
4,309.7,309376825,9,Siege of Boralus,2024-11-27T12:55:25.000Z,1261048,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Ingee,Shaman,Enhancement,dps,Arthas
4,309.7,309376825,9,Siege of Boralus,2024-11-27T12:55:25.000Z,1261048,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",邹炎,Death Knight,Blood,tank,Skywall
4,309.7,309376825,9,Siege of Boralus,2024-11-27T12:55:25.000Z,1261048,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",青蔥大波羅,Paladin,Retribution,dps,Shadowmoon
4,309.7,309376825,9,Siege of Boralus,2024-11-27T12:55:25.000Z,1261048,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",希特莉絲,Monk,Mistweaver,healer,Shadowmoon
4,309.7,309376825,9,Siege of Boralus,2024-11-27T12:55:25.000Z,1261048,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",阿鵝,Warlock,Destruction,dps,Arthas
5,309.6,308755762,9,Siege of Boralus,2024-11-23T16:25:47.000Z,1265751,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",黑妹上原亞衣,Priest,Discipline,healer,Shadowmoon
5,309.6,308755762,9,Siege of Boralus,2024-11-23T16:25:47.000Z,1265751,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",梅希拉,Warlock,Destruction,dps,Shadowmoon
5,309.6,308755762,9,Siege of Boralus,2024-11-23T16:25:47.000Z,1265751,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",幻殺月舞,Warrior,Protection,tank,Shadowmoon
5,309.6,308755762,9,Siege of Boralus,2024-11-23T16:25:47.000Z,1265751,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Laraa,Hunter,Survival,dps,Shadowmoon
5,309.6,308755762,9,Siege of Boralus,2024-11-23T16:25:47.000Z,1265751,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",珮洛琳,Paladin,Retribution,dps,Shadowmoon
6,309.3,308713768,9,Siege of Boralus,2024-11-23T09:15:00.000Z,1281378,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",夏嘉爾,Paladin,Retribution,dps,Shadowmoon
6,309.3,308713768,9,Siege of Boralus,2024-11-23T09:15:00.000Z,1281378,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",膝蓋殺手,Warlock,Destruction,dps,Light's Hope
6,309.3,308713768,9,Siege of Boralus,2024-11-23T09:15:00.000Z,1281378,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",庫莫那,Shaman,Enhancement,dps,Arthas
6,309.3,308713768,9,Siege of Boralus,2024-11-23T09:15:00.000Z,1281378,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",冽光,Paladin,Protection,tank,Light's Hope
6,309.3,308713768,9,Siege of Boralus,2024-11-23T09:15:00.000Z,1281378,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",你又生氣-230445024,Paladin,Holy,healer,Whisperwind
7,308.6,308412633,9,Siege of Boralus,2024-11-21T10:45:35.000Z,1318982,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",聖虧歧視,Paladin,Retribution,dps,Sundown Marsh
7,308.6,308412633,9,Siege of Boralus,2024-11-21T10:45:35.000Z,1318982,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",普勞德魔法,Paladin,Protection,tank,Arthas
7,308.6,308412633,9,Siege of Boralus,2024-11-21T10:45:35.000Z,1318982,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",牛頭聖騎士,Paladin,Retribution,dps,World Tree
7,308.6,308412633,9,Siege of Boralus,2024-11-21T10:45:35.000Z,1318982,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",怒海潛將,Monk,Mistweaver,healer,Arthas
7,308.6,308412633,9,Siege of Boralus,2024-11-21T10:45:35.000Z,1318982,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",安祖拿,Warlock,Destruction,dps,Shadowmoon
8,308.5,296051802,9,Siege of Boralus,2024-09-28T16:31:44.000Z,1327910,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",無敵小貝貝-42410055,Paladin,Retribution,dps,Crystalpine Stinger
8,308.5,296051802,9,Siege of Boralus,2024-09-28T16:31:44.000Z,1327910,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Angeralastor,Demon Hunter,Vengeance,tank,Icecrown
8,308.5,296051802,9,Siege of Boralus,2024-09-28T16:31:44.000Z,1327910,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",甘達爾夫,Warrior,Arms,dps,Wrathbringer
8,308.5,296051802,9,Siege of Boralus,2024-09-28T16:31:44.000Z,1327910,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",慎厥身修思永,Death Knight,Frost,dps,Nightsong
8,308.5,296051802,9,Siege of Boralus,2024-09-28T16:31:44.000Z,1327910,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",綾野夏澍,Shaman,Restoration,healer,Nightsong
9,308.1,308552975,9,Siege of Boralus,2024-11-22T09:04:02.000Z,1346647,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",威弗列德,Druid,Restoration,healer,Nightsong
9,308.1,308552975,9,Siege of Boralus,2024-11-22T09:04:02.000Z,1346647,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",堂果博老虎,Rogue,Assassination,dps,Shadowmoon
9,308.1,308552975,9,Siege of Boralus,2024-11-22T09:04:02.000Z,1346647,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",黯君,Paladin,Protection,tank,Zealot Blade
9,308.1,308552975,9,Siege of Boralus,2024-11-22T09:04:02.000Z,1346647,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",瑞典大厨,Hunter,Survival,dps,World Tree
9,308.1,308552975,9,Siege of Boralus,2024-11-22T09:04:02.000Z,1346647,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",小菜刀,Paladin,Retribution,dps,Arthas
10,307.6,296499321,9,Siege of Boralus,2024-09-29T17:27:14.000Z,1376387,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",郭庭瑋,Death Knight,Frost,dps,Nightsong
10,307.6,296499321,9,Siege of Boralus,2024-09-29T17:27:14.000Z,1376387,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Anon6B16685,Evoker,Augmentation,dps,Anonymous
10,307.6,296499321,9,Siege of Boralus,2024-09-29T17:27:14.000Z,1376387,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Bridetiffany,Paladin,Retribution,dps,Silverwing Hold
10,307.6,296499321,9,Siege of Boralus,2024-09-29T17:27:14.000Z,1376387,2070999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",何老師還錢,Death Knight,Blood,tank,Nightsong
