rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,309.7,296868898,9,Siege of Boralus,2024-10-17T19:39:31.000Z,1258467,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",飄雪似櫻花,Mage,Frost,dps,Crystalpine Stinger
1,309.7,296868898,9,Siege of Boralus,2024-10-17T19:39:31.000Z,1258467,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",哈妮熊,Shaman,Restoration,healer,Crystalpine Stinger
1,309.7,296868898,9,Siege of Boralus,2024-10-17T19:39:31.000Z,1258467,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",浩然之氣,Death Knight,Frost,dps,Wrathbringer
1,309.7,296868898,9,Siege of Boralus,2024-10-17T19:39:31.000Z,1258467,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",惡小液,Paladin,Protection,tank,Arthas
1,309.7,296868898,9,Siege of Boralus,2024-10-17T19:39:31.000Z,1258467,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",惡小鐵,Shaman,Elemental,dps,Crystalpine Stinger
2,309.1,300883826,9,Siege of Boralus,2024-10-17T16:20:41.000Z,1292610,2070999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",黑風薩,Shaman,Enhancement,dps,Spirestone
2,309.1,300883826,9,Siege of Boralus,2024-10-17T16:20:41.000Z,1292610,2070999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",我頭上有倆角,Evoker,Augmentation,dps,Spirestone
2,309.1,300883826,9,Siege of Boralus,2024-10-17T16:20:41.000Z,1292610,2070999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",哪吒,Evoker,Devastation,dps,Spirestone
2,309.1,300883826,9,Siege of Boralus,2024-10-17T16:20:41.000Z,1292610,2070999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",雙喜臨門,Paladin,Protection,tank,Spirestone
2,309.1,300883826,9,Siege of Boralus,2024-10-17T16:20:41.000Z,1292610,2070999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",聖靈塗炭,Priest,Discipline,healer,Spirestone
3,308.6,301932058,9,Siege of Boralus,2024-10-21T17:17:04.000Z,1318811,2070999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",伊絲緹亞,Shaman,Restoration,healer,Spirestone
3,308.6,301932058,9,Siege of Boralus,2024-10-21T17:17:04.000Z,1318811,2070999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",雷弒,Warrior,Protection,tank,Zealot Blade
