rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,306047456,9,Siege of Boralus,2024-11-09T12:12:18.000Z,1229951,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",齒槽骨成形術,Hunter,Survival,dps,Sundown Marsh
1,310,306047456,9,Siege of Boralus,2024-11-09T12:12:18.000Z,1229951,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",四宮輝夜,Shaman,Enhancement,dps,Chillwind Point
1,310,306047456,9,Siege of Boralus,2024-11-09T12:12:18.000Z,1229951,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",我是三點,Paladin,Retribution,dps,Skywall
1,310,306047456,9,Siege of Boralus,2024-11-09T12:12:18.000Z,1229951,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Poposr,Priest,Discipline,healer,Shadowmoon
1,310,306047456,9,Siege of Boralus,2024-11-09T12:12:18.000Z,1229951,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",硝煠-230735553,Paladin,Protection,tank,Demon Fall Canyon
2,309.5,307017304,9,Siege of Boralus,2024-11-13T17:40:36.000Z,1270608,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",熊問,Monk,Windwalker,dps,Nightsong
2,309.5,307017304,9,Siege of Boralus,2024-11-13T17:40:36.000Z,1270608,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",火法高手,Mage,Arcane,dps,Arthas
2,309.5,307017304,9,Siege of Boralus,2024-11-13T17:40:36.000Z,1270608,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Modbblue,Shaman,Restoration,healer,Arthas
2,309.5,307017304,9,Siege of Boralus,2024-11-13T17:40:36.000Z,1270608,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Nkop,Paladin,Protection,tank,Sundown Marsh
2,309.5,307017304,9,Siege of Boralus,2024-11-13T17:40:36.000Z,1270608,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",電電人,Shaman,Elemental,dps,Dragonmaw
3,309.5,306957551,9,Siege of Boralus,2024-11-12T15:02:33.000Z,1272616,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",偶素哈根,Druid,Balance,dps,Icecrown
3,309.5,306957551,9,Siege of Boralus,2024-11-12T15:02:33.000Z,1272616,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",布萊德比特,Mage,Fire,dps,Icecrown
3,309.5,306957551,9,Siege of Boralus,2024-11-12T15:02:33.000Z,1272616,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",經過的兔子,Hunter,Survival,dps,Icecrown
3,309.5,306957551,9,Siege of Boralus,2024-11-12T15:02:33.000Z,1272616,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",綠哲,Demon Hunter,Vengeance,tank,Chillwind Point
3,309.5,306957551,9,Siege of Boralus,2024-11-12T15:02:33.000Z,1272616,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",噗馬超忙,Evoker,Preservation,healer,Icecrown
4,308.5,306092471,9,Siege of Boralus,2024-11-09T16:51:21.000Z,1327808,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Anon15CBABF,Shaman,Restoration,healer,Anonymous
4,308.5,306092471,9,Siege of Boralus,2024-11-09T16:51:21.000Z,1327808,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Cliff,Hunter,Survival,dps,Menethil
4,308.5,306092471,9,Siege of Boralus,2024-11-09T16:51:21.000Z,1327808,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",何老師還錢,Death Knight,Blood,tank,Nightsong
4,308.5,306092471,9,Siege of Boralus,2024-11-09T16:51:21.000Z,1327808,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Norn,Shaman,Enhancement,dps,Silverwing Hold
4,308.5,306092471,9,Siege of Boralus,2024-11-09T16:51:21.000Z,1327808,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",還敢暈船阿,Mage,Frost,dps,Shadowmoon
5,308.3,306492696,9,Siege of Boralus,2024-11-10T22:02:02.000Z,1335326,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Salzman,Hunter,Beast Mastery,dps,Bleeding Hollow
5,308.3,306492696,9,Siege of Boralus,2024-11-10T22:02:02.000Z,1335326,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",經過的兔子,Hunter,Survival,dps,Icecrown
5,308.3,306492696,9,Siege of Boralus,2024-11-10T22:02:02.000Z,1335326,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",虛無傾滅,Priest,Shadow,dps,Arygos
5,308.3,306492696,9,Siege of Boralus,2024-11-10T22:02:02.000Z,1335326,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",阿沅沅,Warrior,Protection,tank,Stormscale
5,308.3,306492696,9,Siege of Boralus,2024-11-10T22:02:02.000Z,1335326,2070999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",十小魚十,Shaman,Restoration,healer,Shadowmoon
