rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,309,298196211,9,Siege of Boralus,2024-10-06T15:05:50.000Z,1296382,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",后雅妮絲,Warlock,Destruction,dps,World Tree
1,309,298196211,9,Siege of Boralus,2024-10-06T15:05:50.000Z,1296382,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",歸溟幽靈鯊,Demon Hunter,Havoc,dps,Frostmane
1,309,298196211,9,Siege of Boralus,2024-10-06T15:05:50.000Z,1296382,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",黑滅,Demon Hunter,Vengeance,tank,Frostmane
1,309,298196211,9,Siege of Boralus,2024-10-06T15:05:50.000Z,1296382,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Magma,Shaman,Restoration,healer,Sundown Marsh
1,309,298196211,9,Siege of Boralus,2024-10-06T15:05:50.000Z,1296382,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",雪楓影月,Death Knight,Unholy,dps,Frostmane
2,308.7,298187431,9,Siege of Boralus,2024-10-05T18:31:56.000Z,1312205,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",彼岸花的蠟燭,Evoker,Augmentation,dps,World Tree
2,308.7,298187431,9,Siege of Boralus,2024-10-05T18:31:56.000Z,1312205,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",你也是天竺鼠-204701757,Monk,Brewmaster,tank,Nightsong
2,308.7,298187431,9,Siege of Boralus,2024-10-05T18:31:56.000Z,1312205,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",霄雲出帷,Paladin,Holy,healer,World Tree
2,308.7,298187431,9,Siege of Boralus,2024-10-05T18:31:56.000Z,1312205,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Whitewalker,Death Knight,Frost,dps,Nightsong
2,308.7,298187431,9,Siege of Boralus,2024-10-05T18:31:56.000Z,1312205,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Daveshaman,Shaman,Enhancement,dps,Nightsong
3,308.6,309519882,9,Siege of Boralus,2024-11-28T17:27:11.000Z,1321557,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",魅影悲歌,Warlock,Destruction,dps,Dragonmaw
3,308.6,309519882,9,Siege of Boralus,2024-11-28T17:27:11.000Z,1321557,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",淡如妘,Druid,Restoration,healer,Dragonmaw
3,308.6,309519882,9,Siege of Boralus,2024-11-28T17:27:11.000Z,1321557,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",趕蛙攔轎,Paladin,Retribution,dps,Stormscale
3,308.6,309519882,9,Siege of Boralus,2024-11-28T17:27:11.000Z,1321557,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",歐斯卡,Paladin,Protection,tank,Stormscale
3,308.6,309519882,9,Siege of Boralus,2024-11-28T17:27:11.000Z,1321557,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",終將成為妳,Warrior,Fury,dps,Nightsong
4,308.5,309556289,9,Siege of Boralus,2024-11-28T22:22:34.000Z,1325244,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Soyliea,Warlock,Demonology,dps,Frostmane
4,308.5,309556289,9,Siege of Boralus,2024-11-28T22:22:34.000Z,1325244,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",周防沒希,Evoker,Preservation,healer,Menethil
4,308.5,309556289,9,Siege of Boralus,2024-11-28T22:22:34.000Z,1325244,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Zef,Death Knight,Frost,dps,Demon Fall Canyon
