rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,306926248,9,Siege of Boralus,2024-11-13T06:13:57.000Z,1080349,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Antiivax,Rogue,Assassination,dps,Barthilas
1,310,306926248,9,Siege of Boralus,2024-11-13T06:13:57.000Z,1080349,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Thunderonme,Shaman,Elemental,dps,Barthilas
1,310,306926248,9,Siege of Boralus,2024-11-13T06:13:57.000Z,1080349,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Elevens,Hunter,Survival,dps,Frostmourne
1,310,306926248,9,Siege of Boralus,2024-11-13T06:13:57.000Z,1080349,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Yowzah,Monk,Mistweaver,healer,Barthilas
1,310,306926248,9,Siege of Boralus,2024-11-13T06:13:57.000Z,1080349,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Lovag,Paladin,Protection,tank,Frostmourne
2,310,292956284,9,Siege of Boralus,2024-09-18T19:41:47.000Z,1152003,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Gregsh,Shaman,Enhancement,dps,Tichondrius
2,310,292956284,9,Siege of Boralus,2024-09-18T19:41:47.000Z,1152003,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Rikuarms,Warrior,Fury,dps,Illidan
2,310,292956284,9,Siege of Boralus,2024-09-18T19:41:47.000Z,1152003,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Boomieturbo,Warrior,Protection,tank,Illidan
2,310,292956284,9,Siege of Boralus,2024-09-18T19:41:47.000Z,1152003,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Sleeptank-227347255,Priest,Discipline,healer,Illidan
2,310,292956284,9,Siege of Boralus,2024-09-18T19:41:47.000Z,1152003,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Fireup,Mage,Arcane,dps,Illidan
3,310,307270267,9,Siege of Boralus,2024-11-15T04:14:20.000Z,1174238,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Trov,Warrior,Protection,tank,Sargeras
3,310,307270267,9,Siege of Boralus,2024-11-15T04:14:20.000Z,1174238,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Køtõrì,Warrior,Fury,dps,Illidan
3,310,307270267,9,Siege of Boralus,2024-11-15T04:14:20.000Z,1174238,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Ferdishammy,Shaman,Restoration,healer,Stormrage
3,310,307270267,9,Siege of Boralus,2024-11-15T04:14:20.000Z,1174238,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Randina,Hunter,Survival,dps,Sargeras
3,310,307270267,9,Siege of Boralus,2024-11-15T04:14:20.000Z,1174238,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Valtyr,Warrior,Fury,dps,Mannoroth
4,310,307575857,9,Siege of Boralus,2024-11-16T20:57:01.000Z,1185186,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Zydea,Druid,Restoration,healer,Stormrage
4,310,307575857,9,Siege of Boralus,2024-11-16T20:57:01.000Z,1185186,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Robblucy,Rogue,Assassination,dps,Tichondrius
4,310,307575857,9,Siege of Boralus,2024-11-16T20:57:01.000Z,1185186,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Renrawr,Evoker,Augmentation,dps,Illidan
4,310,307575857,9,Siege of Boralus,2024-11-16T20:57:01.000Z,1185186,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Jnaripally,Paladin,Protection,tank,Illidan
4,310,307575857,9,Siege of Boralus,2024-11-16T20:57:01.000Z,1185186,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Alphaqt,Hunter,Survival,dps,Area 52
