rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,305289470,9,Siege of Boralus,2024-11-05T23:59:57.000Z,1017791,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Vayk,Death Knight,Blood,tank,Bleeding Hollow
1,310,305289470,9,Siege of Boralus,2024-11-05T23:59:57.000Z,1017791,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Springz,Priest,Discipline,healer,Dragonmaw
1,310,305289470,9,Siege of Boralus,2024-11-05T23:59:57.000Z,1017791,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Lilianh,Paladin,Retribution,dps,Frostmane
1,310,305289470,9,Siege of Boralus,2024-11-05T23:59:57.000Z,1017791,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Forkknifeguy,Paladin,Retribution,dps,Mal'Ganis
1,310,305289470,9,Siege of Boralus,2024-11-05T23:59:57.000Z,1017791,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Roshs-229510014,Shaman,Enhancement,dps,Area 52
2,310,305982692,9,Siege of Boralus,2024-11-08T20:25:56.000Z,1154524,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Agrro,Paladin,Retribution,dps,Perenolde
2,310,305982692,9,Siege of Boralus,2024-11-08T20:25:56.000Z,1154524,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Sparklght,Paladin,Retribution,dps,Stormrage
2,310,305982692,9,Siege of Boralus,2024-11-08T20:25:56.000Z,1154524,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Berundy,Warrior,Protection,tank,Stormrage
2,310,305982692,9,Siege of Boralus,2024-11-08T20:25:56.000Z,1154524,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Neriini-230763562,Shaman,Restoration,healer,Stormrage
2,310,305982692,9,Siege of Boralus,2024-11-08T20:25:56.000Z,1154524,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Daktta-230763563,Shaman,Elemental,dps,Stormrage
3,310,305850211,9,Siege of Boralus,2024-11-08T18:27:46.000Z,1212174,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Dolkris,Priest,Discipline,healer,Sargeras
3,310,305850211,9,Siege of Boralus,2024-11-08T18:27:46.000Z,1212174,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Vvt,Paladin,Retribution,dps,Stormrage
3,310,305850211,9,Siege of Boralus,2024-11-08T18:27:46.000Z,1212174,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Littledope,Paladin,Retribution,dps,Cairne
3,310,305850211,9,Siege of Boralus,2024-11-08T18:27:46.000Z,1212174,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Bayser,Warlock,Destruction,dps,Sargeras
3,310,305850211,9,Siege of Boralus,2024-11-08T18:27:46.000Z,1212174,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Böhmer,Druid,Guardian,tank,Stormrage
4,310,306377373,9,Siege of Boralus,2024-11-10T18:35:49.000Z,1215584,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Curamoor,Shaman,Elemental,dps,Area 52
4,310,306377373,9,Siege of Boralus,2024-11-10T18:35:49.000Z,1215584,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Vîçtôr,Paladin,Holy,healer,Stormrage
4,310,306377373,9,Siege of Boralus,2024-11-10T18:35:49.000Z,1215584,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Palacrazy,Paladin,Retribution,dps,Stormrage
4,310,306377373,9,Siege of Boralus,2024-11-10T18:35:49.000Z,1215584,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Kivorkina,Rogue,Assassination,dps,Area 52
