rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,297134051,9,Siege of Boralus,2024-10-02T08:08:16.000Z,1210168,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Hocc,Death Knight,Frost,dps,Tichondrius
1,310,297134051,9,Siege of Boralus,2024-10-02T08:08:16.000Z,1210168,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Fearuwu,Mage,Arcane,dps,Mal'Ganis
1,310,297134051,9,Siege of Boralus,2024-10-02T08:08:16.000Z,1210168,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Millistrasza,Evoker,Preservation,healer,Mal'Ganis
1,310,297134051,9,Siege of Boralus,2024-10-02T08:08:16.000Z,1210168,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Dxdk-224625885,Death Knight,Blood,tank,Mal'Ganis
1,310,297134051,9,Siege of Boralus,2024-10-02T08:08:16.000Z,1210168,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Ahl,Shaman,Elemental,dps,Mal'Ganis
2,310,309266575,9,Siege of Boralus,2024-11-26T19:55:05.000Z,1213296,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Rodrigód,Hunter,Survival,dps,Azralon
2,310,309266575,9,Siege of Boralus,2024-11-26T19:55:05.000Z,1213296,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Allforfun,Shaman,Enhancement,dps,Thrall
2,310,309266575,9,Siege of Boralus,2024-11-26T19:55:05.000Z,1213296,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Inmoletion,Hunter,Marksmanship,dps,Ragnaros
2,310,309266575,9,Siege of Boralus,2024-11-26T19:55:05.000Z,1213296,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Pallynano,Paladin,Protection,tank,Area 52
2,310,309266575,9,Siege of Boralus,2024-11-26T19:55:05.000Z,1213296,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Aylaar,Shaman,Restoration,healer,Azralon
3,310,297567481,9,Siege of Boralus,2024-10-04T07:49:49.000Z,1224217,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Charliemane,Hunter,Survival,dps,Icecrown
3,310,297567481,9,Siege of Boralus,2024-10-04T07:49:49.000Z,1224217,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Deadpoppet-110060420,Death Knight,Frost,dps,Illidan
3,310,297567481,9,Siege of Boralus,2024-10-04T07:49:49.000Z,1224217,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Pbrained,Priest,Discipline,healer,Sargeras
3,310,297567481,9,Siege of Boralus,2024-10-04T07:49:49.000Z,1224217,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Bla,Warrior,Protection,tank,Onyxia
3,310,297567481,9,Siege of Boralus,2024-10-04T07:49:49.000Z,1224217,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Zeus,Shaman,Elemental,dps,Icecrown
4,310,298827900,9,Siege of Boralus,2024-10-08T02:45:40.000Z,1233832,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Olantame,Shaman,Restoration,healer,Stormrage
4,310,298827900,9,Siege of Boralus,2024-10-08T02:45:40.000Z,1233832,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Jmishenka,Warrior,Protection,tank,Illidan
4,310,298827900,9,Siege of Boralus,2024-10-08T02:45:40.000Z,1233832,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Depressuchka,Death Knight,Unholy,dps,Proudmoore
4,310,298827900,9,Siege of Boralus,2024-10-08T02:45:40.000Z,1233832,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Chô,Rogue,Assassination,dps,Sargeras
4,310,298827900,9,Siege of Boralus,2024-10-08T02:45:40.000Z,1233832,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Nixxter,Rogue,Assassination,dps,Area 52
5,310,297839909,9,Siege of Boralus,2024-10-05T08:43:21.000Z,1239496,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Ashbringer,Paladin,Retribution,dps,Wildhammer
5,310,297839909,9,Siege of Boralus,2024-10-05T08:43:21.000Z,1239496,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Drakho,Evoker,Devastation,dps,Tichondrius
5,310,297839909,9,Siege of Boralus,2024-10-05T08:43:21.000Z,1239496,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Rnarcusp,Priest,Holy,healer,Tichondrius
5,310,297839909,9,Siege of Boralus,2024-10-05T08:43:21.000Z,1239496,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Normm,Shaman,Elemental,dps,Mal'Ganis
5,310,297839909,9,Siege of Boralus,2024-10-05T08:43:21.000Z,1239496,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Sendosdk,Death Knight,Blood,tank,Tichondrius
6,310,297249705,9,Siege of Boralus,2024-10-02T21:53:11.000Z,1243715,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Fiftyxent,Paladin,Retribution,dps,Zul'jin
6,310,297249705,9,Siege of Boralus,2024-10-02T21:53:11.000Z,1243715,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Jaxdent,Monk,Brewmaster,tank,Zul'jin
6,310,297249705,9,Siege of Boralus,2024-10-02T21:53:11.000Z,1243715,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Turtleslams-185686901,Priest,Discipline,healer,Zul'jin
6,310,297249705,9,Siege of Boralus,2024-10-02T21:53:11.000Z,1243715,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Aveyda-209529512,Warlock,Affliction,dps,Illidan
6,310,297249705,9,Siege of Boralus,2024-10-02T21:53:11.000Z,1243715,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Dnlsham-227917892,Shaman,Enhancement,dps,Area 52
