rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,303443229,9,The Dawnbreaker,2024-10-28T17:00:09.000Z,1016508,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",贰纯丶,Monk,Brewmaster,tank,Scarlet Crusade
1,310,303443229,9,The Dawnbreaker,2024-10-28T17:00:09.000Z,1016508,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",头孢克亏,Death Knight,Frost,dps,Shadowmourne
1,310,303443229,9,The Dawnbreaker,2024-10-28T17:00:09.000Z,1016508,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",小笨蛋,Shaman,Restoration,healer,Silver Hand
1,310,303443229,9,The Dawnbreaker,2024-10-28T17:00:09.000Z,1016508,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",小雨抱抱,Shaman,Enhancement,dps,Burning Blade
1,310,303443229,9,The Dawnbreaker,2024-10-28T17:00:09.000Z,1016508,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",淳晕晕,Warlock,Affliction,dps,Isillien
2,310,306079849,9,The Dawnbreaker,2024-10-28T07:52:38.000Z,1104592,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",吸着氧打本,Druid,Restoration,healer,Al'ar
2,310,306079849,9,The Dawnbreaker,2024-10-28T07:52:38.000Z,1104592,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",捷卡林娜,Demon Hunter,Havoc,dps,The Great Sea
2,310,306079849,9,The Dawnbreaker,2024-10-28T07:52:38.000Z,1104592,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",七灬歌,Paladin,Protection,tank,Bleeding Hollow
2,310,306079849,9,The Dawnbreaker,2024-10-28T07:52:38.000Z,1104592,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",雪糕真冷呀,Hunter,Survival,dps,The Great Sea
2,310,306079849,9,The Dawnbreaker,2024-10-28T07:52:38.000Z,1104592,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",丶胖仔丶,Paladin,Retribution,dps,Al'ar
