rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,307505550,9,The Dawnbreaker,2024-11-16T14:12:08.000Z,1013446,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",忘忧景久,Warlock,Affliction,dps,Chromaggus
1,310,307505550,9,The Dawnbreaker,2024-11-16T14:12:08.000Z,1013446,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",恋萱蝶舞,Paladin,Retribution,dps,Al'ar
1,310,307505550,9,The Dawnbreaker,2024-11-16T14:12:08.000Z,1013446,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",霜之皑殇,Warrior,Protection,tank,Al'ar
1,310,307505550,9,The Dawnbreaker,2024-11-16T14:12:08.000Z,1013446,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",砍刀二爷,Warrior,Arms,dps,Al'ar
1,310,307505550,9,The Dawnbreaker,2024-11-16T14:12:08.000Z,1013446,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",坚硬的小鼻嘎,Shaman,Restoration,healer,Burning Blade
2,310,307128518,9,The Dawnbreaker,2024-11-14T07:52:32.000Z,1027901,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",且听小红手,Death Knight,Frost,dps,Silver Hand
2,310,307128518,9,The Dawnbreaker,2024-11-14T07:52:32.000Z,1027901,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",曲啸水,Shaman,Restoration,healer,The Master's Glaive
2,310,307128518,9,The Dawnbreaker,2024-11-14T07:52:32.000Z,1027901,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Zjlwdqc,Rogue,Assassination,dps,The Forgotten Coast
2,310,307128518,9,The Dawnbreaker,2024-11-14T07:52:32.000Z,1027901,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",月光暗淡,Druid,Guardian,tank,Burning Blade
2,310,307128518,9,The Dawnbreaker,2024-11-14T07:52:32.000Z,1027901,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",丨兰花指,Paladin,Retribution,dps,Gadgetzan
3,310,307933588,9,The Dawnbreaker,2024-11-18T17:29:00.000Z,1034312,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",卡淋,Druid,Balance,dps,Silver Hand
3,310,307933588,9,The Dawnbreaker,2024-11-18T17:29:00.000Z,1034312,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",亲爱的芙莉莲,Mage,Frost,dps,Silver Hand
3,310,307933588,9,The Dawnbreaker,2024-11-18T17:29:00.000Z,1034312,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Ryuyi,Paladin,Protection,tank,Burning Blade
3,310,307933588,9,The Dawnbreaker,2024-11-18T17:29:00.000Z,1034312,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",天际浮云,Hunter,Survival,dps,Silver Hand
3,310,307933588,9,The Dawnbreaker,2024-11-18T17:29:00.000Z,1034312,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",艾瑞克丨牧,Priest,Discipline,healer,Rhonin
4,310,307905980,9,The Dawnbreaker,2024-11-18T13:27:13.000Z,1039538,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",丶致命的小寳,Hunter,Survival,dps,Pandaren
4,310,307905980,9,The Dawnbreaker,2024-11-18T13:27:13.000Z,1039538,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",飞花逸雪,Mage,Frost,dps,Burning Blade
4,310,307905980,9,The Dawnbreaker,2024-11-18T13:27:13.000Z,1039538,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",神的眼淚,Paladin,Protection,tank,Chillwind Point
4,310,307905980,9,The Dawnbreaker,2024-11-18T13:27:13.000Z,1039538,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",常樂的牧師,Priest,Discipline,healer,The Master's Glaive
4,310,307905980,9,The Dawnbreaker,2024-11-18T13:27:13.000Z,1039538,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Ranknight,Paladin,Retribution,dps,Shadowmourne
5,310,307340453,9,The Dawnbreaker,2024-11-15T17:09:49.000Z,1080364,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",夜灬你妹,Hunter,Survival,dps,Emeriss
5,310,307340453,9,The Dawnbreaker,2024-11-15T17:09:49.000Z,1080364,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",懆作会变形,Paladin,Protection,tank,Chillwind Point
5,310,307340453,9,The Dawnbreaker,2024-11-15T17:09:49.000Z,1080364,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Bdk,Shaman,Enhancement,dps,Lich King
5,310,307340453,9,The Dawnbreaker,2024-11-15T17:09:49.000Z,1080364,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",后面有尾巴,Hunter,Beast Mastery,dps,Silver Hand
5,310,307340453,9,The Dawnbreaker,2024-11-15T17:09:49.000Z,1080364,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",求我给你灌注,Priest,Discipline,healer,Silver Hand
6,310,294106292,9,The Dawnbreaker,2024-09-23T05:40:39.000Z,1093606,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Macleans,Mage,Arcane,dps,Silver Hand
6,310,294106292,9,The Dawnbreaker,2024-09-23T05:40:39.000Z,1093606,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",夜斗,Paladin,Retribution,dps,Pandaren
6,310,294106292,9,The Dawnbreaker,2024-09-23T05:40:39.000Z,1093606,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",柒只猪猪,Death Knight,Frost,dps,Pandaren
