rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,306347863,9,The Dawnbreaker,2024-11-10T16:00:02.000Z,1082440,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",碧绣,Druid,Restoration,healer,Valley of Kings
1,310,306347863,9,The Dawnbreaker,2024-11-10T16:00:02.000Z,1082440,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",如果黄色闪光,Rogue,Assassination,dps,Valley of Kings
1,310,306347863,9,The Dawnbreaker,2024-11-10T16:00:02.000Z,1082440,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Imemutingout,Paladin,Protection,tank,Valley of Kings
1,310,306347863,9,The Dawnbreaker,2024-11-10T16:00:02.000Z,1082440,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",蓝色闪光丶,Shaman,Elemental,dps,Burning Blade
1,310,306347863,9,The Dawnbreaker,2024-11-10T16:00:02.000Z,1082440,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",簡家独苗,Hunter,Survival,dps,Red Cloud Mesa
2,310,305598203,9,The Dawnbreaker,2024-11-07T07:24:53.000Z,1089926,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Iis,Shaman,Enhancement,dps,Doomwalker
2,310,305598203,9,The Dawnbreaker,2024-11-07T07:24:53.000Z,1089926,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",醉爱寂寞丶,Warrior,Protection,tank,Isillien
2,310,305598203,9,The Dawnbreaker,2024-11-07T07:24:53.000Z,1089926,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",末日之歌,Rogue,Assassination,dps,Isillien
2,310,305598203,9,The Dawnbreaker,2024-11-07T07:24:53.000Z,1089926,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",卡卡丽娜,Shaman,Restoration,healer,Isillien
2,310,305598203,9,The Dawnbreaker,2024-11-07T07:24:53.000Z,1089926,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",灬菲利斯灬,Paladin,Retribution,dps,Rhonin
3,310,305783622,9,The Dawnbreaker,2024-11-08T08:23:13.000Z,1110872,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",蓝色闪光丶,Shaman,Elemental,dps,Burning Blade
3,310,305783622,9,The Dawnbreaker,2024-11-08T08:23:13.000Z,1110872,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Gigapally,Paladin,Protection,tank,Isillien
3,310,305783622,9,The Dawnbreaker,2024-11-08T08:23:13.000Z,1110872,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Waldobear,Paladin,Retribution,dps,Rhonin
3,310,305783622,9,The Dawnbreaker,2024-11-08T08:23:13.000Z,1110872,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Jojomage,Mage,Frost,dps,The Master's Glaive
3,310,305783622,9,The Dawnbreaker,2024-11-08T08:23:13.000Z,1110872,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",小满团团,Priest,Discipline,healer,Isillien
4,309.5,306469155,9,The Dawnbreaker,2024-11-11T01:36:04.000Z,1195495,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",玩一辈子酒仙,Monk,Brewmaster,tank,Rhonin
4,309.5,306469155,9,The Dawnbreaker,2024-11-11T01:36:04.000Z,1195495,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",初雪丶未雾,Paladin,Retribution,dps,Grim Batol
4,309.5,306469155,9,The Dawnbreaker,2024-11-11T01:36:04.000Z,1195495,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",敢妹妹,Death Knight,Frost,dps,Argus
4,309.5,306469155,9,The Dawnbreaker,2024-11-11T01:36:04.000Z,1195495,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",李大能耐,Mage,Frost,dps,Isillien
4,309.5,306469155,9,The Dawnbreaker,2024-11-11T01:36:04.000Z,1195495,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",桃汽沫沫,Priest,Discipline,healer,Frostmourne
5,309.2,305592877,9,The Dawnbreaker,2024-11-07T06:18:47.000Z,1213348,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",小年糕爱炸鸡,Rogue,Assassination,dps,Scarlet Crusade
5,309.2,305592877,9,The Dawnbreaker,2024-11-07T06:18:47.000Z,1213348,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Elysiia,Demon Hunter,Havoc,dps,Scarlet Crusade
5,309.2,305592877,9,The Dawnbreaker,2024-11-07T06:18:47.000Z,1213348,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",我只吃牛肉,Warrior,Protection,tank,Burning Steppes
