rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,307574379,9,The Dawnbreaker,2024-11-16T20:43:10.000Z,909087,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Kuulbabe,Priest,Discipline,healer,Stormscale
1,310,307574379,9,The Dawnbreaker,2024-11-16T20:43:10.000Z,909087,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Xayren,Evoker,Augmentation,dps,Stormscale
1,310,307574379,9,The Dawnbreaker,2024-11-16T20:43:10.000Z,909087,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Wìnthy,Paladin,Protection,tank,Stormscale
1,310,307574379,9,The Dawnbreaker,2024-11-16T20:43:10.000Z,909087,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Theabuse,Rogue,Assassination,dps,Stormscale
1,310,307574379,9,The Dawnbreaker,2024-11-16T20:43:10.000Z,909087,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Gigahabibi,Shaman,Enhancement,dps,Stormscale
2,310,306931794,9,The Dawnbreaker,2024-11-13T07:49:21.000Z,921481,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Yatsu,Monk,Mistweaver,healer,Twisting Nether
2,310,306931794,9,The Dawnbreaker,2024-11-13T07:49:21.000Z,921481,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Ysocute,Paladin,Protection,tank,Ravencrest
2,310,306931794,9,The Dawnbreaker,2024-11-13T07:49:21.000Z,921481,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Faeldrin,Warlock,Destruction,dps,Uldaman
2,310,306931794,9,The Dawnbreaker,2024-11-13T07:49:21.000Z,921481,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",AnonDA60583,Evoker,Augmentation,dps,Anonymous
2,310,306931794,9,The Dawnbreaker,2024-11-13T07:49:21.000Z,921481,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Алайшаманит,Shaman,Enhancement,dps,Howling Fjord
3,310,307941952,9,The Dawnbreaker,2024-11-18T15:35:45.000Z,930632,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Asakira,Paladin,Retribution,dps,Blackhand
3,310,307941952,9,The Dawnbreaker,2024-11-18T15:35:45.000Z,930632,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Getstapedqt,Rogue,Assassination,dps,Blackmoore
3,310,307941952,9,The Dawnbreaker,2024-11-18T15:35:45.000Z,930632,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Supêrsus,Paladin,Protection,tank,Silvermoon
3,310,307941952,9,The Dawnbreaker,2024-11-18T15:35:45.000Z,930632,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Funkybuddha,Monk,Mistweaver,healer,Antonidas
3,310,307941952,9,The Dawnbreaker,2024-11-18T15:35:45.000Z,930632,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Tieradyl,Shaman,Enhancement,dps,Antonidas
4,310,306928171,9,The Dawnbreaker,2024-11-13T06:12:47.000Z,939791,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Beastlyy,Priest,Shadow,dps,Chamber of Aspects
4,310,306928171,9,The Dawnbreaker,2024-11-13T06:12:47.000Z,939791,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Ysocute,Paladin,Protection,tank,Ravencrest
4,310,306928171,9,The Dawnbreaker,2024-11-13T06:12:47.000Z,939791,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",AnonDA60583,Evoker,Augmentation,dps,Anonymous
4,310,306928171,9,The Dawnbreaker,2024-11-13T06:12:47.000Z,939791,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Алайшаманит,Shaman,Enhancement,dps,Howling Fjord
4,310,306928171,9,The Dawnbreaker,2024-11-13T06:12:47.000Z,939791,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Prulation,Priest,Discipline,healer,Silvermoon
5,310,307647590,9,The Dawnbreaker,2024-11-17T03:32:23.000Z,939974,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Bartrobel,Demon Hunter,Vengeance,tank,Twisting Nether
5,310,307647590,9,The Dawnbreaker,2024-11-17T03:32:23.000Z,939974,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Kendalx,Priest,Discipline,healer,Kazzak
5,310,307647590,9,The Dawnbreaker,2024-11-17T03:32:23.000Z,939974,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Fluffyclaw,Druid,Balance,dps,Blackhand
5,310,307647590,9,The Dawnbreaker,2024-11-17T03:32:23.000Z,939974,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Pôlemploï,Shaman,Enhancement,dps,Archimonde
5,310,307647590,9,The Dawnbreaker,2024-11-17T03:32:23.000Z,939974,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Онз,Rogue,Assassination,dps,Howling Fjord
6,310,306968737,9,The Dawnbreaker,2024-11-13T14:45:38.000Z,948617,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Jây,Mage,Arcane,dps,Blackrock
6,310,306968737,9,The Dawnbreaker,2024-11-13T14:45:38.000Z,948617,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Bobbyjohn,Shaman,Enhancement,dps,Tarren Mill
6,310,306968737,9,The Dawnbreaker,2024-11-13T14:45:38.000Z,948617,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Voltrogue,Rogue,Assassination,dps,Cho'gall
6,310,306968737,9,The Dawnbreaker,2024-11-13T14:45:38.000Z,948617,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Soobanoodles,Paladin,Protection,tank,Eredar
6,310,306968737,9,The Dawnbreaker,2024-11-13T14:45:38.000Z,948617,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Kleb,Priest,Discipline,healer,Arygos
7,310,307706452,9,The Dawnbreaker,2024-11-17T12:50:55.000Z,956544,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Moonmööp,Druid,Balance,dps,Blackmoore
7,310,307706452,9,The Dawnbreaker,2024-11-17T12:50:55.000Z,956544,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Idemonic,Demon Hunter,Vengeance,tank,Antonidas
7,310,307706452,9,The Dawnbreaker,2024-11-17T12:50:55.000Z,956544,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Akîtô,Warlock,Demonology,dps,Blackmoore
7,310,307706452,9,The Dawnbreaker,2024-11-17T12:50:55.000Z,956544,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Yamimj,Shaman,Enhancement,dps,Blackrock
7,310,307706452,9,The Dawnbreaker,2024-11-17T12:50:55.000Z,956544,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Slaidyy,Priest,Discipline,healer,Blackmoore
8,310,307404313,9,The Dawnbreaker,2024-11-15T23:19:32.000Z,958497,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Docno,Paladin,Protection,tank,Blackhand
8,310,307404313,9,The Dawnbreaker,2024-11-15T23:19:32.000Z,958497,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Tastemé,Hunter,Marksmanship,dps,Blackhand
8,310,307404313,9,The Dawnbreaker,2024-11-15T23:19:32.000Z,958497,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Habibiburst,Shaman,Enhancement,dps,Blackhand
8,310,307404313,9,The Dawnbreaker,2024-11-15T23:19:32.000Z,958497,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Nonamepriest,Priest,Discipline,healer,Blackhand
8,310,307404313,9,The Dawnbreaker,2024-11-15T23:19:32.000Z,958497,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Thanadín,Paladin,Retribution,dps,Antonidas
9,310,307995284,9,The Dawnbreaker,2024-11-19T00:17:42.000Z,966836,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Juicyßossye,Druid,Balance,dps,Aegwynn
9,310,307995284,9,The Dawnbreaker,2024-11-19T00:17:42.000Z,966836,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Matsumiya,Paladin,Protection,tank,Archimonde
9,310,307995284,9,The Dawnbreaker,2024-11-19T00:17:42.000Z,966836,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Oprahwindfry,Shaman,Enhancement,dps,Ragnaros
9,310,307995284,9,The Dawnbreaker,2024-11-19T00:17:42.000Z,966836,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Selfzdk,Death Knight,Frost,dps,Draenor
9,310,307995284,9,The Dawnbreaker,2024-11-19T00:17:42.000Z,966836,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Worstprest,Priest,Discipline,healer,Ravencrest
10,310,307166210,9,The Dawnbreaker,2024-11-14T15:18:50.000Z,970379,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Kelrieth,Rogue,Assassination,dps,Twisting Nether
10,310,307166210,9,The Dawnbreaker,2024-11-14T15:18:50.000Z,970379,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Kèvinn,Druid,Balance,dps,Draenor
10,310,307166210,9,The Dawnbreaker,2024-11-14T15:18:50.000Z,970379,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Benjademon,Demon Hunter,Vengeance,tank,Kazzak
10,310,307166210,9,The Dawnbreaker,2024-11-14T15:18:50.000Z,970379,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Mahhedøg,Shaman,Enhancement,dps,Kazzak
10,310,307166210,9,The Dawnbreaker,2024-11-14T15:18:50.000Z,970379,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Zwiebelsenf,Shaman,Restoration,healer,Der Rat von Dalaran
11,310,308036823,9,The Dawnbreaker,2024-11-19T04:55:59.000Z,973714,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Divèrsanti,Priest,Discipline,healer,Stormscale
11,310,308036823,9,The Dawnbreaker,2024-11-19T04:55:59.000Z,973714,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Areaofeffect,Death Knight,Unholy,dps,Ravencrest
11,310,308036823,9,The Dawnbreaker,2024-11-19T04:55:59.000Z,973714,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Holvina,Paladin,Protection,tank,Tarren Mill
11,310,308036823,9,The Dawnbreaker,2024-11-19T04:55:59.000Z,973714,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Titosham,Shaman,Enhancement,dps,Silvermoon
11,310,308036823,9,The Dawnbreaker,2024-11-19T04:55:59.000Z,973714,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Ytmoon,Druid,Balance,dps,Kazzak
12,310,307606016,9,The Dawnbreaker,2024-11-16T19:52:49.000Z,985544,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Iginik,Warrior,Protection,tank,Kazzak
12,310,307606016,9,The Dawnbreaker,2024-11-16T19:52:49.000Z,985544,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Siggztwo,Druid,Balance,dps,Tarren Mill
12,310,307606016,9,The Dawnbreaker,2024-11-16T19:52:49.000Z,985544,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Nethdi,Paladin,Retribution,dps,Kazzak
12,310,307606016,9,The Dawnbreaker,2024-11-16T19:52:49.000Z,985544,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Gaijin,Hunter,Beast Mastery,dps,Tyrande
12,310,307606016,9,The Dawnbreaker,2024-11-16T19:52:49.000Z,985544,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Asllañ,Shaman,Restoration,healer,Ysondre
13,310,306958698,9,The Dawnbreaker,2024-11-13T12:52:50.000Z,987801,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Moxios,Death Knight,Unholy,dps,Thrall
13,310,306958698,9,The Dawnbreaker,2024-11-13T12:52:50.000Z,987801,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Hëäthcliff,Paladin,Retribution,dps,Nemesis
13,310,306958698,9,The Dawnbreaker,2024-11-13T12:52:50.000Z,987801,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Edrastralz,Evoker,Preservation,healer,Nemesis
13,310,306958698,9,The Dawnbreaker,2024-11-13T12:52:50.000Z,987801,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Mirys,Priest,Shadow,dps,Nemesis
13,310,306958698,9,The Dawnbreaker,2024-11-13T12:52:50.000Z,987801,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Itznix,Druid,Guardian,tank,Nemesis
14,310,307026598,9,The Dawnbreaker,2024-11-13T20:38:08.000Z,992126,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Crucifics,Priest,Discipline,healer,Tarren Mill
14,310,307026598,9,The Dawnbreaker,2024-11-13T20:38:08.000Z,992126,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Nuvzs,Shaman,Enhancement,dps,Burning Legion
14,310,307026598,9,The Dawnbreaker,2024-11-13T20:38:08.000Z,992126,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Bazlike,Paladin,Protection,tank,Drak'thul
14,310,307026598,9,The Dawnbreaker,2024-11-13T20:38:08.000Z,992126,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Compyno,Warrior,Fury,dps,Tarren Mill
14,310,307026598,9,The Dawnbreaker,2024-11-13T20:38:08.000Z,992126,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Viims,Paladin,Retribution,dps,Tarren Mill
15,310,307163253,9,The Dawnbreaker,2024-11-14T10:14:04.000Z,993468,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Krónhólm,Warrior,Protection,tank,Ravencrest
15,310,307163253,9,The Dawnbreaker,2024-11-14T10:14:04.000Z,993468,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Redsippy,Death Knight,Unholy,dps,Thrall
15,310,307163253,9,The Dawnbreaker,2024-11-14T10:14:04.000Z,993468,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Kuldragemann,Evoker,Augmentation,dps,Silvermoon
15,310,307163253,9,The Dawnbreaker,2024-11-14T10:14:04.000Z,993468,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Tolerate-170008707,Priest,Discipline,healer,Twisting Nether
15,310,307163253,9,The Dawnbreaker,2024-11-14T10:14:04.000Z,993468,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Momoloi,Paladin,Retribution,dps,Blackrock
16,310,306991802,9,The Dawnbreaker,2024-11-13T17:13:59.000Z,996061,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Midway,Paladin,Holy,healer,Draenor
16,310,306991802,9,The Dawnbreaker,2024-11-13T17:13:59.000Z,996061,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Lysistrata,Paladin,Protection,tank,Blackrock
16,310,306991802,9,The Dawnbreaker,2024-11-13T17:13:59.000Z,996061,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Venseon,Rogue,Assassination,dps,Tarren Mill
16,310,306991802,9,The Dawnbreaker,2024-11-13T17:13:59.000Z,996061,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Bresim,Druid,Balance,dps,Tarren Mill
16,310,306991802,9,The Dawnbreaker,2024-11-13T17:13:59.000Z,996061,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Schokoholzs,Shaman,Elemental,dps,Blackrock
17,310,307341555,9,The Dawnbreaker,2024-11-15T17:18:39.000Z,998491,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Icã,Hunter,Beast Mastery,dps,Nemesis
17,310,307341555,9,The Dawnbreaker,2024-11-15T17:18:39.000Z,998491,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Cthulhù,Shaman,Restoration,healer,Tarren Mill
17,310,307341555,9,The Dawnbreaker,2024-11-15T17:18:39.000Z,998491,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Nerfpalgodx,Paladin,Protection,tank,Silvermoon
17,310,307341555,9,The Dawnbreaker,2024-11-15T17:18:39.000Z,998491,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Nerfite,Shaman,Enhancement,dps,Tarren Mill
17,310,307341555,9,The Dawnbreaker,2024-11-15T17:18:39.000Z,998491,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Augmentoon,Evoker,Devastation,dps,Argent Dawn
18,310,307682480,9,The Dawnbreaker,2024-11-17T07:26:50.000Z,999299,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Nurim,Warrior,Fury,dps,Eredar
18,310,307682480,9,The Dawnbreaker,2024-11-17T07:26:50.000Z,999299,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Divïnity,Priest,Holy,healer,Vol'jin
18,310,307682480,9,The Dawnbreaker,2024-11-17T07:26:50.000Z,999299,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Rattos,Mage,Frost,dps,Antonidas
18,310,307682480,9,The Dawnbreaker,2024-11-17T07:26:50.000Z,999299,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Sebbohr,Paladin,Retribution,dps,Mal'Ganis
18,310,307682480,9,The Dawnbreaker,2024-11-17T07:26:50.000Z,999299,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Mkek,Paladin,Protection,tank,Draenor
19,310,307606252,9,The Dawnbreaker,2024-11-16T20:08:45.000Z,1001716,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Контрудар,Hunter,Survival,dps,Howling Fjord
19,310,307606252,9,The Dawnbreaker,2024-11-16T20:08:45.000Z,1001716,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Myss,Hunter,Beast Mastery,dps,Sinstralis
19,310,307606252,9,The Dawnbreaker,2024-11-16T20:08:45.000Z,1001716,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Лайтмомент,Paladin,Protection,tank,Howling Fjord
19,310,307606252,9,The Dawnbreaker,2024-11-16T20:08:45.000Z,1001716,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Оргазмабомб,Shaman,Enhancement,dps,Howling Fjord
19,310,307606252,9,The Dawnbreaker,2024-11-16T20:08:45.000Z,1001716,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Тайберос,Paladin,Holy,healer,Howling Fjord
20,310,307389735,9,The Dawnbreaker,2024-11-15T19:36:14.000Z,1004165,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Veldonav,Shaman,Restoration,healer,Silvermoon
20,310,307389735,9,The Dawnbreaker,2024-11-15T19:36:14.000Z,1004165,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Tzinchy,Warlock,Demonology,dps,Kazzak
20,310,307389735,9,The Dawnbreaker,2024-11-15T19:36:14.000Z,1004165,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Sayadin,Paladin,Protection,tank,Kazzak
20,310,307389735,9,The Dawnbreaker,2024-11-15T19:36:14.000Z,1004165,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Mudzzan,Rogue,Assassination,dps,Silvermoon
20,310,307389735,9,The Dawnbreaker,2024-11-15T19:36:14.000Z,1004165,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Majstorarsa,Rogue,Assassination,dps,The Maelstrom
21,310,307377187,9,The Dawnbreaker,2024-11-15T18:34:17.000Z,1005344,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Gødlïke,Druid,Balance,dps,Archimonde
