rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,302021279,9,The Dawnbreaker,2024-10-20T23:11:17.000Z,946032,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Атрейдес,Paladin,Retribution,dps,Howling Fjord
1,310,302021279,9,The Dawnbreaker,2024-10-20T23:11:17.000Z,946032,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Dynaheir,Shaman,Restoration,healer,Ysondre
1,310,302021279,9,The Dawnbreaker,2024-10-20T23:11:17.000Z,946032,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Undercoviira,Hunter,Survival,dps,Blackrock
1,310,302021279,9,The Dawnbreaker,2024-10-20T23:11:17.000Z,946032,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Сейтеаль,Druid,Balance,dps,Howling Fjord
1,310,302021279,9,The Dawnbreaker,2024-10-20T23:11:17.000Z,946032,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Depletingdan,Warrior,Protection,tank,Blackrock
2,310,300854323,9,The Dawnbreaker,2024-10-16T19:22:55.000Z,993983,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Kidney,Rogue,Assassination,dps,Ragnaros
2,310,300854323,9,The Dawnbreaker,2024-10-16T19:22:55.000Z,993983,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Agilitymind,Druid,Balance,dps,Stormreaver
2,310,300854323,9,The Dawnbreaker,2024-10-16T19:22:55.000Z,993983,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Winterxo,Death Knight,Frost,dps,Ragnaros
2,310,300854323,9,The Dawnbreaker,2024-10-16T19:22:55.000Z,993983,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Lbolt,Shaman,Restoration,healer,Ragnaros
2,310,300854323,9,The Dawnbreaker,2024-10-16T19:22:55.000Z,993983,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Zileantop,Warrior,Protection,tank,Ragnaros
3,310,301324149,9,The Dawnbreaker,2024-10-19T11:01:52.000Z,1005620,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Zonjaa,Paladin,Retribution,dps,Draenor
3,310,301324149,9,The Dawnbreaker,2024-10-19T11:01:52.000Z,1005620,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Dvagoran,Paladin,Protection,tank,Draenor
3,310,301324149,9,The Dawnbreaker,2024-10-19T11:01:52.000Z,1005620,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Façerôll,Hunter,Marksmanship,dps,Blackrock
3,310,301324149,9,The Dawnbreaker,2024-10-19T11:01:52.000Z,1005620,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Beo,Priest,Discipline,healer,Outland
3,310,301324149,9,The Dawnbreaker,2024-10-19T11:01:52.000Z,1005620,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Thaelgrim,Shaman,Elemental,dps,Antonidas
4,310,301924121,9,The Dawnbreaker,2024-10-21T16:44:19.000Z,1006417,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Dúnedain,Paladin,Retribution,dps,Darksorrow
4,310,301924121,9,The Dawnbreaker,2024-10-21T16:44:19.000Z,1006417,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Malhecha,Shaman,Restoration,healer,Sanguino
4,310,301924121,9,The Dawnbreaker,2024-10-21T16:44:19.000Z,1006417,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Digitalz,Demon Hunter,Vengeance,tank,Twisting Nether
4,310,301924121,9,The Dawnbreaker,2024-10-21T16:44:19.000Z,1006417,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Strïker,Rogue,Assassination,dps,Twisting Nether
4,310,301924121,9,The Dawnbreaker,2024-10-21T16:44:19.000Z,1006417,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Zxwolfxz,Death Knight,Frost,dps,Silvermoon
5,310,301609257,9,The Dawnbreaker,2024-10-20T10:35:58.000Z,1013016,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Zonjaa,Paladin,Retribution,dps,Draenor
5,310,301609257,9,The Dawnbreaker,2024-10-20T10:35:58.000Z,1013016,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Dvagoran,Paladin,Protection,tank,Draenor
5,310,301609257,9,The Dawnbreaker,2024-10-20T10:35:58.000Z,1013016,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Beo,Priest,Discipline,healer,Outland
5,310,301609257,9,The Dawnbreaker,2024-10-20T10:35:58.000Z,1013016,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Herrup,Warlock,Affliction,dps,Ravencrest
5,310,301609257,9,The Dawnbreaker,2024-10-20T10:35:58.000Z,1013016,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Kinasol,Druid,Balance,dps,Ravencrest
6,310,301079714,9,The Dawnbreaker,2024-10-18T13:43:35.000Z,1023397,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Силабури,Shaman,Restoration,healer,Howling Fjord
6,310,301079714,9,The Dawnbreaker,2024-10-18T13:43:35.000Z,1023397,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Zilsar-197658969,Hunter,Marksmanship,dps,Draenor
6,310,301079714,9,The Dawnbreaker,2024-10-18T13:43:35.000Z,1023397,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Brokemylegs,Paladin,Protection,tank,Draenor
6,310,301079714,9,The Dawnbreaker,2024-10-18T13:43:35.000Z,1023397,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Kildem,Rogue,Assassination,dps,Nemesis
6,310,301079714,9,The Dawnbreaker,2024-10-18T13:43:35.000Z,1023397,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Totemduro,Shaman,Elemental,dps,Nemesis
7,310,300905240,9,The Dawnbreaker,2024-10-17T15:49:48.000Z,1023444,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Morfin,Shaman,Elemental,dps,Stormscale
7,310,300905240,9,The Dawnbreaker,2024-10-17T15:49:48.000Z,1023444,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Seaforium,Death Knight,Frost,dps,Stormscale
7,310,300905240,9,The Dawnbreaker,2024-10-17T15:49:48.000Z,1023444,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Vicdamonejr,Warrior,Protection,tank,Stormscale
7,310,300905240,9,The Dawnbreaker,2024-10-17T15:49:48.000Z,1023444,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Lazzeliten,Evoker,Preservation,healer,Stormscale
7,310,300905240,9,The Dawnbreaker,2024-10-17T15:49:48.000Z,1023444,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Shadewl,Warlock,Destruction,dps,Draenor
8,310,300628487,9,The Dawnbreaker,2024-10-16T14:01:22.000Z,1024964,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Firéfiré-53919149,Shaman,Restoration,healer,Blackhand
8,310,300628487,9,The Dawnbreaker,2024-10-16T14:01:22.000Z,1024964,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Trollcuck,Druid,Balance,dps,Tarren Mill
8,310,300628487,9,The Dawnbreaker,2024-10-16T14:01:22.000Z,1024964,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Senseimage,Mage,Frost,dps,Tarren Mill
8,310,300628487,9,The Dawnbreaker,2024-10-16T14:01:22.000Z,1024964,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Лолахд,Paladin,Protection,tank,Howling Fjord
8,310,300628487,9,The Dawnbreaker,2024-10-16T14:01:22.000Z,1024964,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Fadewl,Warlock,Destruction,dps,Tarren Mill
9,310,301526001,9,The Dawnbreaker,2024-10-20T00:35:14.000Z,1026767,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Biffyson,Priest,Discipline,healer,Stormscale
9,310,301526001,9,The Dawnbreaker,2024-10-20T00:35:14.000Z,1026767,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Ivydudu,Druid,Guardian,tank,Ravencrest
9,310,301526001,9,The Dawnbreaker,2024-10-20T00:35:14.000Z,1026767,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Heliossm,Mage,Frost,dps,Ravencrest
9,310,301526001,9,The Dawnbreaker,2024-10-20T00:35:14.000Z,1026767,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Rufzz,Shaman,Enhancement,dps,Silvermoon
9,310,301526001,9,The Dawnbreaker,2024-10-20T00:35:14.000Z,1026767,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Recklesso,Rogue,Assassination,dps,Silvermoon
10,310,302211506,9,The Dawnbreaker,2024-10-22T21:51:04.000Z,1030371,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Clarkéy,Warrior,Arms,dps,Aggramar
10,310,302211506,9,The Dawnbreaker,2024-10-22T21:51:04.000Z,1030371,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Antipyro,Mage,Arcane,dps,Draenor
10,310,302211506,9,The Dawnbreaker,2024-10-22T21:51:04.000Z,1030371,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Promix,Paladin,Retribution,dps,Kazzak
10,310,302211506,9,The Dawnbreaker,2024-10-22T21:51:04.000Z,1030371,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Naturedmgse,Druid,Guardian,tank,Kazzak
10,310,302211506,9,The Dawnbreaker,2024-10-22T21:51:04.000Z,1030371,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Hallwing,Druid,Restoration,healer,Doomhammer
11,310,301113883,9,The Dawnbreaker,2024-10-18T10:47:28.000Z,1031522,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Demenzíal,Mage,Frost,dps,Dun Modr
11,310,301113883,9,The Dawnbreaker,2024-10-18T10:47:28.000Z,1031522,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Kyiz-58187473,Rogue,Assassination,dps,Twisting Nether
11,310,301113883,9,The Dawnbreaker,2024-10-18T10:47:28.000Z,1031522,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Pwarfdorn,Priest,Discipline,healer,Ravencrest
11,310,301113883,9,The Dawnbreaker,2024-10-18T10:47:28.000Z,1031522,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Lrzpriest,Priest,Shadow,dps,Aggra (Português)
11,310,301113883,9,The Dawnbreaker,2024-10-18T10:47:28.000Z,1031522,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Móonyx,Paladin,Protection,tank,Doomhammer
