rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,306642747,9,The Dawnbreaker,2024-11-11T21:43:23.000Z,941689,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Hilmandel,Monk,Mistweaver,healer,Kazzak
1,310,306642747,9,The Dawnbreaker,2024-11-11T21:43:23.000Z,941689,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Cryptoniite,Priest,Shadow,dps,Kazzak
1,310,306642747,9,The Dawnbreaker,2024-11-11T21:43:23.000Z,941689,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Insómnià,Demon Hunter,Vengeance,tank,Kazzak
1,310,306642747,9,The Dawnbreaker,2024-11-11T21:43:23.000Z,941689,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Phinaa,Mage,Fire,dps,Silvermoon
1,310,306642747,9,The Dawnbreaker,2024-11-11T21:43:23.000Z,941689,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Almirsamael,Warrior,Fury,dps,Stormrage
2,310,306047173,9,The Dawnbreaker,2024-11-09T12:23:22.000Z,948054,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Âleister,Shaman,Enhancement,dps,Blackhand
2,310,306047173,9,The Dawnbreaker,2024-11-09T12:23:22.000Z,948054,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Anon8129034,Priest,Discipline,healer,Anonymous
2,310,306047173,9,The Dawnbreaker,2024-11-09T12:23:22.000Z,948054,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Failder,Paladin,Protection,tank,Silvermoon
2,310,306047173,9,The Dawnbreaker,2024-11-09T12:23:22.000Z,948054,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Cyni,Mage,Frost,dps,Tarren Mill
2,310,306047173,9,The Dawnbreaker,2024-11-09T12:23:22.000Z,948054,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Aliica,Rogue,Assassination,dps,Tarren Mill
3,310,306909068,9,The Dawnbreaker,2024-11-09T14:09:12.000Z,949761,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Buffus,Paladin,Protection,tank,Ragnaros
