rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,309375262,9,The Dawnbreaker,2024-11-27T13:50:30.000Z,882425,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Pelmeem,Warlock,Demonology,dps,Al'Akir
1,310,309375262,9,The Dawnbreaker,2024-11-27T13:50:30.000Z,882425,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Mágikern,Mage,Fire,dps,Stormscale
1,310,309375262,9,The Dawnbreaker,2024-11-27T13:50:30.000Z,882425,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Yatopie,Shaman,Elemental,dps,Tarren Mill
1,310,309375262,9,The Dawnbreaker,2024-11-27T13:50:30.000Z,882425,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Scherff,Druid,Guardian,tank,Pozzo dell'Eternità
1,310,309375262,9,The Dawnbreaker,2024-11-27T13:50:30.000Z,882425,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Lukaki,Priest,Discipline,healer,Kazzak
2,310,297488869,9,The Dawnbreaker,2024-10-03T20:56:09.000Z,976421,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Trapyourdad,Hunter,Marksmanship,dps,Draenor
2,310,297488869,9,The Dawnbreaker,2024-10-03T20:56:09.000Z,976421,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Beeznuts,Shaman,Restoration,healer,Draenor
2,310,297488869,9,The Dawnbreaker,2024-10-03T20:56:09.000Z,976421,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Cynthena,Paladin,Holy,healer,Silvermoon
2,310,297488869,9,The Dawnbreaker,2024-10-03T20:56:09.000Z,976421,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Theortically,Mage,Arcane,dps,Kazzak
2,310,297488869,9,The Dawnbreaker,2024-10-03T20:56:09.000Z,976421,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Stenätare,Warrior,Protection,tank,Kazzak
3,310,309422148,9,The Dawnbreaker,2024-11-27T21:24:17.000Z,990230,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Holyflap,Paladin,Retribution,dps,Kazzak
3,310,309422148,9,The Dawnbreaker,2024-11-27T21:24:17.000Z,990230,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Tøfe,Monk,Windwalker,dps,Hyjal
3,310,309422148,9,The Dawnbreaker,2024-11-27T21:24:17.000Z,990230,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Imfix,Death Knight,Blood,tank,Tarren Mill
3,310,309422148,9,The Dawnbreaker,2024-11-27T21:24:17.000Z,990230,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Wrathofgöd,Druid,Restoration,healer,Silvermoon
3,310,309422148,9,The Dawnbreaker,2024-11-27T21:24:17.000Z,990230,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Ilidrak,Demon Hunter,Havoc,dps,Khaz Modan
4,310,309431164,9,The Dawnbreaker,2024-11-27T22:01:31.000Z,991873,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Mihø,Paladin,Protection,tank,Alexstrasza
4,310,309431164,9,The Dawnbreaker,2024-11-27T22:01:31.000Z,991873,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Svesse,Warrior,Fury,dps,Grim Batol
4,310,309431164,9,The Dawnbreaker,2024-11-27T22:01:31.000Z,991873,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Secera,Paladin,Retribution,dps,Madmortem
4,310,309431164,9,The Dawnbreaker,2024-11-27T22:01:31.000Z,991873,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Earb,Paladin,Holy,healer,Madmortem
4,310,309431164,9,The Dawnbreaker,2024-11-27T22:01:31.000Z,991873,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Platonsonret,Paladin,Retribution,dps,Draenor
5,310,309504032,9,The Dawnbreaker,2024-11-28T14:54:28.000Z,996275,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Ohmwrecker,Monk,Windwalker,dps,Stormscale
5,310,309504032,9,The Dawnbreaker,2024-11-28T14:54:28.000Z,996275,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Schamíbamí,Shaman,Enhancement,dps,Antonidas
5,310,309504032,9,The Dawnbreaker,2024-11-28T14:54:28.000Z,996275,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Pinkpower,Evoker,Augmentation,dps,Blackmoore
5,310,309504032,9,The Dawnbreaker,2024-11-28T14:54:28.000Z,996275,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Crsto,Warrior,Protection,tank,Thrall
5,310,309504032,9,The Dawnbreaker,2024-11-28T14:54:28.000Z,996275,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Noloot,Priest,Discipline,healer,Blackmoore
