rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,308717706,9,The Dawnbreaker,2024-11-23T04:28:28.000Z,1016005,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",팔로낢,Warlock,Destruction,dps,Azshara
1,310,308717706,9,The Dawnbreaker,2024-11-23T04:28:28.000Z,1016005,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",취했댕,Monk,Mistweaver,healer,Azshara
1,310,308717706,9,The Dawnbreaker,2024-11-23T04:28:28.000Z,1016005,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",물렁꼬복이,Paladin,Protection,tank,Azshara
1,310,308717706,9,The Dawnbreaker,2024-11-23T04:28:28.000Z,1016005,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",끅끅이,Mage,Frost,dps,Hyjal
1,310,308717706,9,The Dawnbreaker,2024-11-23T04:28:28.000Z,1016005,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",교회다니소,Paladin,Retribution,dps,Azshara
2,310,309203949,9,The Dawnbreaker,2024-11-26T03:28:22.000Z,1081967,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",상몽,Shaman,Enhancement,dps,Azshara
2,310,309203949,9,The Dawnbreaker,2024-11-26T03:28:22.000Z,1081967,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",샨나로,Paladin,Protection,tank,Azshara
2,310,309203949,9,The Dawnbreaker,2024-11-26T03:28:22.000Z,1081967,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",히나밥,Priest,Discipline,healer,Azshara
2,310,309203949,9,The Dawnbreaker,2024-11-26T03:28:22.000Z,1081967,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",신갑송,Death Knight,Frost,dps,Azshara
2,310,309203949,9,The Dawnbreaker,2024-11-26T03:28:22.000Z,1081967,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Zg,Paladin,Retribution,dps,Hyjal
3,310,296740184,9,The Dawnbreaker,2024-09-30T17:05:07.000Z,1089292,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",흰큼이-57371985,Priest,Holy,healer,Azshara
3,310,296740184,9,The Dawnbreaker,2024-09-30T17:05:07.000Z,1089292,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",기므기무,Rogue,Assassination,dps,Azshara
3,310,296740184,9,The Dawnbreaker,2024-09-30T17:05:07.000Z,1089292,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Dalc,Warrior,Protection,tank,Azshara
3,310,296740184,9,The Dawnbreaker,2024-09-30T17:05:07.000Z,1089292,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Ikmaz,Shaman,Enhancement,dps,Azshara
3,310,296740184,9,The Dawnbreaker,2024-09-30T17:05:07.000Z,1089292,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",엔데믹,Mage,Frost,dps,Azshara
4,310,308887852,9,The Dawnbreaker,2024-11-24T03:55:33.000Z,1095843,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",관문병,Warlock,Demonology,dps,Azshara
4,310,308887852,9,The Dawnbreaker,2024-11-24T03:55:33.000Z,1095843,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",버블멜론,Shaman,Enhancement,dps,Azshara
4,310,308887852,9,The Dawnbreaker,2024-11-24T03:55:33.000Z,1095843,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",몬주미미,Paladin,Retribution,dps,Azshara
4,310,308887852,9,The Dawnbreaker,2024-11-24T03:55:33.000Z,1095843,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",쪼꼬맹이런츠,Monk,Mistweaver,healer,Azshara
4,310,308887852,9,The Dawnbreaker,2024-11-24T03:55:33.000Z,1095843,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",줌의-231512539,Paladin,Protection,tank,Azshara
5,310,296108397,9,The Dawnbreaker,2024-09-28T14:39:51.000Z,1118061,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",노영찬,Monk,Windwalker,dps,Azshara
5,310,296108397,9,The Dawnbreaker,2024-09-28T14:39:51.000Z,1118061,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",데자와맥콜솔의눈-226760665,Shaman,Elemental,dps,Azshara
5,310,296108397,9,The Dawnbreaker,2024-09-28T14:39:51.000Z,1118061,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",중꺾않마,Paladin,Holy,healer,Azshara
5,310,296108397,9,The Dawnbreaker,2024-09-28T14:39:51.000Z,1118061,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",김판금갑옷-228049898,Death Knight,Frost,dps,Azshara
5,310,296108397,9,The Dawnbreaker,2024-09-28T14:39:51.000Z,1118061,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",요요하는모습-228284520,Warrior,Protection,tank,Azshara
6,310,308626594,9,The Dawnbreaker,2024-11-22T20:51:38.000Z,1120416,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",꼬마공주흑마,Warlock,Destruction,dps,Windrunner
6,310,308626594,9,The Dawnbreaker,2024-11-22T20:51:38.000Z,1120416,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",애군,Paladin,Protection,tank,Azshara
