rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,298812896,9,The Dawnbreaker,2024-10-09T05:11:39.000Z,1095896,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",리메,Priest,Discipline,healer,Azshara
1,310,298812896,9,The Dawnbreaker,2024-10-09T05:11:39.000Z,1095896,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",김모린,Rogue,Outlaw,dps,Azshara
1,310,298812896,9,The Dawnbreaker,2024-10-09T05:11:39.000Z,1095896,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",잊어버린드루-224597363,Druid,Balance,dps,Azshara
1,310,298812896,9,The Dawnbreaker,2024-10-09T05:11:39.000Z,1095896,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Pitie,Mage,Frost,dps,Azshara
1,310,298812896,9,The Dawnbreaker,2024-10-09T05:11:39.000Z,1095896,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",왕땡구,Paladin,Protection,tank,Azshara
2,310,298202631,9,The Dawnbreaker,2024-10-06T14:37:40.000Z,1098170,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",게종,Death Knight,Frost,dps,Azshara
2,310,298202631,9,The Dawnbreaker,2024-10-06T14:37:40.000Z,1098170,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",조수회드,Druid,Guardian,tank,Azshara
2,310,298202631,9,The Dawnbreaker,2024-10-06T14:37:40.000Z,1098170,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",천일짱,Warrior,Fury,dps,Azshara
2,310,298202631,9,The Dawnbreaker,2024-10-06T14:37:40.000Z,1098170,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",복큼이,Shaman,Restoration,healer,Azshara
2,310,298202631,9,The Dawnbreaker,2024-10-06T14:37:40.000Z,1098170,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",워크처음입니다-228518271,Hunter,Marksmanship,dps,Azshara
3,310,309456159,9,The Dawnbreaker,2024-11-28T02:43:20.000Z,1103085,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Anon36BA391,Shaman,Elemental,dps,Anonymous
3,310,309456159,9,The Dawnbreaker,2024-11-28T02:43:20.000Z,1103085,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",뿡이가온다,Druid,Restoration,healer,Deathwing
3,310,309456159,9,The Dawnbreaker,2024-11-28T02:43:20.000Z,1103085,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",누렁이로미,Paladin,Protection,tank,Deathwing
3,310,309456159,9,The Dawnbreaker,2024-11-28T02:43:20.000Z,1103085,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",럭키비키잔앙,Warlock,Destruction,dps,Azshara
3,310,309456159,9,The Dawnbreaker,2024-11-28T02:43:20.000Z,1103085,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",백합송이,Rogue,Assassination,dps,Azshara
4,310,309490085,9,The Dawnbreaker,2024-11-28T11:20:48.000Z,1129982,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",박방밀,Warrior,Protection,tank,Deathwing
