rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,302711909,9,The Dawnbreaker,2024-10-25T07:52:23.000Z,986613,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",企鵝薩滿,Shaman,Elemental,dps,Shadowmoon
1,310,302711909,9,The Dawnbreaker,2024-10-25T07:52:23.000Z,986613,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",生化桃子,Paladin,Retribution,dps,Zealot Blade
1,310,302711909,9,The Dawnbreaker,2024-10-25T07:52:23.000Z,986613,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",羊咩,Rogue,Assassination,dps,Quel'dorei
1,310,302711909,9,The Dawnbreaker,2024-10-25T07:52:23.000Z,986613,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",汐雪,Druid,Restoration,healer,Shadowmoon
1,310,302711909,9,The Dawnbreaker,2024-10-25T07:52:23.000Z,986613,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",太屌鳥,Paladin,Protection,tank,Shadowmoon
2,310,303122692,9,The Dawnbreaker,2024-10-26T20:41:46.000Z,1009083,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",山形健,Shaman,Restoration,healer,Wrathbringer
2,310,303122692,9,The Dawnbreaker,2024-10-26T20:41:46.000Z,1009083,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",扒褲亂擼,Shaman,Elemental,dps,Sundown Marsh
2,310,303122692,9,The Dawnbreaker,2024-10-26T20:41:46.000Z,1009083,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",靈感,Paladin,Protection,tank,Chillwind Point
2,310,303122692,9,The Dawnbreaker,2024-10-26T20:41:46.000Z,1009083,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",幽暝君主,Death Knight,Frost,dps,Sundown Marsh
2,310,303122692,9,The Dawnbreaker,2024-10-26T20:41:46.000Z,1009083,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Deathcake,Death Knight,Frost,dps,Arthas
