rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,308063722,9,The Dawnbreaker,2024-11-18T12:08:47.000Z,988427,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Resxtne,Druid,Balance,dps,Order of the Cloud Serpent
1,310,308063722,9,The Dawnbreaker,2024-11-18T12:08:47.000Z,988427,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",女僕,Paladin,Holy,healer,Arygos
1,310,308063722,9,The Dawnbreaker,2024-11-18T12:08:47.000Z,988427,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",紳丶聖騎士,Paladin,Protection,tank,Sundown Marsh
1,310,308063722,9,The Dawnbreaker,2024-11-18T12:08:47.000Z,988427,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",蔥蔥聖,Paladin,Retribution,dps,Shadowmoon
1,310,308063722,9,The Dawnbreaker,2024-11-18T12:08:47.000Z,988427,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",薩筆,Shaman,Elemental,dps,Whisperwind
2,310,307125346,9,The Dawnbreaker,2024-11-14T06:59:34.000Z,1071808,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Helios,Druid,Balance,dps,Silverwing Hold
2,310,307125346,9,The Dawnbreaker,2024-11-14T06:59:34.000Z,1071808,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",想念狂徒,Rogue,Assassination,dps,Sundown Marsh
2,310,307125346,9,The Dawnbreaker,2024-11-14T06:59:34.000Z,1071808,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",蒼天疾驅,Demon Hunter,Vengeance,tank,Bleeding Hollow
2,310,307125346,9,The Dawnbreaker,2024-11-14T06:59:34.000Z,1071808,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",洛葵,Priest,Discipline,healer,Silverwing Hold
2,310,307125346,9,The Dawnbreaker,2024-11-14T06:59:34.000Z,1071808,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Bohemsix,Hunter,Survival,dps,Sundown Marsh
3,310,308081776,9,The Dawnbreaker,2024-11-19T11:02:44.000Z,1109267,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",艾莉西雅雪兒,Shaman,Enhancement,dps,Whisperwind
3,310,308081776,9,The Dawnbreaker,2024-11-19T11:02:44.000Z,1109267,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",純真學妹,Warlock,Destruction,dps,Arthas
3,310,308081776,9,The Dawnbreaker,2024-11-19T11:02:44.000Z,1109267,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",聖光小雨,Paladin,Protection,tank,Zealot Blade
3,310,308081776,9,The Dawnbreaker,2024-11-19T11:02:44.000Z,1109267,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Noah,Warrior,Fury,dps,Whisperwind
3,310,308081776,9,The Dawnbreaker,2024-11-19T11:02:44.000Z,1109267,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",藍貓帽阿極,Monk,Mistweaver,healer,Nightsong
4,310,307512163,9,The Dawnbreaker,2024-11-16T09:06:33.000Z,1126816,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",孤傲噬夜,Demon Hunter,Vengeance,tank,Crystalpine Stinger
4,310,307512163,9,The Dawnbreaker,2024-11-16T09:06:33.000Z,1126816,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Ezioauditore,Warlock,Destruction,dps,Chillwind Point
4,310,307512163,9,The Dawnbreaker,2024-11-16T09:06:33.000Z,1126816,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",幼幼班葵班長,Shaman,Restoration,healer,Sundown Marsh
4,310,307512163,9,The Dawnbreaker,2024-11-16T09:06:33.000Z,1126816,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",你望望你大哥,Death Knight,Frost,dps,Chillwind Point
4,310,307512163,9,The Dawnbreaker,2024-11-16T09:06:33.000Z,1126816,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",殤痕羽,Paladin,Retribution,dps,Whisperwind
5,310,307256922,9,The Dawnbreaker,2024-11-15T02:04:09.000Z,1129468,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",妹子有點兇,Monk,Brewmaster,tank,Crystalpine Stinger
5,310,307256922,9,The Dawnbreaker,2024-11-15T02:04:09.000Z,1129468,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",希銘與小翠兒,Hunter,Survival,dps,Shadowmoon
5,310,307256922,9,The Dawnbreaker,2024-11-15T02:04:09.000Z,1129468,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",軟的硬堅果,Shaman,Enhancement,dps,Wrathbringer
5,310,307256922,9,The Dawnbreaker,2024-11-15T02:04:09.000Z,1129468,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",迪布洛蕯斯,Paladin,Retribution,dps,Arygos
5,310,307256922,9,The Dawnbreaker,2024-11-15T02:04:09.000Z,1129468,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Yukana,Druid,Restoration,healer,Shadowmoon
6,310,308252255,9,The Dawnbreaker,2024-11-20T08:48:58.000Z,1134236,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Doppler,Druid,Restoration,healer,Demon Fall Canyon
6,310,308252255,9,The Dawnbreaker,2024-11-20T08:48:58.000Z,1134236,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",奶油炮芙手,Paladin,Protection,tank,Sundown Marsh
6,310,308252255,9,The Dawnbreaker,2024-11-20T08:48:58.000Z,1134236,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",法力幽默,Mage,Frost,dps,Sundown Marsh
6,310,308252255,9,The Dawnbreaker,2024-11-20T08:48:58.000Z,1134236,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Donker,Shaman,Enhancement,dps,Demon Fall Canyon
6,310,308252255,9,The Dawnbreaker,2024-11-20T08:48:58.000Z,1134236,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",雷電法王,Shaman,Elemental,dps,Quel'dorei
7,310,307130955,9,The Dawnbreaker,2024-11-14T08:27:18.000Z,1136680,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",佛朗吉,Paladin,Retribution,dps,Wrathbringer
7,310,307130955,9,The Dawnbreaker,2024-11-14T08:27:18.000Z,1136680,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",最初造物主,Paladin,Retribution,dps,Shadowmoon
7,310,307130955,9,The Dawnbreaker,2024-11-14T08:27:18.000Z,1136680,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Bohemsix,Hunter,Survival,dps,Sundown Marsh
7,310,307130955,9,The Dawnbreaker,2024-11-14T08:27:18.000Z,1136680,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Talonflame,Paladin,Holy,healer,Zealot Blade
7,310,307130955,9,The Dawnbreaker,2024-11-14T08:27:18.000Z,1136680,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",剩下饅頭,Paladin,Protection,tank,Sundown Marsh
8,310,307673599,9,The Dawnbreaker,2024-11-17T07:24:03.000Z,1141441,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",緋羅奈奈,Paladin,Retribution,dps,Spirestone
8,310,307673599,9,The Dawnbreaker,2024-11-17T07:24:03.000Z,1141441,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",聖光小妹,Paladin,Holy,healer,Wrathbringer
8,310,307673599,9,The Dawnbreaker,2024-11-17T07:24:03.000Z,1141441,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Fool,Warlock,Destruction,dps,Nightsong
8,310,307673599,9,The Dawnbreaker,2024-11-17T07:24:03.000Z,1141441,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Anontokyo,Death Knight,Blood,tank,Skywall
8,310,307673599,9,The Dawnbreaker,2024-11-17T07:24:03.000Z,1141441,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",無恥男,Mage,Frost,dps,Shadowmoon
9,310,307739510,9,The Dawnbreaker,2024-11-17T15:11:20.000Z,1141632,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",抬頭天堂,Mage,Fire,dps,Arthas
9,310,307739510,9,The Dawnbreaker,2024-11-17T15:11:20.000Z,1141632,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",青眼白熊,Monk,Mistweaver,healer,Crystalpine Stinger
