rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,308779338,9,The Dawnbreaker,2024-11-23T16:35:54.000Z,1029805,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",爛爛,Shaman,Restoration,healer,World Tree
1,310,308779338,9,The Dawnbreaker,2024-11-23T16:35:54.000Z,1029805,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Boyupaladin,Paladin,Protection,tank,Shadowmoon
1,310,308779338,9,The Dawnbreaker,2024-11-23T16:35:54.000Z,1029805,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",司考恩,Shaman,Elemental,dps,Arygos
1,310,308779338,9,The Dawnbreaker,2024-11-23T16:35:54.000Z,1029805,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Cliff,Hunter,Survival,dps,Menethil
1,310,308779338,9,The Dawnbreaker,2024-11-23T16:35:54.000Z,1029805,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Enhancedave,Shaman,Enhancement,dps,Nightsong
2,310,309222533,9,The Dawnbreaker,2024-11-26T14:23:34.000Z,1060606,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",野孩子就愛玩,Hunter,Survival,dps,Arthas
2,310,309222533,9,The Dawnbreaker,2024-11-26T14:23:34.000Z,1060606,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",山田杏奈,Shaman,Elemental,dps,Sundown Marsh
2,310,309222533,9,The Dawnbreaker,2024-11-26T14:23:34.000Z,1060606,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Alvar,Paladin,Protection,tank,Spirestone
2,310,309222533,9,The Dawnbreaker,2024-11-26T14:23:34.000Z,1060606,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",詭鬼,Rogue,Assassination,dps,Sundown Marsh
2,310,309222533,9,The Dawnbreaker,2024-11-26T14:23:34.000Z,1060606,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",回魂木木,Priest,Discipline,healer,Sundown Marsh
3,310,308769642,9,The Dawnbreaker,2024-11-23T16:50:26.000Z,1072879,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",花賦,Shaman,Enhancement,dps,Bleeding Hollow
3,310,308769642,9,The Dawnbreaker,2024-11-23T16:50:26.000Z,1072879,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",綠茶,Death Knight,Frost,dps,World Tree
3,310,308769642,9,The Dawnbreaker,2024-11-23T16:50:26.000Z,1072879,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",小周二號,Paladin,Protection,tank,Dragonmaw
3,310,308769642,9,The Dawnbreaker,2024-11-23T16:50:26.000Z,1072879,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",妲娜希語風,Druid,Restoration,healer,Stormscale
3,310,308769642,9,The Dawnbreaker,2024-11-23T16:50:26.000Z,1072879,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",小捌沏,Paladin,Retribution,dps,World Tree
4,310,294420959,9,The Dawnbreaker,2024-10-02T08:29:15.000Z,1075945,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",孤傲噬夜,Demon Hunter,Vengeance,tank,Crystalpine Stinger
4,310,294420959,9,The Dawnbreaker,2024-10-02T08:29:15.000Z,1075945,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Anon36BB967,Hunter,Marksmanship,dps,Anonymous
4,310,294420959,9,The Dawnbreaker,2024-10-02T08:29:15.000Z,1075945,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",南無戰門陀螺,Mage,Arcane,dps,Frostmane
4,310,294420959,9,The Dawnbreaker,2024-10-02T08:29:15.000Z,1075945,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",貓貓薩,Shaman,Restoration,healer,Wrathbringer
4,310,294420959,9,The Dawnbreaker,2024-10-02T08:29:15.000Z,1075945,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",AnonD0DA46E,Paladin,Retribution,dps,Anonymous
5,310,308733071,9,The Dawnbreaker,2024-11-23T12:59:51.000Z,1085068,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",神棍闖江湖,Death Knight,Unholy,dps,Shadowmoon
5,310,308733071,9,The Dawnbreaker,2024-11-23T12:59:51.000Z,1085068,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",月之子,Rogue,Assassination,dps,Stormscale
5,310,308733071,9,The Dawnbreaker,2024-11-23T12:59:51.000Z,1085068,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",巧達欸逼耊,Paladin,Protection,tank,Skywall
5,310,308733071,9,The Dawnbreaker,2024-11-23T12:59:51.000Z,1085068,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",花漾明星,Priest,Discipline,healer,Arthas
5,310,308733071,9,The Dawnbreaker,2024-11-23T12:59:51.000Z,1085068,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",瞇人小奶投,Hunter,Survival,dps,Shadowmoon
6,310,308785033,9,The Dawnbreaker,2024-11-23T18:35:20.000Z,1088355,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",雪漾泡泡,Paladin,Retribution,dps,Hellscream
6,310,308785033,9,The Dawnbreaker,2024-11-23T18:35:20.000Z,1088355,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",記憶中的風,Shaman,Enhancement,dps,Demon Fall Canyon
6,310,308785033,9,The Dawnbreaker,2024-11-23T18:35:20.000Z,1088355,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",芮芮幫你騎,Paladin,Retribution,dps,Demon Fall Canyon
6,310,308785033,9,The Dawnbreaker,2024-11-23T18:35:20.000Z,1088355,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",光鑄史瓦羅,Paladin,Protection,tank,Arygos
6,310,308785033,9,The Dawnbreaker,2024-11-23T18:35:20.000Z,1088355,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",氣噗噗先生,Priest,Discipline,healer,Nightsong
7,310,309094320,9,The Dawnbreaker,2024-11-25T16:13:48.000Z,1091435,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",咖啡茶,Death Knight,Frost,dps,Stormscale
7,310,309094320,9,The Dawnbreaker,2024-11-25T16:13:48.000Z,1091435,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Ixis,Paladin,Retribution,dps,Arygos
7,310,309094320,9,The Dawnbreaker,2024-11-25T16:13:48.000Z,1091435,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",冷吱吱,Mage,Frost,dps,World Tree
7,310,309094320,9,The Dawnbreaker,2024-11-25T16:13:48.000Z,1091435,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Boyupaladin,Paladin,Protection,tank,Shadowmoon
7,310,309094320,9,The Dawnbreaker,2024-11-25T16:13:48.000Z,1091435,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Chuo,Priest,Discipline,healer,Sundown Marsh
