rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,301790240,9,The Dawnbreaker,2024-10-20T22:44:51.000Z,1090155,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",大劍獅,Death Knight,Unholy,dps,Sundown Marsh
1,310,301790240,9,The Dawnbreaker,2024-10-20T22:44:51.000Z,1090155,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",超罪惡炸姬,Mage,Arcane,dps,Whisperwind
1,310,301790240,9,The Dawnbreaker,2024-10-20T22:44:51.000Z,1090155,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",冽光,Paladin,Protection,tank,Light's Hope
1,310,301790240,9,The Dawnbreaker,2024-10-20T22:44:51.000Z,1090155,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",德拉諾熱可可,Warrior,Arms,dps,Hellscream
1,310,301790240,9,The Dawnbreaker,2024-10-20T22:44:51.000Z,1090155,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Upliftspice,Shaman,Restoration,healer,Hellscream
2,310,300821941,9,The Dawnbreaker,2024-10-17T09:52:57.000Z,1113487,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",企鵝發大財,Rogue,Assassination,dps,Arthas
2,310,300821941,9,The Dawnbreaker,2024-10-17T09:52:57.000Z,1113487,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Yamadope,Warrior,Protection,tank,Menethil
2,310,300821941,9,The Dawnbreaker,2024-10-17T09:52:57.000Z,1113487,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Morphy,Priest,Discipline,healer,Frostmane
2,310,300821941,9,The Dawnbreaker,2024-10-17T09:52:57.000Z,1113487,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",腎麒釋,Paladin,Retribution,dps,Dragonmaw
2,310,300821941,9,The Dawnbreaker,2024-10-17T09:52:57.000Z,1113487,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",嬉皮-228281417,Shaman,Elemental,dps,Frostmane
3,310,300902916,9,The Dawnbreaker,2024-10-17T18:01:02.000Z,1128711,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",月以煜夜,Rogue,Assassination,dps,Sundown Marsh
3,310,300902916,9,The Dawnbreaker,2024-10-17T18:01:02.000Z,1128711,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",倪妮,Paladin,Holy,healer,Icecrown
3,310,300902916,9,The Dawnbreaker,2024-10-17T18:01:02.000Z,1128711,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",咱們乃貓是也,Druid,Guardian,tank,Crystalpine Stinger
3,310,300902916,9,The Dawnbreaker,2024-10-17T18:01:02.000Z,1128711,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",漓樂,Death Knight,Frost,dps,Crystalpine Stinger
3,310,300902916,9,The Dawnbreaker,2024-10-17T18:01:02.000Z,1128711,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",玄米焙茶,Shaman,Enhancement,dps,Sundown Marsh
4,310,301600566,9,The Dawnbreaker,2024-10-20T08:38:54.000Z,1133598,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",赫克特,Monk,Brewmaster,tank,Quel'dorei
4,310,301600566,9,The Dawnbreaker,2024-10-20T08:38:54.000Z,1133598,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Phliciya,Priest,Holy,healer,Arthas
4,310,301600566,9,The Dawnbreaker,2024-10-20T08:38:54.000Z,1133598,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",果汁汽水,Mage,Frost,dps,Arthas
4,310,301600566,9,The Dawnbreaker,2024-10-20T08:38:54.000Z,1133598,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",幾田莉拉,Evoker,Devastation,dps,Spirestone
4,310,301600566,9,The Dawnbreaker,2024-10-20T08:38:54.000Z,1133598,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",超瑟瑟咩噗,Death Knight,Unholy,dps,Arthas
5,310,301374563,9,The Dawnbreaker,2024-10-19T15:29:39.000Z,1140935,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",喪變,Druid,Guardian,tank,Spirestone
5,310,301374563,9,The Dawnbreaker,2024-10-19T15:29:39.000Z,1140935,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",怪醫奇瓦戈,Warlock,Affliction,dps,Crystalpine Stinger
5,310,301374563,9,The Dawnbreaker,2024-10-19T15:29:39.000Z,1140935,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",若雨彤,Shaman,Restoration,healer,Shadowmoon
5,310,301374563,9,The Dawnbreaker,2024-10-19T15:29:39.000Z,1140935,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",足智多哞,Mage,Frost,dps,Crystalpine Stinger
5,310,301374563,9,The Dawnbreaker,2024-10-19T15:29:39.000Z,1140935,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Qqsb,Rogue,Assassination,dps,Spirestone
6,310,300881906,9,The Dawnbreaker,2024-10-17T16:53:11.000Z,1148507,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",邪惡的小白,Mage,Fire,dps,Sundown Marsh
6,310,300881906,9,The Dawnbreaker,2024-10-17T16:53:11.000Z,1148507,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",豪宇,Warrior,Protection,tank,Sundown Marsh
6,310,300881906,9,The Dawnbreaker,2024-10-17T16:53:11.000Z,1148507,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Nomsyolk,Shaman,Enhancement,dps,Sundown Marsh
