rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,301812669,9,The Dawnbreaker,2024-10-21T01:31:39.000Z,976250,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Bluebeanie,Shaman,Elemental,dps,Frostmourne
1,310,301812669,9,The Dawnbreaker,2024-10-21T01:31:39.000Z,976250,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Markum,Demon Hunter,Vengeance,tank,Area 52
1,310,301812669,9,The Dawnbreaker,2024-10-21T01:31:39.000Z,976250,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Knazzret,Paladin,Retribution,dps,Kel'Thuzad
1,310,301812669,9,The Dawnbreaker,2024-10-21T01:31:39.000Z,976250,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Nottik,Paladin,Retribution,dps,Zul'jin
1,310,301812669,9,The Dawnbreaker,2024-10-21T01:31:39.000Z,976250,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Squatchx,Shaman,Restoration,healer,Illidan
2,310,301248619,9,The Dawnbreaker,2024-10-19T02:03:18.000Z,1006059,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Zebrinå,Shaman,Restoration,healer,Proudmoore
2,310,301248619,9,The Dawnbreaker,2024-10-19T02:03:18.000Z,1006059,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Pyxis,Rogue,Assassination,dps,Proudmoore
2,310,301248619,9,The Dawnbreaker,2024-10-19T02:03:18.000Z,1006059,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Huezy,Paladin,Protection,tank,Ghostlands
2,310,301248619,9,The Dawnbreaker,2024-10-19T02:03:18.000Z,1006059,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Omv,Priest,Shadow,dps,Bleeding Hollow
2,310,301248619,9,The Dawnbreaker,2024-10-19T02:03:18.000Z,1006059,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Bertus,Death Knight,Frost,dps,Kael'thas
3,310,301286292,9,The Dawnbreaker,2024-10-17T00:50:31.000Z,1011370,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Susette,Paladin,Retribution,dps,Sargeras
3,310,301286292,9,The Dawnbreaker,2024-10-17T00:50:31.000Z,1011370,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Slaidge-229541100,Shaman,Enhancement,dps,Illidan
3,310,301286292,9,The Dawnbreaker,2024-10-17T00:50:31.000Z,1011370,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Altay-229541103,Priest,Discipline,healer,Sargeras
3,310,301286292,9,The Dawnbreaker,2024-10-17T00:50:31.000Z,1011370,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Coldanutiy-229599448,Death Knight,Frost,dps,Stormrage
3,310,301286292,9,The Dawnbreaker,2024-10-17T00:50:31.000Z,1011370,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Castondeath-229599449,Warrior,Protection,tank,Illidan
