rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,305828638,9,The Dawnbreaker,2024-11-08T05:03:02.000Z,969646,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Olibiahye,Rogue,Assassination,dps,Kel'Thuzad
1,310,305828638,9,The Dawnbreaker,2024-11-08T05:03:02.000Z,969646,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Celtee-205479182,Paladin,Protection,tank,Tichondrius
1,310,305828638,9,The Dawnbreaker,2024-11-08T05:03:02.000Z,969646,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Firesdown,Priest,Discipline,healer,Area 52
1,310,305828638,9,The Dawnbreaker,2024-11-08T05:03:02.000Z,969646,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Seaotter,Warlock,Destruction,dps,Kel'Thuzad
1,310,305828638,9,The Dawnbreaker,2024-11-08T05:03:02.000Z,969646,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Ndle,Shaman,Enhancement,dps,Area 52
2,310,306473301,9,The Dawnbreaker,2024-11-11T02:23:12.000Z,983030,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Holysbarkz,Paladin,Retribution,dps,Tichondrius
2,310,306473301,9,The Dawnbreaker,2024-11-11T02:23:12.000Z,983030,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Ravsv,Shaman,Enhancement,dps,Bleeding Hollow
2,310,306473301,9,The Dawnbreaker,2024-11-11T02:23:12.000Z,983030,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Preparedfour,Demon Hunter,Vengeance,tank,Illidan
2,310,306473301,9,The Dawnbreaker,2024-11-11T02:23:12.000Z,983030,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Fadexd,Priest,Discipline,healer,Illidan
2,310,306473301,9,The Dawnbreaker,2024-11-11T02:23:12.000Z,983030,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Reloe,Priest,Shadow,dps,Illidan
3,310,306485139,9,The Dawnbreaker,2024-11-11T03:38:03.000Z,984456,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Unclegary-137208058,Shaman,Enhancement,dps,Mal'Ganis
3,310,306485139,9,The Dawnbreaker,2024-11-11T03:38:03.000Z,984456,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Sunnier,Paladin,Protection,tank,Area 52
3,310,306485139,9,The Dawnbreaker,2024-11-11T03:38:03.000Z,984456,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Eyradesa,Priest,Discipline,healer,Zul'jin
3,310,306485139,9,The Dawnbreaker,2024-11-11T03:38:03.000Z,984456,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Warlakaflaka,Warlock,Destruction,dps,Zul'jin
