rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,309255222,9,The Dawnbreaker,2024-11-26T18:39:33.000Z,899385,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Vargheind,Evoker,Devastation,dps,Azralon
1,310,309255222,9,The Dawnbreaker,2024-11-26T18:39:33.000Z,899385,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Näever,Druid,Guardian,tank,Azralon
1,310,309255222,9,The Dawnbreaker,2024-11-26T18:39:33.000Z,899385,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Dinovsdino,Paladin,Retribution,dps,Azralon
1,310,309255222,9,The Dawnbreaker,2024-11-26T18:39:33.000Z,899385,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Saliana,Monk,Mistweaver,healer,Azralon
1,310,309255222,9,The Dawnbreaker,2024-11-26T18:39:33.000Z,899385,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Fredopriest,Priest,Shadow,dps,Area 52
2,310,309455582,9,The Dawnbreaker,2024-11-28T03:57:02.000Z,915974,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Narutoamv,Paladin,Protection,tank,Area 52
2,310,309455582,9,The Dawnbreaker,2024-11-28T03:57:02.000Z,915974,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Rispyr,Evoker,Augmentation,dps,Area 52
2,310,309455582,9,The Dawnbreaker,2024-11-28T03:57:02.000Z,915974,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Lavaenjoyer,Shaman,Enhancement,dps,Tichondrius
2,310,309455582,9,The Dawnbreaker,2024-11-28T03:57:02.000Z,915974,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Thesassyseal,Death Knight,Frost,dps,Dalaran
2,310,309455582,9,The Dawnbreaker,2024-11-28T03:57:02.000Z,915974,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Rygg,Priest,Discipline,healer,Dalaran
3,310,309265452,9,The Dawnbreaker,2024-11-26T20:16:59.000Z,977846,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Tetsusaiga,Paladin,Retribution,dps,Sargeras
3,310,309265452,9,The Dawnbreaker,2024-11-26T20:16:59.000Z,977846,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Vargheind,Evoker,Devastation,dps,Azralon
3,310,309265452,9,The Dawnbreaker,2024-11-26T20:16:59.000Z,977846,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Näever,Druid,Guardian,tank,Azralon
3,310,309265452,9,The Dawnbreaker,2024-11-26T20:16:59.000Z,977846,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Saliana,Monk,Mistweaver,healer,Azralon
3,310,309265452,9,The Dawnbreaker,2024-11-26T20:16:59.000Z,977846,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Jeruko-227486773,Priest,Shadow,dps,Proudmoore
4,310,309450127,9,The Dawnbreaker,2024-11-28T01:27:56.000Z,1011570,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Gnt,Druid,Balance,dps,Mal'Ganis
