rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,303636814,9,The Necrotic Wake,2024-10-29T15:03:48.000Z,1094135,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",阿沃沃,Priest,Discipline,healer,The Great Sea
1,310,303636814,9,The Necrotic Wake,2024-10-29T15:03:48.000Z,1094135,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",丶十九,Death Knight,Frost,dps,Argus
1,310,303636814,9,The Necrotic Wake,2024-10-29T15:03:48.000Z,1094135,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",星见雅,Demon Hunter,Havoc,dps,Rhonin
1,310,303636814,9,The Necrotic Wake,2024-10-29T15:03:48.000Z,1094135,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",老肝妈,Shaman,Enhancement,dps,The Great Sea
1,310,303636814,9,The Necrotic Wake,2024-10-29T15:03:48.000Z,1094135,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Noobadin,Paladin,Protection,tank,Pandaren
2,310,303412378,9,The Necrotic Wake,2024-10-28T13:25:42.000Z,1102297,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",桃腮带花七七,Warlock,Destruction,dps,Shadowmourne
2,310,303412378,9,The Necrotic Wake,2024-10-28T13:25:42.000Z,1102297,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",桂花酒,Shaman,Restoration,healer,Shadowmourne
2,310,303412378,9,The Necrotic Wake,2024-10-28T13:25:42.000Z,1102297,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",樱雪松梨,Priest,Shadow,dps,Shadowmourne
2,310,303412378,9,The Necrotic Wake,2024-10-28T13:25:42.000Z,1102297,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",九莲宝灯丶,Mage,Frost,dps,Isillien
2,310,303412378,9,The Necrotic Wake,2024-10-28T13:25:42.000Z,1102297,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",北原和纱丶,Warrior,Protection,tank,Shadowmourne
3,310,303479246,9,The Necrotic Wake,2024-10-28T19:59:01.000Z,1113643,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",天才北极星,Rogue,Assassination,dps,The Master's Glaive
3,310,303479246,9,The Necrotic Wake,2024-10-28T19:59:01.000Z,1113643,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Xzpala,Paladin,Retribution,dps,Al'ar
3,310,303479246,9,The Necrotic Wake,2024-10-28T19:59:01.000Z,1113643,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",夏日璀璨丶,Paladin,Protection,tank,Silver Hand
3,310,303479246,9,The Necrotic Wake,2024-10-28T19:59:01.000Z,1113643,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",白色艺术生,Priest,Discipline,healer,The Great Sea
3,310,303479246,9,The Necrotic Wake,2024-10-28T19:59:01.000Z,1113643,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",阿迷乄,Shaman,Elemental,dps,Al'ar
4,309,303843630,9,The Necrotic Wake,2024-10-30T14:40:17.000Z,1221122,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",长生不老,Shaman,Elemental,dps,Chillwind Point
4,309,303843630,9,The Necrotic Wake,2024-10-30T14:40:17.000Z,1221122,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",丶狠人睿,Warrior,Fury,dps,Silver Hand
4,309,303843630,9,The Necrotic Wake,2024-10-30T14:40:17.000Z,1221122,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",毛毛儿,Paladin,Protection,tank,Valley of Kings
4,309,303843630,9,The Necrotic Wake,2024-10-30T14:40:17.000Z,1221122,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",彧乄幺幺,Druid,Restoration,healer,Doomwalker
4,309,303843630,9,The Necrotic Wake,2024-10-30T14:40:17.000Z,1221122,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",小骚阳,Paladin,Retribution,dps,Silver Hand
5,308.3,302415838,9,The Necrotic Wake,2024-10-24T03:10:15.000Z,1257311,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",狂小昂,Demon Hunter,Havoc,dps,The Great Sea
