rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,307283139,9,The Necrotic Wake,2024-11-15T07:50:59.000Z,973113,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",我能吃十碗,Priest,Discipline,healer,Dragonmaw
1,310,307283139,9,The Necrotic Wake,2024-11-15T07:50:59.000Z,973113,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",小巷静秋月明,Death Knight,Frost,dps,Burning Blade
1,310,307283139,9,The Necrotic Wake,2024-11-15T07:50:59.000Z,973113,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",耶巴弟,Warrior,Protection,tank,Burning Blade
1,310,307283139,9,The Necrotic Wake,2024-11-15T07:50:59.000Z,973113,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",月光灬传说,Mage,Fire,dps,Dragonmaw
1,310,307283139,9,The Necrotic Wake,2024-11-15T07:50:59.000Z,973113,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",枫华正茂,Paladin,Retribution,dps,Burning Blade
2,310,307451956,9,The Necrotic Wake,2024-11-16T05:36:38.000Z,998139,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Touchingface,Paladin,Protection,tank,Rhonin
2,310,307451956,9,The Necrotic Wake,2024-11-16T05:36:38.000Z,998139,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",花谱,Shaman,Enhancement,dps,Al'ar
2,310,307451956,9,The Necrotic Wake,2024-11-16T05:36:38.000Z,998139,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",宾州飞火,Priest,Discipline,healer,Shadowmourne
2,310,307451956,9,The Necrotic Wake,2024-11-16T05:36:38.000Z,998139,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",白菜丸子汤丶,Warlock,Demonology,dps,Burning Blade
2,310,307451956,9,The Necrotic Wake,2024-11-16T05:36:38.000Z,998139,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Rogted,Rogue,Assassination,dps,Burning Blade
