rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,308754564,9,The Necrotic Wake,2024-11-23T15:48:19.000Z,1061257,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",周防有希,Death Knight,Frost,dps,Dark Iron
1,310,308754564,9,The Necrotic Wake,2024-11-23T15:48:19.000Z,1061257,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",倪倪颜,Priest,Discipline,healer,Al'ar
1,310,308754564,9,The Necrotic Wake,2024-11-23T15:48:19.000Z,1061257,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",爪萨,Shaman,Enhancement,dps,Valley of Kings
1,310,308754564,9,The Necrotic Wake,2024-11-23T15:48:19.000Z,1061257,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",小猫皇后,Paladin,Protection,tank,Valley of Kings
1,310,308754564,9,The Necrotic Wake,2024-11-23T15:48:19.000Z,1061257,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",我脾气很坏呦,Paladin,Retribution,dps,Isillien
2,309.9,309391056,9,The Necrotic Wake,2024-11-27T16:58:04.000Z,1177647,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",紫瑟隐者,Demon Hunter,Havoc,dps,Chillwind Point
2,309.9,309391056,9,The Necrotic Wake,2024-11-27T16:58:04.000Z,1177647,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",芹菜西瓜汁,Paladin,Retribution,dps,Anzu
2,309.9,309391056,9,The Necrotic Wake,2024-11-27T16:58:04.000Z,1177647,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",叶之舞步,Priest,Discipline,healer,Grim Batol
2,309.9,309391056,9,The Necrotic Wake,2024-11-27T16:58:04.000Z,1177647,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",谯周丶,Shaman,Enhancement,dps,Shadowmourne
2,309.9,309391056,9,The Necrotic Wake,2024-11-27T16:58:04.000Z,1177647,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",应届打工人,Paladin,Protection,tank,Echo Ridge
3,309.6,296931145,9,The Necrotic Wake,2024-10-01T09:39:15.000Z,1193328,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Aventurine,Evoker,Augmentation,dps,Grim Batol
3,309.6,296931145,9,The Necrotic Wake,2024-10-01T09:39:15.000Z,1193328,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Lekyodh,Demon Hunter,Vengeance,tank,Deathwing
3,309.6,296931145,9,The Necrotic Wake,2024-10-01T09:39:15.000Z,1193328,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",一起吹风风,Mage,Frost,dps,Isillien
3,309.6,296931145,9,The Necrotic Wake,2024-10-01T09:39:15.000Z,1193328,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",今晚吃什么呢,Shaman,Restoration,healer,Bronze Dragonflight
3,309.6,296931145,9,The Necrotic Wake,2024-10-01T09:39:15.000Z,1193328,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",純愛戰勝,Hunter,Marksmanship,dps,Al'ar
4,308.6,296686120,9,The Necrotic Wake,2024-09-30T10:06:57.000Z,1246017,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",就活在十月吧,Demon Hunter,Vengeance,tank,Grim Batol
4,308.6,296686120,9,The Necrotic Wake,2024-09-30T10:06:57.000Z,1246017,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",乔瑟夫乔斯达,Evoker,Augmentation,dps,Ravencrest
4,308.6,296686120,9,The Necrotic Wake,2024-09-30T10:06:57.000Z,1246017,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",咋跟你玩,Death Knight,Frost,dps,Burning Blade
4,308.6,296686120,9,The Necrotic Wake,2024-09-30T10:06:57.000Z,1246017,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",乔乔给个灌注,Death Knight,Frost,dps,Rexxar
4,308.6,296686120,9,The Necrotic Wake,2024-09-30T10:06:57.000Z,1246017,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",吾乃汉寿亭侯,Shaman,Restoration,healer,Al'ar
5,308.4,308777137,9,The Necrotic Wake,2024-11-23T17:49:06.000Z,1252245,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Charleslu,Mage,Frost,dps,Rhonin
5,308.4,308777137,9,The Necrotic Wake,2024-11-23T17:49:06.000Z,1252245,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",增辉增哪去了,Evoker,Preservation,healer,Scarlet Crusade
5,308.4,308777137,9,The Necrotic Wake,2024-11-23T17:49:06.000Z,1252245,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",凛日,Death Knight,Unholy,dps,Doomwalker
5,308.4,308777137,9,The Necrotic Wake,2024-11-23T17:49:06.000Z,1252245,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",偏铝酸钠丶,Shaman,Enhancement,dps,Doomwalker
5,308.4,308777137,9,The Necrotic Wake,2024-11-23T17:49:06.000Z,1252245,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",唯一指定靓仔,Demon Hunter,Vengeance,tank,Scarlet Crusade
6,308.4,308519033,9,The Necrotic Wake,2024-11-22T01:49:09.000Z,1253019,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",冷血悍马,Death Knight,Unholy,dps,Anzu
6,308.4,308519033,9,The Necrotic Wake,2024-11-22T01:49:09.000Z,1253019,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",学友,Paladin,Retribution,dps,Pandaren
6,308.4,308519033,9,The Necrotic Wake,2024-11-22T01:49:09.000Z,1253019,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",马桶骑,Paladin,Protection,tank,Echo Ridge
