rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,301113780,9,The Necrotic Wake,2024-10-18T16:50:22.000Z,1097561,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Rubbersoul,Paladin,Retribution,dps,Grim Batol
1,310,301113780,9,The Necrotic Wake,2024-10-18T16:50:22.000Z,1097561,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",愚人畏影,Shaman,Elemental,dps,Rhonin
1,310,301113780,9,The Necrotic Wake,2024-10-18T16:50:22.000Z,1097561,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",拢揪揪,Evoker,Augmentation,dps,Rhonin
1,310,301113780,9,The Necrotic Wake,2024-10-18T16:50:22.000Z,1097561,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",夕阳之下啊,Priest,Discipline,healer,Thunder Axe Fortress
1,310,301113780,9,The Necrotic Wake,2024-10-18T16:50:22.000Z,1097561,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",颠覆认知,Death Knight,Blood,tank,Shadowmourne
2,310,301893230,9,The Necrotic Wake,2024-10-21T13:05:30.000Z,1107861,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",血色穆诗,Priest,Holy,healer,Astranaar
2,310,301893230,9,The Necrotic Wake,2024-10-21T13:05:30.000Z,1107861,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Huhuhuhuhuhf,Mage,Fire,dps,Shadowmourne
2,310,301893230,9,The Necrotic Wake,2024-10-21T13:05:30.000Z,1107861,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",黎梦沉月,Death Knight,Blood,tank,Rhonin
2,310,301893230,9,The Necrotic Wake,2024-10-21T13:05:30.000Z,1107861,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",将戈,Druid,Balance,dps,Echo Ridge
2,310,301893230,9,The Necrotic Wake,2024-10-21T13:05:30.000Z,1107861,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",薩拉塔絲,Priest,Shadow,dps,Shadowmourne
3,310,301894119,9,The Necrotic Wake,2024-10-21T13:15:40.000Z,1128949,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",于笙,Priest,Holy,healer,Al'ar
3,310,301894119,9,The Necrotic Wake,2024-10-21T13:15:40.000Z,1128949,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",彳亍行,Mage,Frost,dps,Anzu
3,310,301894119,9,The Necrotic Wake,2024-10-21T13:15:40.000Z,1128949,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",天乄真,Evoker,Augmentation,dps,Doomwalker
3,310,301894119,9,The Necrotic Wake,2024-10-21T13:15:40.000Z,1128949,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",哇嘎呢唝,Death Knight,Frost,dps,Deathwing
3,310,301894119,9,The Necrotic Wake,2024-10-21T13:15:40.000Z,1128949,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",雷霆一击丶,Warrior,Protection,tank,Al'ar
4,310,301371666,9,The Necrotic Wake,2024-10-19T15:14:28.000Z,1150945,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",北斩,Mage,Frost,dps,Doomwalker
4,310,301371666,9,The Necrotic Wake,2024-10-19T15:14:28.000Z,1150945,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Puddiin,Evoker,Augmentation,dps,Doomwalker
4,310,301371666,9,The Necrotic Wake,2024-10-19T15:14:28.000Z,1150945,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",冥火流星,Death Knight,Frost,dps,Doomwalker
4,310,301371666,9,The Necrotic Wake,2024-10-19T15:14:28.000Z,1150945,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Alvint,Shaman,Restoration,healer,Doomwalker
4,310,301371666,9,The Necrotic Wake,2024-10-19T15:14:28.000Z,1150945,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",小德很硬,Druid,Guardian,tank,Scholomance
5,310,302132492,9,The Necrotic Wake,2024-10-22T15:07:22.000Z,1154286,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Reincarnated,Shaman,Restoration,healer,Scarlet Crusade
5,310,302132492,9,The Necrotic Wake,2024-10-22T15:07:22.000Z,1154286,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",偷心小贼贼,Rogue,Assassination,dps,Burning Blade
5,310,302132492,9,The Necrotic Wake,2024-10-22T15:07:22.000Z,1154286,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",朵洛希,Paladin,Retribution,dps,The Great Sea
5,310,302132492,9,The Necrotic Wake,2024-10-22T15:07:22.000Z,1154286,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Mansun,Warrior,Protection,tank,Silver Hand
5,310,302132492,9,The Necrotic Wake,2024-10-22T15:07:22.000Z,1154286,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",阿岚,Paladin,Retribution,dps,Silver Hand
6,309.1,301103274,9,The Necrotic Wake,2024-10-18T16:01:34.000Z,1219576,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",愚人畏影,Shaman,Elemental,dps,Rhonin
6,309.1,301103274,9,The Necrotic Wake,2024-10-18T16:01:34.000Z,1219576,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",拢揪揪,Evoker,Augmentation,dps,Rhonin
6,309.1,301103274,9,The Necrotic Wake,2024-10-18T16:01:34.000Z,1219576,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",鲁莽盾墙,Warrior,Protection,tank,Isillien
6,309.1,301103274,9,The Necrotic Wake,2024-10-18T16:01:34.000Z,1219576,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",菲奥娜,Paladin,Retribution,dps,Isillien
6,309.1,301103274,9,The Necrotic Wake,2024-10-18T16:01:34.000Z,1219576,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",丶依旧演,Monk,Mistweaver,healer,Burning Steppes
7,308.6,301322397,9,The Necrotic Wake,2024-10-19T10:57:45.000Z,1245324,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",洋神,Demon Hunter,Havoc,dps,Deathwing
7,308.6,301322397,9,The Necrotic Wake,2024-10-19T10:57:45.000Z,1245324,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",丿小虾米,Mage,Frost,dps,Burning Blade
7,308.6,301322397,9,The Necrotic Wake,2024-10-19T10:57:45.000Z,1245324,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",燎原火氵,Warrior,Fury,dps,Sylvanas
7,308.6,301322397,9,The Necrotic Wake,2024-10-19T10:57:45.000Z,1245324,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",不开心超人丶,Death Knight,Blood,tank,Deathwing
7,308.6,301322397,9,The Necrotic Wake,2024-10-19T10:57:45.000Z,1245324,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",小吟,Priest,Holy,healer,Molten Core
8,308,301009405,9,The Necrotic Wake,2024-10-18T03:23:59.000Z,1274735,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",月朔宝宝,Mage,Frost,dps,Al'ar
8,308,301009405,9,The Necrotic Wake,2024-10-18T03:23:59.000Z,1274735,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",护短,Demon Hunter,Havoc,dps,Anzu
8,308,301009405,9,The Necrotic Wake,2024-10-18T03:23:59.000Z,1274735,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Krislight,Evoker,Augmentation,dps,The Great Sea
8,308,301009405,9,The Necrotic Wake,2024-10-18T03:23:59.000Z,1274735,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",知防骑,Paladin,Protection,tank,Anzu
8,308,301009405,9,The Necrotic Wake,2024-10-18T03:23:59.000Z,1274735,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",蔻德卡了,Priest,Discipline,healer,The Great Sea
9,307.8,300827603,9,The Necrotic Wake,2024-10-17T10:41:38.000Z,1283307,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",燃燒丨冰點,Mage,Frost,dps,Al'ar
9,307.8,300827603,9,The Necrotic Wake,2024-10-17T10:41:38.000Z,1283307,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Makki,Priest,Discipline,healer,Shadowmourne
9,307.8,300827603,9,The Necrotic Wake,2024-10-17T10:41:38.000Z,1283307,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Reverence,Shaman,Elemental,dps,Gorefiend
9,307.8,300827603,9,The Necrotic Wake,2024-10-17T10:41:38.000Z,1283307,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",白西傅,Druid,Guardian,tank,Anzu
9,307.8,300827603,9,The Necrotic Wake,2024-10-17T10:41:38.000Z,1283307,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",隆里电丝丶,Warlock,Destruction,dps,Bone Wastes
10,307.7,301371185,9,The Necrotic Wake,2024-10-19T15:13:10.000Z,1289599,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",曾几神人,Druid,Balance,dps,Al'ar
10,307.7,301371185,9,The Necrotic Wake,2024-10-19T15:13:10.000Z,1289599,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",莉泽罗忒,Death Knight,Frost,dps,Naxxramas
10,307.7,301371185,9,The Necrotic Wake,2024-10-19T15:13:10.000Z,1289599,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",伤感躢也,Warrior,Protection,tank,Al'ar
10,307.7,301371185,9,The Necrotic Wake,2024-10-19T15:13:10.000Z,1289599,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",戒律,Death Knight,Frost,dps,Gorehowl
10,307.7,301371185,9,The Necrotic Wake,2024-10-19T15:13:10.000Z,1289599,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",零月,Shaman,Restoration,healer,Al'ar
11,307.1,301100276,9,The Necrotic Wake,2024-10-18T15:39:45.000Z,1322874,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",牛肉人,Death Knight,Blood,tank,Bladefist
11,307.1,301100276,9,The Necrotic Wake,2024-10-18T15:39:45.000Z,1322874,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",橙子味的果酱,Mage,Frost,dps,Blackwing Lair
11,307.1,301100276,9,The Necrotic Wake,2024-10-18T15:39:45.000Z,1322874,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",纯钛手电筒,Paladin,Retribution,dps,Pandaren
11,307.1,301100276,9,The Necrotic Wake,2024-10-18T15:39:45.000Z,1322874,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",追风剑语,Paladin,Retribution,dps,Bladefist
11,307.1,301100276,9,The Necrotic Wake,2024-10-18T15:39:45.000Z,1322874,1950999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",小涛涛,Shaman,Restoration,healer,Blackwing Lair
