rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,306042137,9,The Necrotic Wake,2024-11-09T11:35:44.000Z,1084340,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",花恣飘零,Mage,Frost,dps,The Master's Glaive
1,310,306042137,9,The Necrotic Wake,2024-11-09T11:35:44.000Z,1084340,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Peekabooii,Demon Hunter,Havoc,dps,The Master's Glaive
1,310,306042137,9,The Necrotic Wake,2024-11-09T11:35:44.000Z,1084340,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",術师傅丶,Warlock,Destruction,dps,Al'ar
1,310,306042137,9,The Necrotic Wake,2024-11-09T11:35:44.000Z,1084340,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",沃型二号,Warrior,Protection,tank,The Master's Glaive
1,310,306042137,9,The Necrotic Wake,2024-11-09T11:35:44.000Z,1084340,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",阿么教主,Paladin,Holy,healer,Rhonin
2,309.7,306735739,9,The Necrotic Wake,2024-11-12T12:03:47.000Z,1187755,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",持枪中尉,Paladin,Retribution,dps,Eldre'Thalas
2,309.7,306735739,9,The Necrotic Wake,2024-11-12T12:03:47.000Z,1187755,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",花开一壶酒,Paladin,Retribution,dps,The Master's Glaive
2,309.7,306735739,9,The Necrotic Wake,2024-11-12T12:03:47.000Z,1187755,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",烈神,Death Knight,Frost,dps,Silver Hand
2,309.7,306735739,9,The Necrotic Wake,2024-11-12T12:03:47.000Z,1187755,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",扎蓝,Paladin,Protection,tank,The Golden Plains
2,309.7,306735739,9,The Necrotic Wake,2024-11-12T12:03:47.000Z,1187755,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",我的天呐,Priest,Discipline,healer,Scarlet Crusade
3,309.4,306905101,9,The Necrotic Wake,2024-11-13T02:52:49.000Z,1203736,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Ruu,Shaman,Enhancement,dps,Burning Blade
3,309.4,306905101,9,The Necrotic Wake,2024-11-13T02:52:49.000Z,1203736,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",顶到了,Paladin,Retribution,dps,Burning Blade
3,309.4,306905101,9,The Necrotic Wake,2024-11-13T02:52:49.000Z,1203736,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Paytorez,Priest,Discipline,healer,Silver Hand
3,309.4,306905101,9,The Necrotic Wake,2024-11-13T02:52:49.000Z,1203736,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",那一束圣光,Paladin,Protection,tank,Anzu
3,309.4,306905101,9,The Necrotic Wake,2024-11-13T02:52:49.000Z,1203736,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Gtrw,Shaman,Enhancement,dps,Silver Hand
4,308.1,305826147,9,The Necrotic Wake,2024-11-08T16:09:21.000Z,1271745,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",灵魂丶利刃,Demon Hunter,Havoc,dps,Chillwind Point
4,308.1,305826147,9,The Necrotic Wake,2024-11-08T16:09:21.000Z,1271745,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",卡布達,Evoker,Augmentation,dps,Chillwind Point
4,308.1,305826147,9,The Necrotic Wake,2024-11-08T16:09:21.000Z,1271745,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",孟子,Monk,Windwalker,dps,Chillwind Point
4,308.1,305826147,9,The Necrotic Wake,2024-11-08T16:09:21.000Z,1271745,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",补水大礼包,Paladin,Protection,tank,Chillwind Point
4,308.1,305826147,9,The Necrotic Wake,2024-11-08T16:09:21.000Z,1271745,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",丶萌萌的喵喵,Priest,Discipline,healer,Chillwind Point
5,307.8,305994878,9,The Necrotic Wake,2024-11-09T04:44:48.000Z,1287362,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",御宅人,Shaman,Restoration,healer,Eldre'Thalas
5,307.8,305994878,9,The Necrotic Wake,2024-11-09T04:44:48.000Z,1287362,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",傅老师丶,Death Knight,Blood,tank,Eldre'Thalas
5,307.8,305994878,9,The Necrotic Wake,2024-11-09T04:44:48.000Z,1287362,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",犹记,Paladin,Retribution,dps,Eldre'Thalas
5,307.8,305994878,9,The Necrotic Wake,2024-11-09T04:44:48.000Z,1287362,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Kplg,Death Knight,Frost,dps,Eldre'Thalas
5,307.8,305994878,9,The Necrotic Wake,2024-11-09T04:44:48.000Z,1287362,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",想喝芝士葡萄,Shaman,Elemental,dps,Eldre'Thalas
6,307.6,306091233,9,The Necrotic Wake,2024-11-09T16:36:57.000Z,1294119,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",琥珀精灵,Mage,Arcane,dps,Rhonin
6,307.6,306091233,9,The Necrotic Wake,2024-11-09T16:36:57.000Z,1294119,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",七七,Death Knight,Unholy,dps,Rhonin
6,307.6,306091233,9,The Necrotic Wake,2024-11-09T16:36:57.000Z,1294119,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",有素质但不多,Warlock,Destruction,dps,Galakrond
6,307.6,306091233,9,The Necrotic Wake,2024-11-09T16:36:57.000Z,1294119,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",下次我挨揍,Paladin,Protection,tank,Isillien
6,307.6,306091233,9,The Necrotic Wake,2024-11-09T16:36:57.000Z,1294119,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",碧玉疾风丶,Monk,Mistweaver,healer,Pandaren
7,307.2,305808251,9,The Necrotic Wake,2024-11-08T13:14:45.000Z,1318541,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",清泉学外语,Warlock,Destruction,dps,Silver Hand
7,307.2,305808251,9,The Necrotic Wake,2024-11-08T13:14:45.000Z,1318541,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",凉拌小米椒,Mage,Frost,dps,Swiftwind
7,307.2,305808251,9,The Necrotic Wake,2024-11-08T13:14:45.000Z,1318541,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",冰镇丶可乐,Warrior,Protection,tank,Swiftwind
7,307.2,305808251,9,The Necrotic Wake,2024-11-08T13:14:45.000Z,1318541,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",下山咯,Paladin,Holy,healer,Pandaren
7,307.2,305808251,9,The Necrotic Wake,2024-11-08T13:14:45.000Z,1318541,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",风之声,Evoker,Augmentation,dps,Shadowmourne
8,306.4,306740606,9,The Necrotic Wake,2024-11-12T12:57:28.000Z,1358058,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",浮云国,Shaman,Enhancement,dps,Scarlet Crusade
8,306.4,306740606,9,The Necrotic Wake,2024-11-12T12:57:28.000Z,1358058,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",沙漠达战,Warrior,Protection,tank,Scarlet Crusade
8,306.4,306740606,9,The Necrotic Wake,2024-11-12T12:57:28.000Z,1358058,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",砂糖柑,Paladin,Retribution,dps,Scarlet Crusade
8,306.4,306740606,9,The Necrotic Wake,2024-11-12T12:57:28.000Z,1358058,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",娇爷,Shaman,Restoration,healer,Dream Bough
8,306.4,306740606,9,The Necrotic Wake,2024-11-12T12:57:28.000Z,1358058,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",夕卜星人,Warrior,Arms,dps,Rhonin
9,305.4,305807934,9,The Necrotic Wake,2024-11-08T13:10:26.000Z,1410947,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",绿矮子,Warrior,Fury,dps,Isillien
9,305.4,305807934,9,The Necrotic Wake,2024-11-08T13:10:26.000Z,1410947,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",夏侯婉,Paladin,Retribution,dps,Al'ar
9,305.4,305807934,9,The Necrotic Wake,2024-11-08T13:10:26.000Z,1410947,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",昏沉无声,Warrior,Protection,tank,Al'ar
9,305.4,305807934,9,The Necrotic Wake,2024-11-08T13:10:26.000Z,1410947,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",無人知晓,Shaman,Elemental,dps,Al'ar
9,305.4,305807934,9,The Necrotic Wake,2024-11-08T13:10:26.000Z,1410947,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",絮絮,Shaman,Restoration,healer,Frostmourne
10,305.4,305618314,9,The Necrotic Wake,2024-11-07T11:47:49.000Z,1411422,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",橙子味的果酱,Mage,Frost,dps,Blackwing Lair
10,305.4,305618314,9,The Necrotic Wake,2024-11-07T11:47:49.000Z,1411422,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",加安上將,Warrior,Fury,dps,Bladefist
10,305.4,305618314,9,The Necrotic Wake,2024-11-07T11:47:49.000Z,1411422,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",呆萌喵喵,Paladin,Protection,tank,Bladefist
10,305.4,305618314,9,The Necrotic Wake,2024-11-07T11:47:49.000Z,1411422,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Trick,Hunter,Survival,dps,Anzu
10,305.4,305618314,9,The Necrotic Wake,2024-11-07T11:47:49.000Z,1411422,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",丶格格巫丿,Priest,Discipline,healer,Bladefist
11,305.3,306478292,9,The Necrotic Wake,2024-11-11T02:51:02.000Z,1414407,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",拳王月灼,Monk,Brewmaster,tank,Burning Blade
11,305.3,306478292,9,The Necrotic Wake,2024-11-11T02:51:02.000Z,1414407,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",月弦倚歌,Paladin,Retribution,dps,Silver Hand
11,305.3,306478292,9,The Necrotic Wake,2024-11-11T02:51:02.000Z,1414407,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",桃井五月,Priest,Shadow,dps,Burning Blade
11,305.3,306478292,9,The Necrotic Wake,2024-11-11T02:51:02.000Z,1414407,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",迷你月灼,Shaman,Elemental,dps,Burning Blade
11,305.3,306478292,9,The Necrotic Wake,2024-11-11T02:51:02.000Z,1414407,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",利姆露呀,Priest,Discipline,healer,Burning Blade
12,305,304455191,9,The Necrotic Wake,2024-11-10T11:49:50.000Z,1429406,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Sagittariuss,Mage,Frost,dps,Kel'Thuzad
12,305,304455191,9,The Necrotic Wake,2024-11-10T11:49:50.000Z,1429406,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",睦头人,Paladin,Retribution,dps,Kel'Thuzad
12,305,304455191,9,The Necrotic Wake,2024-11-10T11:49:50.000Z,1429406,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",洛君珩,Shaman,Enhancement,dps,Kel'Thuzad
12,305,304455191,9,The Necrotic Wake,2024-11-10T11:49:50.000Z,1429406,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",焚灼,Priest,Discipline,healer,Kel'Thuzad
12,305,304455191,9,The Necrotic Wake,2024-11-10T11:49:50.000Z,1429406,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",椎名乄真白,Demon Hunter,Vengeance,tank,Kel'Thuzad
13,304.5,306089500,9,The Necrotic Wake,2024-11-09T16:23:01.000Z,1458694,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",战哥侠骨,Warrior,Arms,dps,Deathwing
