rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,298421083,9,The Necrotic Wake,2024-10-07T15:54:07.000Z,984866,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",狂小昂,Demon Hunter,Havoc,dps,The Great Sea
1,310,298421083,9,The Necrotic Wake,2024-10-07T15:54:07.000Z,984866,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",口人鬼七夜,Warrior,Protection,tank,Shadowmourne
1,310,298421083,9,The Necrotic Wake,2024-10-07T15:54:07.000Z,984866,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",雪丷,Death Knight,Frost,dps,Shadowmourne
1,310,298421083,9,The Necrotic Wake,2024-10-07T15:54:07.000Z,984866,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",小心月亮,Rogue,Assassination,dps,Shadowmourne
1,310,298421083,9,The Necrotic Wake,2024-10-07T15:54:07.000Z,984866,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",宸音丶丶,Shaman,Restoration,healer,Scarlet Crusade
2,310,298819717,9,The Necrotic Wake,2024-10-09T06:01:45.000Z,1121837,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Lhthy,Shaman,Restoration,healer,Burning Blade
2,310,298819717,9,The Necrotic Wake,2024-10-09T06:01:45.000Z,1121837,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",發財,Mage,Fire,dps,Rhonin
2,310,298819717,9,The Necrotic Wake,2024-10-09T06:01:45.000Z,1121837,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",你的彦祖,Death Knight,Frost,dps,Rhonin
2,310,298819717,9,The Necrotic Wake,2024-10-09T06:01:45.000Z,1121837,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Bananaovo,Demon Hunter,Vengeance,tank,Shadowmourne
2,310,298819717,9,The Necrotic Wake,2024-10-09T06:01:45.000Z,1121837,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",乌贼长翅膀啦,Evoker,Augmentation,dps,Anzu
3,310,296967472,9,The Necrotic Wake,2024-10-03T14:39:09.000Z,1157124,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",别打牛牛,Druid,Guardian,tank,Deathwing
3,310,296967472,9,The Necrotic Wake,2024-10-03T14:39:09.000Z,1157124,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",偷吃麦当劳,Warrior,Fury,dps,Lich King
3,310,296967472,9,The Necrotic Wake,2024-10-03T14:39:09.000Z,1157124,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Merfillu,Paladin,Retribution,dps,Deathwing
3,310,296967472,9,The Necrotic Wake,2024-10-03T14:39:09.000Z,1157124,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",萨萨水,Shaman,Restoration,healer,Lich King
3,310,296967472,9,The Necrotic Wake,2024-10-03T14:39:09.000Z,1157124,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",无敌牛牛大王,Death Knight,Frost,dps,Lich King
4,307.6,297608197,9,The Necrotic Wake,2024-10-04T13:51:49.000Z,1294017,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",深结,Shaman,Restoration,healer,Anzu
4,307.6,297608197,9,The Necrotic Wake,2024-10-04T13:51:49.000Z,1294017,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",天才北极星,Rogue,Assassination,dps,The Master's Glaive
4,307.6,297608197,9,The Necrotic Wake,2024-10-04T13:51:49.000Z,1294017,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",我爱汉堡王,Warrior,Protection,tank,Silver Hand
4,307.6,297608197,9,The Necrotic Wake,2024-10-04T13:51:49.000Z,1294017,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",康康来栽,Death Knight,Frost,dps,Silver Hand
4,307.6,297608197,9,The Necrotic Wake,2024-10-04T13:51:49.000Z,1294017,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",黑椒牛牛,Paladin,Retribution,dps,Grim Batol
5,307.5,298244630,9,The Necrotic Wake,2024-10-06T19:02:41.000Z,1298205,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",你好牛哦,Demon Hunter,Vengeance,tank,Chillwind Point
5,307.5,298244630,9,The Necrotic Wake,2024-10-06T19:02:41.000Z,1298205,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",蓝瓜瓜,Shaman,Restoration,healer,The Forgotten Coast
5,307.5,298244630,9,The Necrotic Wake,2024-10-06T19:02:41.000Z,1298205,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",安达妮娅,Evoker,Augmentation,dps,Shadowmourne
5,307.5,298244630,9,The Necrotic Wake,2024-10-06T19:02:41.000Z,1298205,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Mariatheresa,Death Knight,Unholy,dps,Zealot Blade
5,307.5,298244630,9,The Necrotic Wake,2024-10-06T19:02:41.000Z,1298205,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",我总有理由,Rogue,Assassination,dps,Deathwing
6,307.5,309497483,9,The Necrotic Wake,2024-11-28T13:28:05.000Z,1302915,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",吸鸽鸽,Priest,Discipline,healer,Burning Blade
6,307.5,309497483,9,The Necrotic Wake,2024-11-28T13:28:05.000Z,1302915,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Masakiqaq,Hunter,Survival,dps,Burning Blade
6,307.5,309497483,9,The Necrotic Wake,2024-11-28T13:28:05.000Z,1302915,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",丶肉蛋充饥,Demon Hunter,Vengeance,tank,Deathwing
6,307.5,309497483,9,The Necrotic Wake,2024-11-28T13:28:05.000Z,1302915,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",顾教授,Paladin,Retribution,dps,Rhonin
6,307.5,309497483,9,The Necrotic Wake,2024-11-28T13:28:05.000Z,1302915,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Bahamut,Evoker,Devastation,dps,The Mechanar
7,307.4,297859432,9,The Necrotic Wake,2024-10-05T12:51:06.000Z,1306767,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",紫夜残魂丶,Warlock,Affliction,dps,Galakrond
7,307.4,297859432,9,The Necrotic Wake,2024-10-05T12:51:06.000Z,1306767,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",萌萌丶兔,Mage,Frost,dps,Eldre'Thalas
7,307.4,297859432,9,The Necrotic Wake,2024-10-05T12:51:06.000Z,1306767,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Naruasm,Shaman,Restoration,healer,Isillien
7,307.4,297859432,9,The Necrotic Wake,2024-10-05T12:51:06.000Z,1306767,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",鲨鱼愛吃辣椒,Death Knight,Frost,dps,The Master's Glaive
7,307.4,297859432,9,The Necrotic Wake,2024-10-05T12:51:06.000Z,1306767,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",不见铁牛,Demon Hunter,Vengeance,tank,Blanchard
8,307.3,297584981,9,The Necrotic Wake,2024-10-04T10:26:36.000Z,1308800,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",十有九悲,Druid,Guardian,tank,Al'ar
8,307.3,297584981,9,The Necrotic Wake,2024-10-04T10:26:36.000Z,1308800,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Wlldruid,Druid,Balance,dps,Al'ar
8,307.3,297584981,9,The Necrotic Wake,2024-10-04T10:26:36.000Z,1308800,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",野火炸蛋,Shaman,Restoration,healer,Frostmourne
8,307.3,297584981,9,The Necrotic Wake,2024-10-04T10:26:36.000Z,1308800,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",十百千万,Death Knight,Frost,dps,Al'ar
