rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,302718827,9,The Necrotic Wake,2024-10-25T19:29:47.000Z,1015449,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Relaximmiao,Shaman,Elemental,dps,Tarren Mill
1,310,302718827,9,The Necrotic Wake,2024-10-25T19:29:47.000Z,1015449,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Chipipi,Priest,Discipline,healer,Twisting Nether
1,310,302718827,9,The Necrotic Wake,2024-10-25T19:29:47.000Z,1015449,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Subzirondk,Death Knight,Frost,dps,Ravencrest
1,310,302718827,9,The Necrotic Wake,2024-10-25T19:29:47.000Z,1015449,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Errmoo,Warlock,Affliction,dps,Draenor
1,310,302718827,9,The Necrotic Wake,2024-10-25T19:29:47.000Z,1015449,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Nerfpalgodx,Paladin,Protection,tank,Silvermoon
2,310,303438337,9,The Necrotic Wake,2024-10-28T16:14:53.000Z,1039489,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Démimonk,Monk,Mistweaver,healer,Tarren Mill
2,310,303438337,9,The Necrotic Wake,2024-10-28T16:14:53.000Z,1039489,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Enlinden,Death Knight,Blood,tank,Tarren Mill
2,310,303438337,9,The Necrotic Wake,2024-10-28T16:14:53.000Z,1039489,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Whèéïñýÿgødx-155797176,Warlock,Destruction,dps,Tarren Mill
2,310,303438337,9,The Necrotic Wake,2024-10-28T16:14:53.000Z,1039489,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Zenshám,Shaman,Elemental,dps,Tarren Mill
2,310,303438337,9,The Necrotic Wake,2024-10-28T16:14:53.000Z,1039489,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Hspala,Paladin,Retribution,dps,Kazzak
3,310,302208945,9,The Necrotic Wake,2024-10-27T19:34:25.000Z,1043055,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Nasuí,Paladin,Protection,tank,Draenor
3,310,302208945,9,The Necrotic Wake,2024-10-27T19:34:25.000Z,1043055,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Garradan,Warrior,Fury,dps,Tarren Mill
3,310,302208945,9,The Necrotic Wake,2024-10-27T19:34:25.000Z,1043055,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Vusham,Shaman,Restoration,healer,Tarren Mill
3,310,302208945,9,The Necrotic Wake,2024-10-27T19:34:25.000Z,1043055,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Showmemoon,Druid,Balance,dps,Silvermoon
3,310,302208945,9,The Necrotic Wake,2024-10-27T19:34:25.000Z,1043055,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Losmidk,Death Knight,Frost,dps,Tarren Mill
4,310,302640516,9,The Necrotic Wake,2024-10-25T09:19:00.000Z,1055321,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Zelkoa,Warrior,Protection,tank,Blackrock
4,310,302640516,9,The Necrotic Wake,2024-10-25T09:19:00.000Z,1055321,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Ohdamn,Evoker,Augmentation,dps,Stormrage
4,310,302640516,9,The Necrotic Wake,2024-10-25T09:19:00.000Z,1055321,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Beefy,Shaman,Restoration,healer,Rajaxx
4,310,302640516,9,The Necrotic Wake,2024-10-25T09:19:00.000Z,1055321,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Joshdekay,Death Knight,Frost,dps,Blackrock
4,310,302640516,9,The Necrotic Wake,2024-10-25T09:19:00.000Z,1055321,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Sharplie,Rogue,Assassination,dps,Ragnaros
5,310,302590763,9,The Necrotic Wake,2024-10-24T14:19:26.000Z,1064069,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Gêlatinê,Druid,Balance,dps,Antonidas
5,310,302590763,9,The Necrotic Wake,2024-10-24T14:19:26.000Z,1064069,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Хессойям,Paladin,Retribution,dps,Howling Fjord
5,310,302590763,9,The Necrotic Wake,2024-10-24T14:19:26.000Z,1064069,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Bthuand,Shaman,Elemental,dps,Silvermoon
5,310,302590763,9,The Necrotic Wake,2024-10-24T14:19:26.000Z,1064069,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Neonel,Druid,Guardian,tank,Silvermoon
5,310,302590763,9,The Necrotic Wake,2024-10-24T14:19:26.000Z,1064069,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Podgnil,Death Knight,Frost,dps,Silvermoon
6,310,302934507,9,The Necrotic Wake,2024-10-26T14:24:32.000Z,1078491,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Zaojin,Druid,Restoration,healer,Burning Legion
6,310,302934507,9,The Necrotic Wake,2024-10-26T14:24:32.000Z,1078491,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Sokre-57691835,Mage,Fire,dps,Tarren Mill
