rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,307368849,9,The Necrotic Wake,2024-11-17T21:20:54.000Z,894531,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Xiaòdk,Death Knight,Frost,dps,Tarren Mill
1,310,307368849,9,The Necrotic Wake,2024-11-17T21:20:54.000Z,894531,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Magnordh,Demon Hunter,Vengeance,tank,Draenor
1,310,307368849,9,The Necrotic Wake,2024-11-17T21:20:54.000Z,894531,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Rachak,Hunter,Survival,dps,Draenor
1,310,307368849,9,The Necrotic Wake,2024-11-17T21:20:54.000Z,894531,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Sjøman,Shaman,Enhancement,dps,Draenor
1,310,307368849,9,The Necrotic Wake,2024-11-17T21:20:54.000Z,894531,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Daredpriest-229822520,Priest,Discipline,healer,Draenor
2,310,307368849,9,The Necrotic Wake,2024-11-17T22:00:37.000Z,906912,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Xiaòdk,Death Knight,Frost,dps,Tarren Mill
2,310,307368849,9,The Necrotic Wake,2024-11-17T22:00:37.000Z,906912,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Magnordh,Demon Hunter,Vengeance,tank,Draenor
2,310,307368849,9,The Necrotic Wake,2024-11-17T22:00:37.000Z,906912,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Rachak,Hunter,Survival,dps,Draenor
2,310,307368849,9,The Necrotic Wake,2024-11-17T22:00:37.000Z,906912,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Sjøman,Shaman,Enhancement,dps,Draenor
2,310,307368849,9,The Necrotic Wake,2024-11-17T22:00:37.000Z,906912,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Daredpriest-229822520,Priest,Discipline,healer,Draenor
