rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,308748422,9,The Necrotic Wake,2024-11-23T14:14:43.000Z,1017060,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Julaancoxx,Warrior,Arms,dps,Kazzak
1,310,308748422,9,The Necrotic Wake,2024-11-23T14:14:43.000Z,1017060,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Hójgòdx,Paladin,Protection,tank,Tarren Mill
1,310,308748422,9,The Necrotic Wake,2024-11-23T14:14:43.000Z,1017060,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Valentony,Death Knight,Unholy,dps,Blackmoore
1,310,308748422,9,The Necrotic Wake,2024-11-23T14:14:43.000Z,1017060,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Визуха,Hunter,Beast Mastery,dps,Howling Fjord
1,310,308748422,9,The Necrotic Wake,2024-11-23T14:14:43.000Z,1017060,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Persefoinard,Priest,Discipline,healer,Ysondre
2,310,308567762,9,The Necrotic Wake,2024-11-22T12:08:40.000Z,1017119,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Shoyouevo,Evoker,Augmentation,dps,Silvermoon
2,310,308567762,9,The Necrotic Wake,2024-11-22T12:08:40.000Z,1017119,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Измаад,Death Knight,Frost,dps,Howling Fjord
2,310,308567762,9,The Necrotic Wake,2024-11-22T12:08:40.000Z,1017119,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Fbless,Paladin,Protection,tank,Silvermoon
2,310,308567762,9,The Necrotic Wake,2024-11-22T12:08:40.000Z,1017119,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Теребонькаль,Priest,Discipline,healer,Howling Fjord
2,310,308567762,9,The Necrotic Wake,2024-11-22T12:08:40.000Z,1017119,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Glavpisyun,Death Knight,Frost,dps,Silvermoon
