rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,293571537,9,The Necrotic Wake,2024-10-22T17:38:52.000Z,975835,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Кимулона-136727622,Rogue,Assassination,dps,Howling Fjord
1,310,293571537,9,The Necrotic Wake,2024-10-22T17:38:52.000Z,975835,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Хилляюхилю,Shaman,Restoration,healer,Howling Fjord
1,310,293571537,9,The Necrotic Wake,2024-10-22T17:38:52.000Z,975835,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Ducudrud,Druid,Guardian,tank,Silvermoon
1,310,293571537,9,The Necrotic Wake,2024-10-22T17:38:52.000Z,975835,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Blimm,Warlock,Affliction,dps,Draenor
1,310,293571537,9,The Necrotic Wake,2024-10-22T17:38:52.000Z,975835,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Дэвиджэксон,Death Knight,Frost,dps,Howling Fjord
2,310,301222262,9,The Necrotic Wake,2024-10-18T23:51:46.000Z,1052679,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Iafondox,Shaman,Restoration,healer,Aggra (Português)
2,310,301222262,9,The Necrotic Wake,2024-10-18T23:51:46.000Z,1052679,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Dkninja,Death Knight,Frost,dps,Aggra (Português)
2,310,301222262,9,The Necrotic Wake,2024-10-18T23:51:46.000Z,1052679,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Deepguyz,Druid,Balance,dps,Aggra (Português)
2,310,301222262,9,The Necrotic Wake,2024-10-18T23:51:46.000Z,1052679,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Joselia-207620189,Paladin,Protection,tank,Aggra (Português)
2,310,301222262,9,The Necrotic Wake,2024-10-18T23:51:46.000Z,1052679,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Babybolt,Shaman,Enhancement,dps,Blackhand
3,310,300615872,9,The Necrotic Wake,2024-10-16T13:12:27.000Z,1068278,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Chóppy,Shaman,Restoration,healer,Drak'thul
3,310,300615872,9,The Necrotic Wake,2024-10-16T13:12:27.000Z,1068278,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Celiah,Paladin,Retribution,dps,Twisting Nether
3,310,300615872,9,The Necrotic Wake,2024-10-16T13:12:27.000Z,1068278,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Nauseeka,Paladin,Retribution,dps,Nemesis
3,310,300615872,9,The Necrotic Wake,2024-10-16T13:12:27.000Z,1068278,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Giodudu,Druid,Balance,dps,Nemesis
3,310,300615872,9,The Necrotic Wake,2024-10-16T13:12:27.000Z,1068278,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Skeulses,Warrior,Protection,tank,Hyjal
4,310,301937764,9,The Necrotic Wake,2024-10-21T14:58:05.000Z,1072540,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Хсю-198016463,Paladin,Retribution,dps,Soulflayer
4,310,301937764,9,The Necrotic Wake,2024-10-21T14:58:05.000Z,1072540,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Aprildh,Demon Hunter,Vengeance,tank,Silvermoon
4,310,301937764,9,The Necrotic Wake,2024-10-21T14:58:05.000Z,1072540,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Malegusdk,Death Knight,Frost,dps,Twisting Nether
4,310,301937764,9,The Necrotic Wake,2024-10-21T14:58:05.000Z,1072540,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Panzergott,Shaman,Restoration,healer,Twisting Nether
