rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,305629997,9,The Necrotic Wake,2024-11-07T14:40:41.000Z,912615,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Рэйвмейв,Evoker,Augmentation,dps,Howling Fjord
1,310,305629997,9,The Necrotic Wake,2024-11-07T14:40:41.000Z,912615,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Formgodx,Paladin,Protection,tank,Kazzak
1,310,305629997,9,The Necrotic Wake,2024-11-07T14:40:41.000Z,912615,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Dlkey,Evoker,Augmentation,dps,Stormscale
1,310,305629997,9,The Necrotic Wake,2024-11-07T14:40:41.000Z,912615,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Ivriblue,Shaman,Enhancement,dps,Silvermoon
1,310,305629997,9,The Necrotic Wake,2024-11-07T14:40:41.000Z,912615,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Joyemoji,Priest,Discipline,healer,Stormscale
2,310,305428193,9,The Necrotic Wake,2024-11-06T11:11:12.000Z,967836,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Mubz,Druid,Guardian,tank,Silvermoon
2,310,305428193,9,The Necrotic Wake,2024-11-06T11:11:12.000Z,967836,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Buffsticks,Evoker,Augmentation,dps,Silvermoon
2,310,305428193,9,The Necrotic Wake,2024-11-06T11:11:12.000Z,967836,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Karryez,Demon Hunter,Havoc,dps,Silvermoon
2,310,305428193,9,The Necrotic Wake,2024-11-06T11:11:12.000Z,967836,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Almey,Priest,Shadow,dps,Silvermoon
2,310,305428193,9,The Necrotic Wake,2024-11-06T11:11:12.000Z,967836,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Trollwarlord,Shaman,Restoration,healer,Xavius
3,310,306197407,9,The Necrotic Wake,2024-11-09T20:37:30.000Z,989576,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Vmaa,Priest,Discipline,healer,Blackrock
3,310,306197407,9,The Necrotic Wake,2024-11-09T20:37:30.000Z,989576,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Dekæl,Death Knight,Frost,dps,Ravencrest
3,310,306197407,9,The Necrotic Wake,2024-11-09T20:37:30.000Z,989576,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Jølee,Paladin,Retribution,dps,Blackrock
3,310,306197407,9,The Necrotic Wake,2024-11-09T20:37:30.000Z,989576,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Sadrisham,Shaman,Enhancement,dps,Antonidas
3,310,306197407,9,The Necrotic Wake,2024-11-09T20:37:30.000Z,989576,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Bubblebritta,Paladin,Protection,tank,Blackhand
4,310,305567036,9,The Necrotic Wake,2024-11-06T14:20:26.000Z,1049447,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Ateca,Paladin,Protection,tank,Kazzak
4,310,305567036,9,The Necrotic Wake,2024-11-06T14:20:26.000Z,1049447,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Karinamonk,Monk,Mistweaver,healer,Silvermoon
4,310,305567036,9,The Necrotic Wake,2024-11-06T14:20:26.000Z,1049447,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Slonèr,Druid,Balance,dps,Ravencrest
4,310,305567036,9,The Necrotic Wake,2024-11-06T14:20:26.000Z,1049447,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Mediodia,Shaman,Enhancement,dps,Silvermoon
4,310,305567036,9,The Necrotic Wake,2024-11-06T14:20:26.000Z,1049447,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Kalvin,Paladin,Retribution,dps,Stormscale
5,310,306571337,9,The Necrotic Wake,2024-11-11T16:16:29.000Z,1053516,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Нанолис,Shaman,Restoration,healer,Soulflayer
5,310,306571337,9,The Necrotic Wake,2024-11-11T16:16:29.000Z,1053516,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Mariposâ,Priest,Shadow,dps,Blackmoore
5,310,306571337,9,The Necrotic Wake,2024-11-11T16:16:29.000Z,1053516,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Gullem,Paladin,Protection,tank,Pozzo dell'Eternità
5,310,306571337,9,The Necrotic Wake,2024-11-11T16:16:29.000Z,1053516,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Mikabop,Paladin,Retribution,dps,Archimonde
5,310,306571337,9,The Necrotic Wake,2024-11-11T16:16:29.000Z,1053516,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Pøpcørn,Hunter,Survival,dps,Nemesis
6,310,306314152,9,The Necrotic Wake,2024-11-10T14:35:27.000Z,1055817,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Klin,Monk,Windwalker,dps,Grim Batol
6,310,306314152,9,The Necrotic Wake,2024-11-10T14:35:27.000Z,1055817,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Andruïn-107826578,Paladin,Protection,tank,Drak'thul
6,310,306314152,9,The Necrotic Wake,2024-11-10T14:35:27.000Z,1055817,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Locennzy,Priest,Discipline,healer,Twisting Nether
6,310,306314152,9,The Necrotic Wake,2024-11-10T14:35:27.000Z,1055817,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Lokkar,Shaman,Elemental,dps,Twisting Nether
6,310,306314152,9,The Necrotic Wake,2024-11-10T14:35:27.000Z,1055817,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Dråbar,Death Knight,Frost,dps,Hyjal
7,310,305816674,9,The Necrotic Wake,2024-11-08T14:36:53.000Z,1058546,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Belvederee,Paladin,Protection,tank,Blackrock
7,310,305816674,9,The Necrotic Wake,2024-11-08T14:36:53.000Z,1058546,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Nithala,Druid,Balance,dps,Twisting Nether
7,310,305816674,9,The Necrotic Wake,2024-11-08T14:36:53.000Z,1058546,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Självårdare,Priest,Discipline,healer,Tarren Mill
7,310,305816674,9,The Necrotic Wake,2024-11-08T14:36:53.000Z,1058546,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Ддракон,Evoker,Augmentation,dps,Howling Fjord
7,310,305816674,9,The Necrotic Wake,2024-11-08T14:36:53.000Z,1058546,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Aimfacka,Death Knight,Frost,dps,Twisting Nether
8,310,305817442,9,The Necrotic Wake,2024-11-08T14:49:52.000Z,1059656,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Entroo,Paladin,Protection,tank,Kazzak
8,310,305817442,9,The Necrotic Wake,2024-11-08T14:49:52.000Z,1059656,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Sankus,Paladin,Retribution,dps,Blackmoore
8,310,305817442,9,The Necrotic Wake,2024-11-08T14:49:52.000Z,1059656,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Yodapops,Priest,Discipline,healer,Draenor
8,310,305817442,9,The Necrotic Wake,2024-11-08T14:49:52.000Z,1059656,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Därknéss,Warlock,Destruction,dps,Drak'thul
8,310,305817442,9,The Necrotic Wake,2024-11-08T14:49:52.000Z,1059656,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Noggal,Shaman,Enhancement,dps,Hyjal
9,310,306292780,9,The Necrotic Wake,2024-11-10T12:50:33.000Z,1061596,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Unreligious,Paladin,Protection,tank,Hellfire
9,310,306292780,9,The Necrotic Wake,2024-11-10T12:50:33.000Z,1061596,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Afneir,Evoker,Devastation,dps,Silvermoon
9,310,306292780,9,The Necrotic Wake,2024-11-10T12:50:33.000Z,1061596,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Madfan,Evoker,Preservation,healer,Tarren Mill
9,310,306292780,9,The Necrotic Wake,2024-11-10T12:50:33.000Z,1061596,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Varosh,Shaman,Elemental,dps,Drak'thul
9,310,306292780,9,The Necrotic Wake,2024-11-10T12:50:33.000Z,1061596,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Beardedbnkr,Hunter,Beast Mastery,dps,Kazzak
10,310,306135667,9,The Necrotic Wake,2024-11-09T18:09:19.000Z,1064131,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Néwbie,Paladin,Retribution,dps,Kazzak
10,310,306135667,9,The Necrotic Wake,2024-11-09T18:09:19.000Z,1064131,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Rumtreiber,Hunter,Beast Mastery,dps,Malfurion
10,310,306135667,9,The Necrotic Wake,2024-11-09T18:09:19.000Z,1064131,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Lrain,Shaman,Restoration,healer,Silvermoon
10,310,306135667,9,The Necrotic Wake,2024-11-09T18:09:19.000Z,1064131,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Kened,Druid,Guardian,tank,Silvermoon
10,310,306135667,9,The Necrotic Wake,2024-11-09T18:09:19.000Z,1064131,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Outxxcast,Hunter,Survival,dps,Kazzak
11,310,306745704,9,The Necrotic Wake,2024-11-11T18:51:27.000Z,1067754,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Staudi,Warlock,Demonology,dps,Eredar
11,310,306745704,9,The Necrotic Wake,2024-11-11T18:51:27.000Z,1067754,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Viølencé,Warrior,Protection,tank,Eredar
11,310,306745704,9,The Necrotic Wake,2024-11-11T18:51:27.000Z,1067754,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Xandri,Warrior,Fury,dps,Eredar
11,310,306745704,9,The Necrotic Wake,2024-11-11T18:51:27.000Z,1067754,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Raibsén,Death Knight,Frost,dps,Blackhand
11,310,306745704,9,The Necrotic Wake,2024-11-11T18:51:27.000Z,1067754,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Aioli,Shaman,Restoration,healer,Eredar
12,310,305637611,9,The Necrotic Wake,2024-11-07T14:44:31.000Z,1067944,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Fanö,Priest,Discipline,healer,Archimonde
12,310,305637611,9,The Necrotic Wake,2024-11-07T14:44:31.000Z,1067944,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Rastahunt,Hunter,Survival,dps,Blackhand
12,310,305637611,9,The Necrotic Wake,2024-11-07T14:44:31.000Z,1067944,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Roosike,Death Knight,Frost,dps,Turalyon
12,310,305637611,9,The Necrotic Wake,2024-11-07T14:44:31.000Z,1067944,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Oralephase-229976583,Druid,Balance,dps,Blackrock
12,310,305637611,9,The Necrotic Wake,2024-11-07T14:44:31.000Z,1067944,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Resbur-230458414,Paladin,Protection,tank,Antonidas
13,310,306906257,9,The Necrotic Wake,2024-11-12T20:24:25.000Z,1072640,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Goremax,Shaman,Elemental,dps,Ragnaros
13,310,306906257,9,The Necrotic Wake,2024-11-12T20:24:25.000Z,1072640,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Plaq,Mage,Frost,dps,Stormscale
13,310,306906257,9,The Necrotic Wake,2024-11-12T20:24:25.000Z,1072640,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Pitaya,Evoker,Devastation,dps,Die Todeskrallen
13,310,306906257,9,The Necrotic Wake,2024-11-12T20:24:25.000Z,1072640,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Looya,Priest,Discipline,healer,Tarren Mill
13,310,306906257,9,The Necrotic Wake,2024-11-12T20:24:25.000Z,1072640,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Zumadin,Paladin,Protection,tank,Twisting Nether
14,310,305428169,9,The Necrotic Wake,2024-11-06T10:23:12.000Z,1078737,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Cayumí,Priest,Discipline,healer,Tarren Mill
14,310,305428169,9,The Necrotic Wake,2024-11-06T10:23:12.000Z,1078737,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Nyôajr,Druid,Balance,dps,Sargeras
14,310,305428169,9,The Necrotic Wake,2024-11-06T10:23:12.000Z,1078737,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Bruutxp,Priest,Shadow,dps,Stormscale
14,310,305428169,9,The Necrotic Wake,2024-11-06T10:23:12.000Z,1078737,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Palbus,Paladin,Protection,tank,Tarren Mill
14,310,305428169,9,The Necrotic Wake,2024-11-06T10:23:12.000Z,1078737,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Sinjenhance,Shaman,Enhancement,dps,Doomhammer
15,310,306195514,9,The Necrotic Wake,2024-11-10T00:29:20.000Z,1083383,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Gandipo,Shaman,Enhancement,dps,Ravencrest
15,310,306195514,9,The Necrotic Wake,2024-11-10T00:29:20.000Z,1083383,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Tzajul,Warrior,Fury,dps,Doomhammer
15,310,306195514,9,The Necrotic Wake,2024-11-10T00:29:20.000Z,1083383,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Aerchiosa,Rogue,Assassination,dps,Draenor
15,310,306195514,9,The Necrotic Wake,2024-11-10T00:29:20.000Z,1083383,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",AnonD8E7679,Paladin,Protection,tank,Anonymous
15,310,306195514,9,The Necrotic Wake,2024-11-10T00:29:20.000Z,1083383,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Arasiel,Monk,Mistweaver,healer,Draenor
16,310,305901441,9,The Necrotic Wake,2024-11-08T20:09:42.000Z,1085223,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Iulz,Paladin,Protection,tank,Stormscale
