rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,298224710,9,The Necrotic Wake,2024-10-06T12:18:52.000Z,1049610,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Cokax,Rogue,Assassination,dps,Archimonde
1,310,298224710,9,The Necrotic Wake,2024-10-06T12:18:52.000Z,1049610,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Datertec,Hunter,Marksmanship,dps,Stormscale
1,310,298224710,9,The Necrotic Wake,2024-10-06T12:18:52.000Z,1049610,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Nozx,Shaman,Restoration,healer,Archimonde
1,310,298224710,9,The Necrotic Wake,2024-10-06T12:18:52.000Z,1049610,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Jésusdeux,Priest,Shadow,dps,Ysondre
1,310,298224710,9,The Necrotic Wake,2024-10-06T12:18:52.000Z,1049610,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Antrixxl,Druid,Guardian,tank,Archimonde
2,310,309353122,9,The Necrotic Wake,2024-11-27T09:18:46.000Z,1052638,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Gali,Priest,Discipline,healer,Cho'gall
2,310,309353122,9,The Necrotic Wake,2024-11-27T09:18:46.000Z,1052638,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Trackdown,Hunter,Beast Mastery,dps,Darkmoon Faire
2,310,309353122,9,The Necrotic Wake,2024-11-27T09:18:46.000Z,1052638,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Twitcorné,Death Knight,Frost,dps,Tarren Mill
2,310,309353122,9,The Necrotic Wake,2024-11-27T09:18:46.000Z,1052638,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Sunmushu,Monk,Windwalker,dps,Tarren Mill
2,310,309353122,9,The Necrotic Wake,2024-11-27T09:18:46.000Z,1052638,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Ragesalot,Warrior,Protection,tank,Ravenholdt
3,310,309433881,9,The Necrotic Wake,2024-11-27T22:49:41.000Z,1061306,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Лорифан,Death Knight,Frost,dps,Soulflayer
3,310,309433881,9,The Necrotic Wake,2024-11-27T22:49:41.000Z,1061306,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Siølà,Warrior,Fury,dps,Ysondre
3,310,309433881,9,The Necrotic Wake,2024-11-27T22:49:41.000Z,1061306,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Биллибаблтон,Paladin,Protection,tank,Gordunni
3,310,309433881,9,The Necrotic Wake,2024-11-27T22:49:41.000Z,1061306,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Муэви,Shaman,Restoration,healer,Gordunni
3,310,309433881,9,The Necrotic Wake,2024-11-27T22:49:41.000Z,1061306,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Впукич,Shaman,Elemental,dps,Gordunni
4,310,309351703,9,The Necrotic Wake,2024-11-27T08:27:00.000Z,1062283,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Nellypriest,Priest,Discipline,healer,Twisting Nether
4,310,309351703,9,The Necrotic Wake,2024-11-27T08:27:00.000Z,1062283,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Tàrzán,Shaman,Elemental,dps,Twisting Nether
4,310,309351703,9,The Necrotic Wake,2024-11-27T08:27:00.000Z,1062283,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Rhubarbrawr,Warrior,Protection,tank,Draenor
4,310,309351703,9,The Necrotic Wake,2024-11-27T08:27:00.000Z,1062283,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Gortz,Rogue,Assassination,dps,Stormscale
4,310,309351703,9,The Necrotic Wake,2024-11-27T08:27:00.000Z,1062283,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Hatir,Death Knight,Frost,dps,Draenor
5,310,309434012,9,The Necrotic Wake,2024-11-27T22:51:54.000Z,1065064,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Gobboy,Death Knight,Frost,dps,Stormscale
5,310,309434012,9,The Necrotic Wake,2024-11-27T22:51:54.000Z,1065064,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Platonsonret,Paladin,Retribution,dps,Draenor
5,310,309434012,9,The Necrotic Wake,2024-11-27T22:51:54.000Z,1065064,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Puladin,Paladin,Retribution,dps,Draenor
5,310,309434012,9,The Necrotic Wake,2024-11-27T22:51:54.000Z,1065064,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Квадрубер,Warrior,Protection,tank,Howling Fjord
5,310,309434012,9,The Necrotic Wake,2024-11-27T22:51:54.000Z,1065064,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Korwsham,Shaman,Restoration,healer,Silvermoon
6,310,309348123,9,The Necrotic Wake,2024-11-27T07:07:17.000Z,1080785,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Theia,Druid,Balance,dps,Tarren Mill
6,310,309348123,9,The Necrotic Wake,2024-11-27T07:07:17.000Z,1080785,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Bàbyagain,Shaman,Enhancement,dps,Silvermoon
6,310,309348123,9,The Necrotic Wake,2024-11-27T07:07:17.000Z,1080785,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Realunc,Warrior,Protection,tank,Silvermoon
6,310,309348123,9,The Necrotic Wake,2024-11-27T07:07:17.000Z,1080785,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Spenjoyer,Priest,Discipline,healer,Silvermoon
6,310,309348123,9,The Necrotic Wake,2024-11-27T07:07:17.000Z,1080785,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Gødröpis,Demon Hunter,Havoc,dps,Stormreaver
7,310,298045828,9,The Necrotic Wake,2024-10-05T21:53:22.000Z,1096695,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Radrok,Death Knight,Blood,tank,Burning Legion
7,310,298045828,9,The Necrotic Wake,2024-10-05T21:53:22.000Z,1096695,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Dractbi,Evoker,Augmentation,dps,Burning Legion
7,310,298045828,9,The Necrotic Wake,2024-10-05T21:53:22.000Z,1096695,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Grimuri,Priest,Discipline,healer,Burning Legion
7,310,298045828,9,The Necrotic Wake,2024-10-05T21:53:22.000Z,1096695,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Thelev,Mage,Fire,dps,Burning Legion
7,310,298045828,9,The Necrotic Wake,2024-10-05T21:53:22.000Z,1096695,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Coldimm,Shaman,Enhancement,dps,Burning Legion
8,310,297285523,9,The Necrotic Wake,2024-10-02T22:19:38.000Z,1097686,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Csicskaboxer,Monk,Windwalker,dps,Ragnaros
8,310,297285523,9,The Necrotic Wake,2024-10-02T22:19:38.000Z,1097686,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Réyban,Paladin,Protection,tank,Ragnaros
8,310,297285523,9,The Necrotic Wake,2024-10-02T22:19:38.000Z,1097686,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Beefytauren,Shaman,Enhancement,dps,Ragnaros
8,310,297285523,9,The Necrotic Wake,2024-10-02T22:19:38.000Z,1097686,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Bobbzkim,Mage,Arcane,dps,Ragnaros
8,310,297285523,9,The Necrotic Wake,2024-10-02T22:19:38.000Z,1097686,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Vami,Paladin,Holy,healer,Ragnaros
9,310,309396179,9,The Necrotic Wake,2024-11-27T17:20:58.000Z,1100491,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Skógrækt,Druid,Balance,dps,Ravencrest
9,310,309396179,9,The Necrotic Wake,2024-11-27T17:20:58.000Z,1100491,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Sætaa,Paladin,Retribution,dps,Tarren Mill
