rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,303593104,9,The Necrotic Wake,2024-10-29T06:55:43.000Z,1150511,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",적색빛하늘,Mage,Arcane,dps,Azshara
1,310,303593104,9,The Necrotic Wake,2024-10-29T06:55:43.000Z,1150511,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",절명크리,Monk,Windwalker,dps,Azshara
1,310,303593104,9,The Necrotic Wake,2024-10-29T06:55:43.000Z,1150511,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",댕니니,Shaman,Restoration,healer,Azshara
1,310,303593104,9,The Necrotic Wake,2024-10-29T06:55:43.000Z,1150511,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",포티아,Hunter,Marksmanship,dps,Azshara
1,310,303593104,9,The Necrotic Wake,2024-10-29T06:55:43.000Z,1150511,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",방패투척,Warrior,Protection,tank,Azshara
2,310,302679913,9,The Necrotic Wake,2024-10-25T15:48:31.000Z,1170834,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",오캔,Shaman,Enhancement,dps,Azshara
2,310,302679913,9,The Necrotic Wake,2024-10-25T15:48:31.000Z,1170834,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",나로정했다-140155439,Mage,Frost,dps,Windrunner
2,310,302679913,9,The Necrotic Wake,2024-10-25T15:48:31.000Z,1170834,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",죽기뼈닥,Death Knight,Blood,tank,Windrunner
2,310,302679913,9,The Necrotic Wake,2024-10-25T15:48:31.000Z,1170834,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Jbp,Priest,Discipline,healer,Wildhammer
2,310,302679913,9,The Necrotic Wake,2024-10-25T15:48:31.000Z,1170834,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",아보카더,Hunter,Survival,dps,Azshara
3,310,302436553,9,The Necrotic Wake,2024-10-24T05:59:17.000Z,1171039,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",카레맛분유,Warrior,Protection,tank,Azshara
3,310,302436553,9,The Necrotic Wake,2024-10-24T05:59:17.000Z,1171039,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Dotory,Shaman,Restoration,healer,Azshara
3,310,302436553,9,The Necrotic Wake,2024-10-24T05:59:17.000Z,1171039,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",학교여포,Hunter,Survival,dps,Azshara
3,310,302436553,9,The Necrotic Wake,2024-10-24T05:59:17.000Z,1171039,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",칭찬양파,Mage,Arcane,dps,Azshara
3,310,302436553,9,The Necrotic Wake,2024-10-24T05:59:17.000Z,1171039,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",먕치,Paladin,Retribution,dps,Azshara
4,309.7,302674733,9,The Necrotic Wake,2024-10-25T14:38:42.000Z,1188740,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",매우더움,Paladin,Retribution,dps,Azshara
4,309.7,302674733,9,The Necrotic Wake,2024-10-25T14:38:42.000Z,1188740,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",라이트유저,Mage,Arcane,dps,Azshara
4,309.7,302674733,9,The Necrotic Wake,2024-10-25T14:38:42.000Z,1188740,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Titanite,Evoker,Preservation,healer,Azshara
4,309.7,302674733,9,The Necrotic Wake,2024-10-25T14:38:42.000Z,1188740,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",혁이얗,Evoker,Augmentation,dps,Azshara
4,309.7,302674733,9,The Necrotic Wake,2024-10-25T14:38:42.000Z,1188740,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Kanavi,Warrior,Protection,tank,Azshara
5,309.6,303450794,9,The Necrotic Wake,2024-10-28T14:12:33.000Z,1192687,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",보기만해도조와,Paladin,Protection,tank,Azshara
5,309.6,303450794,9,The Necrotic Wake,2024-10-28T14:12:33.000Z,1192687,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Tillerman,Death Knight,Unholy,dps,Azshara
5,309.6,303450794,9,The Necrotic Wake,2024-10-28T14:12:33.000Z,1192687,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",펩시제로냠냠,Paladin,Retribution,dps,Azshara
5,309.6,303450794,9,The Necrotic Wake,2024-10-28T14:12:33.000Z,1192687,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",검은지팽이,Priest,Shadow,dps,Azshara
5,309.6,303450794,9,The Necrotic Wake,2024-10-28T14:12:33.000Z,1192687,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",정신보리,Shaman,Restoration,healer,Azshara
6,309.4,302735586,9,The Necrotic Wake,2024-10-25T16:30:23.000Z,1203612,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",이지안사원,Paladin,Protection,tank,Azshara
6,309.4,302735586,9,The Necrotic Wake,2024-10-25T16:30:23.000Z,1203612,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Romes,Monk,Windwalker,dps,Azshara
6,309.4,302735586,9,The Necrotic Wake,2024-10-25T16:30:23.000Z,1203612,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",호떠기,Monk,Mistweaver,healer,Azshara
6,309.4,302735586,9,The Necrotic Wake,2024-10-25T16:30:23.000Z,1203612,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",부산인,Rogue,Outlaw,dps,Azshara
6,309.4,302735586,9,The Necrotic Wake,2024-10-25T16:30:23.000Z,1203612,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",탈검무흔,Warrior,Arms,dps,Azshara
7,309.3,302725428,9,The Necrotic Wake,2024-10-25T02:41:42.000Z,1205384,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",진꿀,Mage,Arcane,dps,Azshara
7,309.3,302725428,9,The Necrotic Wake,2024-10-25T02:41:42.000Z,1205384,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",귀엽주,Shaman,Restoration,healer,Azshara
7,309.3,302725428,9,The Necrotic Wake,2024-10-25T02:41:42.000Z,1205384,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",태평소,Demon Hunter,Vengeance,tank,Azshara
7,309.3,302725428,9,The Necrotic Wake,2024-10-25T02:41:42.000Z,1205384,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",커피훔침,Rogue,Assassination,dps,Azshara
7,309.3,302725428,9,The Necrotic Wake,2024-10-25T02:41:42.000Z,1205384,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",워너비워록,Warlock,Demonology,dps,Azshara
8,309.1,303799749,9,The Necrotic Wake,2024-10-30T05:58:04.000Z,1218645,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",피명님,Warrior,Protection,tank,Azshara
8,309.1,303799749,9,The Necrotic Wake,2024-10-30T05:58:04.000Z,1218645,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",월터미티,Monk,Mistweaver,healer,Hyjal
8,309.1,303799749,9,The Necrotic Wake,2024-10-30T05:58:04.000Z,1218645,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",원조회드맛집,Druid,Balance,dps,Azshara
8,309.1,303799749,9,The Necrotic Wake,2024-10-30T05:58:04.000Z,1218645,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",울집개는안물어,Rogue,Assassination,dps,Azshara
8,309.1,303799749,9,The Necrotic Wake,2024-10-30T05:58:04.000Z,1218645,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",스파이크,Hunter,Survival,dps,Windrunner
9,308.8,302439613,9,The Necrotic Wake,2024-10-24T06:13:09.000Z,1231046,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Seruus,Paladin,Holy,healer,Azshara
9,308.8,302439613,9,The Necrotic Wake,2024-10-24T06:13:09.000Z,1231046,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",또찡,Mage,Arcane,dps,Azshara
9,308.8,302439613,9,The Necrotic Wake,2024-10-24T06:13:09.000Z,1231046,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",소진의악마,Demon Hunter,Vengeance,tank,Azshara
9,308.8,302439613,9,The Necrotic Wake,2024-10-24T06:13:09.000Z,1231046,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",비난양파,Paladin,Retribution,dps,Azshara
9,308.8,302439613,9,The Necrotic Wake,2024-10-24T06:13:09.000Z,1231046,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",죽음으로맛있는뒈,Death Knight,Frost,dps,Azshara
10,308.8,303837240,9,The Necrotic Wake,2024-10-30T06:23:37.000Z,1232719,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",원니스,Priest,Discipline,healer,Azshara
10,308.8,303837240,9,The Necrotic Wake,2024-10-30T06:23:37.000Z,1232719,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",갓니테일,Paladin,Retribution,dps,Azshara
10,308.8,303837240,9,The Necrotic Wake,2024-10-30T06:23:37.000Z,1232719,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",무이미,Monk,Windwalker,dps,Azshara
10,308.8,303837240,9,The Necrotic Wake,2024-10-30T06:23:37.000Z,1232719,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",르망이,Hunter,Beast Mastery,dps,Azshara
10,308.8,303837240,9,The Necrotic Wake,2024-10-30T06:23:37.000Z,1232719,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",봉보기,Paladin,Protection,tank,Azshara
11,308.7,302439151,9,The Necrotic Wake,2024-10-24T06:40:01.000Z,1238863,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",클라라요,Shaman,Restoration,healer,Azshara
11,308.7,302439151,9,The Necrotic Wake,2024-10-24T06:40:01.000Z,1238863,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",뉴플,Priest,Shadow,dps,Azshara
11,308.7,302439151,9,The Necrotic Wake,2024-10-24T06:40:01.000Z,1238863,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",누부쿤,Death Knight,Frost,dps,Azshara
11,308.7,302439151,9,The Necrotic Wake,2024-10-24T06:40:01.000Z,1238863,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",미안고의는아님,Hunter,Marksmanship,dps,Azshara
11,308.7,302439151,9,The Necrotic Wake,2024-10-24T06:40:01.000Z,1238863,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",오래된성기사-228502554,Paladin,Protection,tank,Azshara
12,308.6,302985035,9,The Necrotic Wake,2024-10-26T16:32:50.000Z,1245611,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",멀고어미틴소,Druid,Restoration,healer,Hellscream
12,308.6,302985035,9,The Necrotic Wake,2024-10-26T16:32:50.000Z,1245611,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",한귀로흘릴게,Evoker,Augmentation,dps,Azshara
12,308.6,302985035,9,The Necrotic Wake,2024-10-26T16:32:50.000Z,1245611,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Pookyrex,Priest,Shadow,dps,Azshara
12,308.6,302985035,9,The Necrotic Wake,2024-10-26T16:32:50.000Z,1245611,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",방춘배씨,Shaman,Enhancement,dps,Azshara
12,308.6,302985035,9,The Necrotic Wake,2024-10-26T16:32:50.000Z,1245611,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",딴딴시치,Paladin,Protection,tank,Azshara
13,308.6,303605545,9,The Necrotic Wake,2024-10-29T08:33:32.000Z,1245846,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",창백한말,Death Knight,Unholy,dps,Zul'jin
13,308.6,303605545,9,The Necrotic Wake,2024-10-29T08:33:32.000Z,1245846,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",블러드핼푸,Paladin,Retribution,dps,Azshara
13,308.6,303605545,9,The Necrotic Wake,2024-10-29T08:33:32.000Z,1245846,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Anon63F2596,Hunter,Beast Mastery,dps,Anonymous
13,308.6,303605545,9,The Necrotic Wake,2024-10-29T08:33:32.000Z,1245846,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",월중소영,Druid,Restoration,healer,Norgannon
13,308.6,303605545,9,The Necrotic Wake,2024-10-29T08:33:32.000Z,1245846,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",나쌤,Warrior,Protection,tank,Azshara
14,308.5,302476589,9,The Necrotic Wake,2024-10-24T13:22:46.000Z,1247960,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",버즈러브유,Shaman,Restoration,healer,Azshara
14,308.5,302476589,9,The Necrotic Wake,2024-10-24T13:22:46.000Z,1247960,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",엘베테,Druid,Balance,dps,Azshara
14,308.5,302476589,9,The Necrotic Wake,2024-10-24T13:22:46.000Z,1247960,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",누미노스,Shaman,Elemental,dps,Azshara
14,308.5,302476589,9,The Necrotic Wake,2024-10-24T13:22:46.000Z,1247960,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Darkmoond,Demon Hunter,Vengeance,tank,Azshara
14,308.5,302476589,9,The Necrotic Wake,2024-10-24T13:22:46.000Z,1247960,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Sabib,Rogue,Outlaw,dps,Azshara
15,308.5,303615655,9,The Necrotic Wake,2024-10-29T11:00:13.000Z,1248554,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",오빠제발그망,Rogue,Assassination,dps,Azshara
15,308.5,303615655,9,The Necrotic Wake,2024-10-29T11:00:13.000Z,1248554,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",역전할머니맥주,Paladin,Holy,healer,Azshara
15,308.5,303615655,9,The Necrotic Wake,2024-10-29T11:00:13.000Z,1248554,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",컵라면사랑꾼,Shaman,Enhancement,dps,Azshara
15,308.5,303615655,9,The Necrotic Wake,2024-10-29T11:00:13.000Z,1248554,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",피부,Warrior,Protection,tank,Azshara
15,308.5,303615655,9,The Necrotic Wake,2024-10-29T11:00:13.000Z,1248554,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",핫소스추가요,Warlock,Affliction,dps,Azshara
16,308.5,302470643,9,The Necrotic Wake,2024-10-24T12:38:12.000Z,1250996,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",내머리속씨저스킥,Mage,Frost,dps,Azshara
16,308.5,302470643,9,The Necrotic Wake,2024-10-24T12:38:12.000Z,1250996,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",클라라요,Shaman,Restoration,healer,Azshara
16,308.5,302470643,9,The Necrotic Wake,2024-10-24T12:38:12.000Z,1250996,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",반해밀,Rogue,Outlaw,dps,Azshara
16,308.5,302470643,9,The Necrotic Wake,2024-10-24T12:38:12.000Z,1250996,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",새공,Demon Hunter,Vengeance,tank,Azshara
16,308.5,302470643,9,The Necrotic Wake,2024-10-24T12:38:12.000Z,1250996,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",호랑아멍멍해,Warlock,Destruction,dps,Azshara
17,308.3,302883687,9,The Necrotic Wake,2024-10-26T07:00:25.000Z,1256484,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",박해린,Paladin,Retribution,dps,Azshara
17,308.3,302883687,9,The Necrotic Wake,2024-10-26T07:00:25.000Z,1256484,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",망치거북이,Paladin,Protection,tank,Cenarius
17,308.3,302883687,9,The Necrotic Wake,2024-10-26T07:00:25.000Z,1256484,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",왜하는거요,Mage,Arcane,dps,Azshara
17,308.3,302883687,9,The Necrotic Wake,2024-10-26T07:00:25.000Z,1256484,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",톨민,Shaman,Restoration,healer,Azshara
17,308.3,302883687,9,The Necrotic Wake,2024-10-26T07:00:25.000Z,1256484,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",딜러핑,Druid,Balance,dps,Azshara
18,308.2,303803139,9,The Necrotic Wake,2024-10-30T04:56:23.000Z,1262915,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",광란의성기사,Paladin,Protection,tank,Azshara
18,308.2,303803139,9,The Necrotic Wake,2024-10-30T04:56:23.000Z,1262915,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",캡카,Priest,Discipline,healer,Azshara
18,308.2,303803139,9,The Necrotic Wake,2024-10-30T04:56:23.000Z,1262915,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",흥랄,Shaman,Elemental,dps,Azshara
18,308.2,303803139,9,The Necrotic Wake,2024-10-30T04:56:23.000Z,1262915,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",깜장흑흑,Warlock,Demonology,dps,Azshara
18,308.2,303803139,9,The Necrotic Wake,2024-10-30T04:56:23.000Z,1262915,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",있어줘,Death Knight,Frost,dps,Azshara
19,308.2,302620608,9,The Necrotic Wake,2024-10-25T05:12:30.000Z,1265714,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",도청황소,Shaman,Restoration,healer,Azshara
19,308.2,302620608,9,The Necrotic Wake,2024-10-25T05:12:30.000Z,1265714,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",라세르다,Rogue,Assassination,dps,Azshara
19,308.2,302620608,9,The Necrotic Wake,2024-10-25T05:12:30.000Z,1265714,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",부람,Paladin,Protection,tank,Azshara
19,308.2,302620608,9,The Necrotic Wake,2024-10-25T05:12:30.000Z,1265714,1950999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",야광이,Demon Hunter,Havoc,dps,Azshara
