rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,307451402,9,The Necrotic Wake,2024-11-15T15:04:37.000Z,1015689,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",비밀일기,Rogue,Assassination,dps,Azshara
1,310,307451402,9,The Necrotic Wake,2024-11-15T15:04:37.000Z,1015689,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",아기곰술,Shaman,Elemental,dps,Azshara
1,310,307451402,9,The Necrotic Wake,2024-11-15T15:04:37.000Z,1015689,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Reina,Warrior,Protection,tank,Azshara
1,310,307451402,9,The Necrotic Wake,2024-11-15T15:04:37.000Z,1015689,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",굴소년의외출,Warlock,Demonology,dps,Azshara
1,310,307451402,9,The Necrotic Wake,2024-11-15T15:04:37.000Z,1015689,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",솔솔잉,Priest,Discipline,healer,Azshara
2,310,307872924,9,The Necrotic Wake,2024-11-18T04:39:09.000Z,1113973,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",홀리타우렌,Paladin,Protection,tank,Azshara
2,310,307872924,9,The Necrotic Wake,2024-11-18T04:39:09.000Z,1113973,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",호랑이고술,Shaman,Enhancement,dps,Azshara
2,310,307872924,9,The Necrotic Wake,2024-11-18T04:39:09.000Z,1113973,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",검후추,Warlock,Destruction,dps,Azshara
2,310,307872924,9,The Necrotic Wake,2024-11-18T04:39:09.000Z,1113973,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",알테냥,Hunter,Beast Mastery,dps,Cenarius
2,310,307872924,9,The Necrotic Wake,2024-11-18T04:39:09.000Z,1113973,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",우당탕뿅당탕,Priest,Discipline,healer,Azshara
3,310,307163495,9,The Necrotic Wake,2024-11-14T14:24:25.000Z,1124069,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",피사소울,Shaman,Enhancement,dps,Hellscream
3,310,307163495,9,The Necrotic Wake,2024-11-14T14:24:25.000Z,1124069,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",한번만기사,Paladin,Protection,tank,Hyjal
3,310,307163495,9,The Necrotic Wake,2024-11-14T14:24:25.000Z,1124069,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Droplet,Priest,Discipline,healer,Hyjal
3,310,307163495,9,The Necrotic Wake,2024-11-14T14:24:25.000Z,1124069,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",흐벨,Hunter,Beast Mastery,dps,Cenarius
3,310,307163495,9,The Necrotic Wake,2024-11-14T14:24:25.000Z,1124069,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",옐로오커,Shaman,Elemental,dps,Azshara
4,310,307165957,9,The Necrotic Wake,2024-11-14T15:16:21.000Z,1158517,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",유리여우,Priest,Shadow,dps,Azshara
4,310,307165957,9,The Necrotic Wake,2024-11-14T15:16:21.000Z,1158517,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",버리지마,Monk,Windwalker,dps,Azshara
4,310,307165957,9,The Necrotic Wake,2024-11-14T15:16:21.000Z,1158517,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",슈퍼레이스,Shaman,Restoration,healer,Azshara
4,310,307165957,9,The Necrotic Wake,2024-11-14T15:16:21.000Z,1158517,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",여섯손가락,Death Knight,Unholy,dps,Azshara
4,310,307165957,9,The Necrotic Wake,2024-11-14T15:16:21.000Z,1158517,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",감자에오,Paladin,Protection,tank,Azshara
5,310,307886541,9,The Necrotic Wake,2024-11-18T08:18:08.000Z,1161778,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",김뽀솜,Druid,Balance,dps,Azshara
5,310,307886541,9,The Necrotic Wake,2024-11-18T08:18:08.000Z,1161778,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",애쿤,Warrior,Protection,tank,Azshara
5,310,307886541,9,The Necrotic Wake,2024-11-18T08:18:08.000Z,1161778,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",무작위총력전의신,Demon Hunter,Havoc,dps,Azshara
5,310,307886541,9,The Necrotic Wake,2024-11-18T08:18:08.000Z,1161778,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",탈피용,Evoker,Augmentation,dps,Azshara
5,310,307886541,9,The Necrotic Wake,2024-11-18T08:18:08.000Z,1161778,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",신꽐라,Priest,Discipline,healer,Azshara
