rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,308393561,9,The Necrotic Wake,2024-11-21T05:48:28.000Z,1024047,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",역시씨클,Shaman,Enhancement,dps,Azshara
1,310,308393561,9,The Necrotic Wake,2024-11-21T05:48:28.000Z,1024047,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",슈마보,Death Knight,Blood,tank,Azshara
1,310,308393561,9,The Necrotic Wake,2024-11-21T05:48:28.000Z,1024047,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",디딧,Mage,Frost,dps,Azshara
1,310,308393561,9,The Necrotic Wake,2024-11-21T05:48:28.000Z,1024047,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",김로즈,Priest,Discipline,healer,Azshara
1,310,308393561,9,The Necrotic Wake,2024-11-21T05:48:28.000Z,1024047,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",남자이대생,Warlock,Destruction,dps,Azshara
2,310,308895848,9,The Necrotic Wake,2024-11-24T08:46:10.000Z,1095104,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",농구공한손에잡음,Shaman,Enhancement,dps,Azshara
2,310,308895848,9,The Necrotic Wake,2024-11-24T08:46:10.000Z,1095104,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",계란돌은자,Warlock,Demonology,dps,Azshara
2,310,308895848,9,The Necrotic Wake,2024-11-24T08:46:10.000Z,1095104,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",꺼꾸루,Paladin,Holy,healer,Azshara
2,310,308895848,9,The Necrotic Wake,2024-11-24T08:46:10.000Z,1095104,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",예의없는사람,Shaman,Elemental,dps,Azshara
2,310,308895848,9,The Necrotic Wake,2024-11-24T08:46:10.000Z,1095104,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",짤좀,Paladin,Protection,tank,Azshara
3,310,308367963,9,The Necrotic Wake,2024-11-21T00:37:45.000Z,1124772,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",파닥,Evoker,Augmentation,dps,Azshara
3,310,308367963,9,The Necrotic Wake,2024-11-21T00:37:45.000Z,1124772,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Xso,Warlock,Demonology,dps,Azshara
3,310,308367963,9,The Necrotic Wake,2024-11-21T00:37:45.000Z,1124772,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",나비쿤,Shaman,Enhancement,dps,Azshara
3,310,308367963,9,The Necrotic Wake,2024-11-21T00:37:45.000Z,1124772,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",딴딴시치,Paladin,Protection,tank,Azshara
3,310,308367963,9,The Necrotic Wake,2024-11-21T00:37:45.000Z,1124772,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",곰탱이연치,Shaman,Restoration,healer,Azshara
4,309.6,296040288,9,The Necrotic Wake,2024-09-28T08:24:47.000Z,1192542,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",고위기사지망생,Paladin,Retribution,dps,Azshara
4,309.6,296040288,9,The Necrotic Wake,2024-09-28T08:24:47.000Z,1192542,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",니얼굴죽격,Death Knight,Blood,tank,Azshara
4,309.6,296040288,9,The Necrotic Wake,2024-09-28T08:24:47.000Z,1192542,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",카르꽁스,Mage,Arcane,dps,Azshara
4,309.6,296040288,9,The Necrotic Wake,2024-09-28T08:24:47.000Z,1192542,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Kanginlee,Warrior,Fury,dps,Azshara
4,309.6,296040288,9,The Necrotic Wake,2024-09-28T08:24:47.000Z,1192542,1950999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Totem,Shaman,Restoration,healer,Azshara
5,309.3,296426851,9,The Necrotic Wake,2024-09-29T13:29:21.000Z,1208270,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",박폭탄,Paladin,Retribution,dps,Azshara
5,309.3,296426851,9,The Necrotic Wake,2024-09-29T13:29:21.000Z,1208270,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Lipkiss,Druid,Guardian,tank,Azshara
5,309.3,296426851,9,The Necrotic Wake,2024-09-29T13:29:21.000Z,1208270,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Binonz,Demon Hunter,Havoc,dps,Azshara
5,309.3,296426851,9,The Necrotic Wake,2024-09-29T13:29:21.000Z,1208270,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",로셀리니,Rogue,Outlaw,dps,Azshara
5,309.3,296426851,9,The Necrotic Wake,2024-09-29T13:29:21.000Z,1208270,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",크림맛푸딩,Priest,Holy,healer,Azshara
6,309,308787696,9,The Necrotic Wake,2024-11-23T15:26:59.000Z,1224975,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",컨쩌냥,Hunter,Marksmanship,dps,Azshara
6,309,308787696,9,The Necrotic Wake,2024-11-23T15:26:59.000Z,1224975,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",취기를빌렴,Paladin,Retribution,dps,Azshara
6,309,308787696,9,The Necrotic Wake,2024-11-23T15:26:59.000Z,1224975,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",용랑이,Evoker,Preservation,healer,Azshara
6,309,308787696,9,The Necrotic Wake,2024-11-23T15:26:59.000Z,1224975,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",댕띠,Warrior,Protection,tank,Azshara
6,309,308787696,9,The Necrotic Wake,2024-11-23T15:26:59.000Z,1224975,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",고수리호야,Shaman,Enhancement,dps,Azshara
7,308.7,309252249,9,The Necrotic Wake,2024-11-26T08:34:05.000Z,1235790,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Eliruril,Paladin,Protection,tank,Azshara
7,308.7,309252249,9,The Necrotic Wake,2024-11-26T08:34:05.000Z,1235790,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",불비좀요,Warlock,Destruction,dps,Azshara
7,308.7,309252249,9,The Necrotic Wake,2024-11-26T08:34:05.000Z,1235790,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",주술사니,Shaman,Restoration,healer,Azshara
7,308.7,309252249,9,The Necrotic Wake,2024-11-26T08:34:05.000Z,1235790,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",데굴데굴데구알,Paladin,Retribution,dps,Azshara
7,308.7,309252249,9,The Necrotic Wake,2024-11-26T08:34:05.000Z,1235790,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Aloy,Hunter,Beast Mastery,dps,Azshara
8,308.7,296742894,9,The Necrotic Wake,2024-09-30T14:00:07.000Z,1239168,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",겨울이오네여,Death Knight,Blood,tank,Azshara
8,308.7,296742894,9,The Necrotic Wake,2024-09-30T14:00:07.000Z,1239168,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Crazyface,Shaman,Restoration,healer,Azshara
8,308.7,296742894,9,The Necrotic Wake,2024-09-30T14:00:07.000Z,1239168,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",밝은새벽,Druid,Balance,dps,Azshara
8,308.7,296742894,9,The Necrotic Wake,2024-09-30T14:00:07.000Z,1239168,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Cybeex,Mage,Arcane,dps,Azshara
8,308.7,296742894,9,The Necrotic Wake,2024-09-30T14:00:07.000Z,1239168,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",슬픈년,Warrior,Fury,dps,Azshara
9,308.6,296858800,9,The Necrotic Wake,2024-10-01T01:21:44.000Z,1245644,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",만개용,Evoker,Augmentation,dps,Azshara
9,308.6,296858800,9,The Necrotic Wake,2024-10-01T01:21:44.000Z,1245644,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",분홍바다님-196877841,Priest,Holy,healer,Azshara
9,308.6,296858800,9,The Necrotic Wake,2024-10-01T01:21:44.000Z,1245644,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Onirique,Warlock,Destruction,dps,Azshara
9,308.6,296858800,9,The Necrotic Wake,2024-10-01T01:21:44.000Z,1245644,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",또블씨,Demon Hunter,Vengeance,tank,Azshara
9,308.6,296858800,9,The Necrotic Wake,2024-10-01T01:21:44.000Z,1245644,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",토도로키쇼토,Death Knight,Frost,dps,Azshara
10,308.5,308437316,9,The Necrotic Wake,2024-11-21T14:36:42.000Z,1246979,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",래키표사탕,Warlock,Destruction,dps,Azshara
10,308.5,308437316,9,The Necrotic Wake,2024-11-21T14:36:42.000Z,1246979,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",체험살해현장,Shaman,Restoration,healer,Hyjal
10,308.5,308437316,9,The Necrotic Wake,2024-11-21T14:36:42.000Z,1246979,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",탱밑딜좀할게요,Rogue,Assassination,dps,Azshara
10,308.5,308437316,9,The Necrotic Wake,2024-11-21T14:36:42.000Z,1246979,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",주접자,Demon Hunter,Vengeance,tank,Dalaran
10,308.5,308437316,9,The Necrotic Wake,2024-11-21T14:36:42.000Z,1246979,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",기모몰,Mage,Fire,dps,Hyjal
11,308.5,308729583,9,The Necrotic Wake,2024-11-23T12:14:25.000Z,1248155,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",허얀,Priest,Discipline,healer,Azshara
11,308.5,308729583,9,The Necrotic Wake,2024-11-23T12:14:25.000Z,1248155,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",드록바생머리,Mage,Frost,dps,Azshara
11,308.5,308729583,9,The Necrotic Wake,2024-11-23T12:14:25.000Z,1248155,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",레디언,Mage,Frost,dps,Azshara
11,308.5,308729583,9,The Necrotic Wake,2024-11-23T12:14:25.000Z,1248155,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",카베즈,Hunter,Survival,dps,Azshara
11,308.5,308729583,9,The Necrotic Wake,2024-11-23T12:14:25.000Z,1248155,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",요요만,Paladin,Protection,tank,Azshara
12,308.4,309253108,9,The Necrotic Wake,2024-11-26T11:44:37.000Z,1255006,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",높산사제,Priest,Discipline,healer,Azshara
12,308.4,309253108,9,The Necrotic Wake,2024-11-26T11:44:37.000Z,1255006,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",핑크소금라떼,Paladin,Retribution,dps,Azshara
12,308.4,309253108,9,The Necrotic Wake,2024-11-26T11:44:37.000Z,1255006,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",꽃톳템,Shaman,Elemental,dps,Azshara
12,308.4,309253108,9,The Necrotic Wake,2024-11-26T11:44:37.000Z,1255006,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",게르륵게르륵,Paladin,Protection,tank,Azshara
12,308.4,309253108,9,The Necrotic Wake,2024-11-26T11:44:37.000Z,1255006,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",비전비전해,Mage,Frost,dps,Azshara
13,308.3,308847055,9,The Necrotic Wake,2024-11-24T00:20:11.000Z,1257130,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",오샤베,Paladin,Protection,tank,Azshara
13,308.3,308847055,9,The Necrotic Wake,2024-11-24T00:20:11.000Z,1257130,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",토룽이,Monk,Mistweaver,healer,Azshara
13,308.3,308847055,9,The Necrotic Wake,2024-11-24T00:20:11.000Z,1257130,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",인간멸치,Rogue,Assassination,dps,Azshara
13,308.3,308847055,9,The Necrotic Wake,2024-11-24T00:20:11.000Z,1257130,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",도르헌터,Hunter,Beast Mastery,dps,Azshara
13,308.3,308847055,9,The Necrotic Wake,2024-11-24T00:20:11.000Z,1257130,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",영어냥꾼님이,Warlock,Affliction,dps,Azshara
14,308.2,308668944,9,The Necrotic Wake,2024-11-23T00:27:26.000Z,1262442,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",붕대기사,Paladin,Protection,tank,Azshara
14,308.2,308668944,9,The Necrotic Wake,2024-11-23T00:27:26.000Z,1262442,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Tooniverse,Death Knight,Unholy,dps,Azshara
14,308.2,308668944,9,The Necrotic Wake,2024-11-23T00:27:26.000Z,1262442,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",피뽀피뽀,Priest,Discipline,healer,Azshara
14,308.2,308668944,9,The Necrotic Wake,2024-11-23T00:27:26.000Z,1262442,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",색슨파게,Warlock,Demonology,dps,Azshara
14,308.2,308668944,9,The Necrotic Wake,2024-11-23T00:27:26.000Z,1262442,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",조트수트,Mage,Arcane,dps,Azshara
15,308.2,308985756,9,The Necrotic Wake,2024-11-24T14:08:59.000Z,1263501,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",까까몬,Death Knight,Unholy,dps,Azshara
15,308.2,308985756,9,The Necrotic Wake,2024-11-24T14:08:59.000Z,1263501,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",땡땡몬,Druid,Balance,dps,Azshara
