rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,302324713,9,The Necrotic Wake,2024-10-23T12:55:41.000Z,1059749,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",긔여운민초트롤찡,Mage,Fire,dps,Azshara
1,310,302324713,9,The Necrotic Wake,2024-10-23T12:55:41.000Z,1059749,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",매력적인영혼,Demon Hunter,Havoc,dps,Azshara
1,310,302324713,9,The Necrotic Wake,2024-10-23T12:55:41.000Z,1059749,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Naoyadr,Druid,Balance,dps,Azshara
1,310,302324713,9,The Necrotic Wake,2024-10-23T12:55:41.000Z,1059749,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",효이쨔,Druid,Guardian,tank,Azshara
1,310,302324713,9,The Necrotic Wake,2024-10-23T12:55:41.000Z,1059749,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",루세한,Paladin,Holy,healer,Azshara
2,310,302130788,9,The Necrotic Wake,2024-10-22T10:56:43.000Z,1106509,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",김재용,Warrior,Arms,dps,Hyjal
2,310,302130788,9,The Necrotic Wake,2024-10-22T10:56:43.000Z,1106509,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",빠닉,Death Knight,Frost,dps,Hyjal
2,310,302130788,9,The Necrotic Wake,2024-10-22T10:56:43.000Z,1106509,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",강화철퇴,Shaman,Restoration,healer,Hyjal
2,310,302130788,9,The Necrotic Wake,2024-10-22T10:56:43.000Z,1106509,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",한번만기사,Paladin,Protection,tank,Hyjal
2,310,302130788,9,The Necrotic Wake,2024-10-22T10:56:43.000Z,1106509,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Lodera,Priest,Shadow,dps,Azshara
