rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,309.5,297590388,9,The Necrotic Wake,2024-10-04T10:59:30.000Z,1199082,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",오동동통판다,Monk,Windwalker,dps,Azshara
1,309.5,297590388,9,The Necrotic Wake,2024-10-04T10:59:30.000Z,1199082,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",흰큼이-57371985,Priest,Holy,healer,Azshara
1,309.5,297590388,9,The Necrotic Wake,2024-10-04T10:59:30.000Z,1199082,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",노멀쥬지,Warrior,Protection,tank,Azshara
1,309.5,297590388,9,The Necrotic Wake,2024-10-04T10:59:30.000Z,1199082,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",주삼댕,Mage,Arcane,dps,Azshara
1,309.5,297590388,9,The Necrotic Wake,2024-10-04T10:59:30.000Z,1199082,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Nuet,Mage,Fire,dps,Azshara
2,307.9,298688551,9,The Necrotic Wake,2024-10-08T17:43:48.000Z,1277972,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",천본놈,Death Knight,Blood,tank,Azshara
2,307.9,298688551,9,The Necrotic Wake,2024-10-08T17:43:48.000Z,1277972,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",패미니스트김찬호,Death Knight,Frost,dps,Azshara
2,307.9,298688551,9,The Necrotic Wake,2024-10-08T17:43:48.000Z,1277972,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",주라주라술사주라,Shaman,Restoration,healer,Azshara
2,307.9,298688551,9,The Necrotic Wake,2024-10-08T17:43:48.000Z,1277972,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",아숩다,Hunter,Marksmanship,dps,Azshara
2,307.9,298688551,9,The Necrotic Wake,2024-10-08T17:43:48.000Z,1277972,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Deathmarker-228904987,Rogue,Assassination,dps,Azshara
3,307.8,297329616,9,The Necrotic Wake,2024-10-03T05:50:12.000Z,1285534,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",죽탱날려버리기,Death Knight,Blood,tank,Azshara
3,307.8,297329616,9,The Necrotic Wake,2024-10-03T05:50:12.000Z,1285534,1950999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",스쿨디,Paladin,Holy,healer,Azshara
