rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,309.1,309088061,9,The Necrotic Wake,2024-11-25T13:33:48.000Z,1215649,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",山田杏奈,Shaman,Elemental,dps,Sundown Marsh
1,309.1,309088061,9,The Necrotic Wake,2024-11-25T13:33:48.000Z,1215649,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",紅雷寶包,Hunter,Marksmanship,dps,Wrathbringer
1,309.1,309088061,9,The Necrotic Wake,2024-11-25T13:33:48.000Z,1215649,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Alvar,Paladin,Protection,tank,Spirestone
1,309.1,309088061,9,The Necrotic Wake,2024-11-25T13:33:48.000Z,1215649,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",詭鬼,Rogue,Assassination,dps,Sundown Marsh
1,309.1,309088061,9,The Necrotic Wake,2024-11-25T13:33:48.000Z,1215649,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",回魂木木,Priest,Discipline,healer,Sundown Marsh
2,308.8,308574822,9,The Necrotic Wake,2024-11-22T13:40:01.000Z,1235355,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",帕羅伊,Shaman,Restoration,healer,Sundown Marsh
2,308.8,308574822,9,The Necrotic Wake,2024-11-22T13:40:01.000Z,1235355,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",海悅,Druid,Balance,dps,Demon Fall Canyon
2,308.8,308574822,9,The Necrotic Wake,2024-11-22T13:40:01.000Z,1235355,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",冥狂夙,Shaman,Elemental,dps,Spirestone
2,308.8,308574822,9,The Necrotic Wake,2024-11-22T13:40:01.000Z,1235355,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",頹廢手拉茶,Paladin,Retribution,dps,Sundown Marsh
2,308.8,308574822,9,The Necrotic Wake,2024-11-22T13:40:01.000Z,1235355,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",颯小湘,Paladin,Protection,tank,Sundown Marsh
3,308.6,308917570,9,The Necrotic Wake,2024-11-24T12:41:07.000Z,1242292,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",氣死了,Mage,Frost,dps,Arthas
3,308.6,308917570,9,The Necrotic Wake,2024-11-24T12:41:07.000Z,1242292,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",體脂肪過高,Paladin,Retribution,dps,Arthas
3,308.6,308917570,9,The Necrotic Wake,2024-11-24T12:41:07.000Z,1242292,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Marquee,Priest,Discipline,healer,Arthas
3,308.6,308917570,9,The Necrotic Wake,2024-11-24T12:41:07.000Z,1242292,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",蘇芳,Warrior,Protection,tank,Arthas
3,308.6,308917570,9,The Necrotic Wake,2024-11-24T12:41:07.000Z,1242292,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",大隻哥布林,Shaman,Elemental,dps,Arthas
4,308.5,309201759,9,The Necrotic Wake,2024-11-26T10:05:12.000Z,1247466,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Skydog,Rogue,Assassination,dps,Shadowmoon
4,308.5,309201759,9,The Necrotic Wake,2024-11-26T10:05:12.000Z,1247466,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",伊波拉病毒,Warrior,Protection,tank,Shadowmoon
4,308.5,309201759,9,The Necrotic Wake,2024-11-26T10:05:12.000Z,1247466,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Tiffanybbgg,Priest,Discipline,healer,Shadowmoon
4,308.5,309201759,9,The Necrotic Wake,2024-11-26T10:05:12.000Z,1247466,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",你的初戀,Paladin,Retribution,dps,Menethil
4,308.5,309201759,9,The Necrotic Wake,2024-11-26T10:05:12.000Z,1247466,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",違者卡夫卡,Druid,Balance,dps,Nightsong
5,308.3,308747407,9,The Necrotic Wake,2024-11-23T14:36:32.000Z,1258706,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",孤影絕,Paladin,Protection,tank,Shadowmoon
5,308.3,308747407,9,The Necrotic Wake,2024-11-23T14:36:32.000Z,1258706,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",於戲,Shaman,Enhancement,dps,Shadowmoon
5,308.3,308747407,9,The Necrotic Wake,2024-11-23T14:36:32.000Z,1258706,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",找你呢,Druid,Balance,dps,Shadowmoon
5,308.3,308747407,9,The Necrotic Wake,2024-11-23T14:36:32.000Z,1258706,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Begonia-200017224,Priest,Discipline,healer,Nightsong
5,308.3,308747407,9,The Necrotic Wake,2024-11-23T14:36:32.000Z,1258706,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Shadowknight-231401656,Death Knight,Frost,dps,Stormscale
6,308.2,309234634,9,The Necrotic Wake,2024-11-26T15:22:07.000Z,1265436,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",聖光小花,Priest,Shadow,dps,Dragonmaw
6,308.2,309234634,9,The Necrotic Wake,2024-11-26T15:22:07.000Z,1265436,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",大力鴨,Paladin,Protection,tank,Light's Hope
6,308.2,309234634,9,The Necrotic Wake,2024-11-26T15:22:07.000Z,1265436,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Hydra,Monk,Mistweaver,healer,Shadowmoon
6,308.2,309234634,9,The Necrotic Wake,2024-11-26T15:22:07.000Z,1265436,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",筆墨砌伊人,Evoker,Devastation,dps,Light's Hope
6,308.2,309234634,9,The Necrotic Wake,2024-11-26T15:22:07.000Z,1265436,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",辣薩狼,Shaman,Enhancement,dps,Skywall
7,308.1,309094607,9,The Necrotic Wake,2024-11-25T16:18:59.000Z,1271823,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",小樓听春雨,Paladin,Retribution,dps,Hellscream
7,308.1,309094607,9,The Necrotic Wake,2024-11-25T16:18:59.000Z,1271823,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",還能起舞嗎,Priest,Discipline,healer,Bleeding Hollow
7,308.1,309094607,9,The Necrotic Wake,2024-11-25T16:18:59.000Z,1271823,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Fyre,Warlock,Destruction,dps,Arthas
7,308.1,309094607,9,The Necrotic Wake,2024-11-25T16:18:59.000Z,1271823,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",小聰聰,Hunter,Survival,dps,Arygos
7,308.1,309094607,9,The Necrotic Wake,2024-11-25T16:18:59.000Z,1271823,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Mdki,Death Knight,Blood,tank,Menethil
8,307.9,296999680,9,The Necrotic Wake,2024-10-01T17:38:36.000Z,1279836,1950999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",逃學威龍,Evoker,Preservation,healer,Arygos
