rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,302119569,9,The Necrotic Wake,2024-10-21T17:50:49.000Z,1167803,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",坦克寶寶,Paladin,Retribution,dps,Spirestone
1,310,302119569,9,The Necrotic Wake,2024-10-21T17:50:49.000Z,1167803,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",哪吒,Evoker,Preservation,healer,Spirestone
1,310,302119569,9,The Necrotic Wake,2024-10-21T17:50:49.000Z,1167803,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",阿阿萨斯,Death Knight,Unholy,dps,Spirestone
1,310,302119569,9,The Necrotic Wake,2024-10-21T17:50:49.000Z,1167803,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",我還是大黃呀,Paladin,Protection,tank,Spirestone
1,310,302119569,9,The Necrotic Wake,2024-10-21T17:50:49.000Z,1167803,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",還是小黃啊,Demon Hunter,Havoc,dps,Spirestone
2,309.4,301045657,9,The Necrotic Wake,2024-10-18T07:40:28.000Z,1199802,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",純白歲月,Paladin,Retribution,dps,Chillwind Point
2,309.4,301045657,9,The Necrotic Wake,2024-10-18T07:40:28.000Z,1199802,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",失撚晒控,Death Knight,Unholy,dps,Sundown Marsh
2,309.4,301045657,9,The Necrotic Wake,2024-10-18T07:40:28.000Z,1199802,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",楠楓-227956722,Demon Hunter,Vengeance,tank,World Tree
2,309.4,301045657,9,The Necrotic Wake,2024-10-18T07:40:28.000Z,1199802,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Bababalloonn-229234780,Shaman,Restoration,healer,Wrathbringer
2,309.4,301045657,9,The Necrotic Wake,2024-10-18T07:40:28.000Z,1199802,1950999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",不是她的問題,Druid,Balance,dps,Nightsong
