rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,309,305798568,9,The Necrotic Wake,2024-11-08T11:25:35.000Z,1222505,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",冷漠面容,Paladin,Protection,tank,Sundown Marsh
1,309,305798568,9,The Necrotic Wake,2024-11-08T11:25:35.000Z,1222505,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",海怪,Hunter,Beast Mastery,dps,Zealot Blade
1,309,305798568,9,The Necrotic Wake,2024-11-08T11:25:35.000Z,1222505,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",怒江,Priest,Discipline,healer,World Tree
1,309,305798568,9,The Necrotic Wake,2024-11-08T11:25:35.000Z,1222505,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",贤者时间狗子,Paladin,Retribution,dps,Light's Hope
1,309,305798568,9,The Necrotic Wake,2024-11-08T11:25:35.000Z,1222505,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",蕃茄炒蛋,Warrior,Fury,dps,Bleeding Hollow
2,307.7,305611994,9,The Necrotic Wake,2024-11-07T10:35:35.000Z,1288948,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",火痞卡卡,Mage,Frost,dps,Whisperwind
2,307.7,305611994,9,The Necrotic Wake,2024-11-07T10:35:35.000Z,1288948,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",苗苗和萌萌,Monk,Mistweaver,healer,Stormscale
2,307.7,305611994,9,The Necrotic Wake,2024-11-07T10:35:35.000Z,1288948,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",菜刀閃閃,Paladin,Protection,tank,Crystalpine Stinger
2,307.7,305611994,9,The Necrotic Wake,2024-11-07T10:35:35.000Z,1288948,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Ctha,Paladin,Retribution,dps,Sundown Marsh
2,307.7,305611994,9,The Necrotic Wake,2024-11-07T10:35:35.000Z,1288948,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",火鍋加芋頭,Shaman,Enhancement,dps,Crystalpine Stinger
3,307.3,306092961,9,The Necrotic Wake,2024-11-09T16:34:52.000Z,1312809,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",會武功的蘿莉,Monk,Brewmaster,tank,Nightsong
3,307.3,306092961,9,The Necrotic Wake,2024-11-09T16:34:52.000Z,1312809,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",錢多多三號,Paladin,Holy,healer,Shadowmoon
3,307.3,306092961,9,The Necrotic Wake,2024-11-09T16:34:52.000Z,1312809,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Minyang,Paladin,Retribution,dps,Arthas
3,307.3,306092961,9,The Necrotic Wake,2024-11-09T16:34:52.000Z,1312809,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",AnonC499E53,Priest,Shadow,dps,Anonymous
3,307.3,306092961,9,The Necrotic Wake,2024-11-09T16:34:52.000Z,1312809,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",AnonDBF1EE2,Shaman,Enhancement,dps,Anonymous
4,306.9,305639257,9,The Necrotic Wake,2024-11-07T14:43:42.000Z,1331124,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",詛咒娃娃,Paladin,Retribution,dps,Shadowmoon
4,306.9,305639257,9,The Necrotic Wake,2024-11-07T14:43:42.000Z,1331124,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",陳怡君,Paladin,Protection,tank,Shadowmoon
4,306.9,305639257,9,The Necrotic Wake,2024-11-07T14:43:42.000Z,1331124,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",歐巴熊,Monk,Windwalker,dps,Shadowmoon
4,306.9,305639257,9,The Necrotic Wake,2024-11-07T14:43:42.000Z,1331124,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",神弓奔月,Hunter,Marksmanship,dps,Sundown Marsh
4,306.9,305639257,9,The Necrotic Wake,2024-11-07T14:43:42.000Z,1331124,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",藍莓塔-228875687,Shaman,Restoration,healer,Sundown Marsh
5,306.8,305815829,9,The Necrotic Wake,2024-11-08T14:09:35.000Z,1338216,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",浢浢,Shaman,Restoration,healer,Demon Fall Canyon
5,306.8,305815829,9,The Necrotic Wake,2024-11-08T14:09:35.000Z,1338216,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",胖豬妹,Demon Hunter,Havoc,dps,Sundown Marsh
5,306.8,305815829,9,The Necrotic Wake,2024-11-08T14:09:35.000Z,1338216,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",三十歲的降臨,Mage,Arcane,dps,Sundown Marsh
5,306.8,305815829,9,The Necrotic Wake,2024-11-08T14:09:35.000Z,1338216,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Jokerxzs,Warrior,Protection,tank,Wrathbringer
5,306.8,305815829,9,The Necrotic Wake,2024-11-08T14:09:35.000Z,1338216,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",霍尼摩爾,Paladin,Retribution,dps,Hellscream
6,306.8,306512698,9,The Necrotic Wake,2024-11-11T04:00:33.000Z,1339347,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",飛翔的薩滿,Shaman,Restoration,healer,Spirestone
6,306.8,306512698,9,The Necrotic Wake,2024-11-11T04:00:33.000Z,1339347,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",笑個蛋,Warrior,Protection,tank,Arygos
6,306.8,306512698,9,The Necrotic Wake,2024-11-11T04:00:33.000Z,1339347,1950999,2,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",阿索卡,Mage,Frost,dps,Arthas
