rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,302666584,9,The Necrotic Wake,2024-10-25T07:05:09.000Z,1010492,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Kfcmorobar,Paladin,Protection,tank,Frostmourne
1,310,302666584,9,The Necrotic Wake,2024-10-25T07:05:09.000Z,1010492,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Magikarp,Shaman,Elemental,dps,Frostmourne
1,310,302666584,9,The Necrotic Wake,2024-10-25T07:05:09.000Z,1010492,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Lvs,Death Knight,Unholy,dps,Frostmourne
1,310,302666584,9,The Necrotic Wake,2024-10-25T07:05:09.000Z,1010492,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Whynotpriest-217506936,Priest,Discipline,healer,Frostmourne
1,310,302666584,9,The Necrotic Wake,2024-10-25T07:05:09.000Z,1010492,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Ily,Paladin,Retribution,dps,Frostmourne
2,310,302826973,9,The Necrotic Wake,2024-10-26T02:35:22.000Z,1064904,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Orosmis,Hunter,Survival,dps,Arthas
2,310,302826973,9,The Necrotic Wake,2024-10-26T02:35:22.000Z,1064904,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Voldemorto,Mage,Frost,dps,Thrall
2,310,302826973,9,The Necrotic Wake,2024-10-26T02:35:22.000Z,1064904,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Cranknines,Warrior,Protection,tank,Thrall
2,310,302826973,9,The Necrotic Wake,2024-10-26T02:35:22.000Z,1064904,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Chonkerton,Shaman,Elemental,dps,Thrall
2,310,302826973,9,The Necrotic Wake,2024-10-26T02:35:22.000Z,1064904,1950999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Ploobgoob,Shaman,Restoration,healer,Thrall
