rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,307348688,9,The Necrotic Wake,2024-11-15T17:47:30.000Z,974825,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Pokemeplease,Shaman,Enhancement,dps,Lightbringer
1,310,307348688,9,The Necrotic Wake,2024-11-15T17:47:30.000Z,974825,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Bradleycanoe,Rogue,Assassination,dps,Sargeras
1,310,307348688,9,The Necrotic Wake,2024-11-15T17:47:30.000Z,974825,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Acromonkx,Monk,Mistweaver,healer,Illidan
1,310,307348688,9,The Necrotic Wake,2024-11-15T17:47:30.000Z,974825,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Goje,Paladin,Protection,tank,Thrall
1,310,307348688,9,The Necrotic Wake,2024-11-15T17:47:30.000Z,974825,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Drakeqt,Hunter,Survival,dps,Sargeras
2,310,307126894,9,The Necrotic Wake,2024-11-14T07:05:20.000Z,1005640,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Yipzen,Monk,Mistweaver,healer,Tichondrius
2,310,307126894,9,The Necrotic Wake,2024-11-14T07:05:20.000Z,1005640,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Ziyei,Hunter,Survival,dps,Quel'Thalas
2,310,307126894,9,The Necrotic Wake,2024-11-14T07:05:20.000Z,1005640,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Prsten,Shaman,Enhancement,dps,Quel'Thalas
2,310,307126894,9,The Necrotic Wake,2024-11-14T07:05:20.000Z,1005640,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Sneakypal,Paladin,Protection,tank,Illidan
2,310,307126894,9,The Necrotic Wake,2024-11-14T07:05:20.000Z,1005640,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Hikariikana-231057062,Rogue,Assassination,dps,Quel'Thalas
3,310,307397054,9,The Necrotic Wake,2024-11-15T19:52:13.000Z,1011486,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Rybina,Shaman,Elemental,dps,Area 52
3,310,307397054,9,The Necrotic Wake,2024-11-15T19:52:13.000Z,1011486,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Roadburner,Warrior,Arms,dps,Bonechewer
3,310,307397054,9,The Necrotic Wake,2024-11-15T19:52:13.000Z,1011486,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Twîm,Mage,Arcane,dps,Area 52
3,310,307397054,9,The Necrotic Wake,2024-11-15T19:52:13.000Z,1011486,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Vulpip,Monk,Mistweaver,healer,Area 52
3,310,307397054,9,The Necrotic Wake,2024-11-15T19:52:13.000Z,1011486,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Testarøssá,Demon Hunter,Vengeance,tank,Area 52
4,310,307282690,9,The Necrotic Wake,2024-11-15T07:32:35.000Z,1015498,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Innerxxe,Death Knight,Unholy,dps,Illidan
4,310,307282690,9,The Necrotic Wake,2024-11-15T07:32:35.000Z,1015498,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Sevenaster,Priest,Discipline,healer,Tichondrius
4,310,307282690,9,The Necrotic Wake,2024-11-15T07:32:35.000Z,1015498,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Banevatore,Warlock,Demonology,dps,Ragnaros
4,310,307282690,9,The Necrotic Wake,2024-11-15T07:32:35.000Z,1015498,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Facelêss,Paladin,Protection,tank,Stormrage
4,310,307282690,9,The Necrotic Wake,2024-11-15T07:32:35.000Z,1015498,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Skysofrenia,Mage,Frost,dps,Quel'Thalas
5,310,307984570,9,The Necrotic Wake,2024-11-18T22:28:39.000Z,1016790,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Poonhammerr,Shaman,Restoration,healer,Bleeding Hollow
5,310,307984570,9,The Necrotic Wake,2024-11-18T22:28:39.000Z,1016790,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Camelttotem,Shaman,Elemental,dps,Illidan
5,310,307984570,9,The Necrotic Wake,2024-11-18T22:28:39.000Z,1016790,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Kraveborn,Shaman,Enhancement,dps,Illidan
5,310,307984570,9,The Necrotic Wake,2024-11-18T22:28:39.000Z,1016790,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Kanyeblessed,Paladin,Protection,tank,Illidan
5,310,307984570,9,The Necrotic Wake,2024-11-18T22:28:39.000Z,1016790,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Boukensha,Druid,Balance,dps,Illidan
6,310,307190588,9,The Necrotic Wake,2024-11-14T18:47:57.000Z,1033687,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Asters,Druid,Feral,dps,Dalaran
6,310,307190588,9,The Necrotic Wake,2024-11-14T18:47:57.000Z,1033687,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Saintjake,Paladin,Retribution,dps,Dalaran
6,310,307190588,9,The Necrotic Wake,2024-11-14T18:47:57.000Z,1033687,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Kitashana,Monk,Mistweaver,healer,Wyrmrest Accord
6,310,307190588,9,The Necrotic Wake,2024-11-14T18:47:57.000Z,1033687,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Laluz,Paladin,Protection,tank,Wyrmrest Accord
6,310,307190588,9,The Necrotic Wake,2024-11-14T18:47:57.000Z,1033687,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Layleri,Priest,Shadow,dps,Wyrmrest Accord
7,310,306850134,9,The Necrotic Wake,2024-11-12T21:34:22.000Z,1042053,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Nohmojor-36040431,Paladin,Protection,tank,Mal'Ganis
7,310,306850134,9,The Necrotic Wake,2024-11-12T21:34:22.000Z,1042053,1950999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Natamir,Shaman,Elemental,dps,Area 52
