rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,305961828,9,The Necrotic Wake,2024-11-08T22:37:23.000Z,980333,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Rybina,Shaman,Elemental,dps,Area 52
1,310,305961828,9,The Necrotic Wake,2024-11-08T22:37:23.000Z,980333,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Catalys,Hunter,Survival,dps,Elune
1,310,305961828,9,The Necrotic Wake,2024-11-08T22:37:23.000Z,980333,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Murmya,Paladin,Holy,healer,Area 52
1,310,305961828,9,The Necrotic Wake,2024-11-08T22:37:23.000Z,980333,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Testarøssá,Demon Hunter,Vengeance,tank,Area 52
1,310,305961828,9,The Necrotic Wake,2024-11-08T22:37:23.000Z,980333,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Qlaith,Rogue,Assassination,dps,Stormrage
2,310,305287956,9,The Necrotic Wake,2024-11-06T00:30:33.000Z,1005017,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Rennessy,Paladin,Retribution,dps,Moon Guard
2,310,305287956,9,The Necrotic Wake,2024-11-06T00:30:33.000Z,1005017,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Zxnny,Priest,Discipline,healer,Illidan
2,310,305287956,9,The Necrotic Wake,2024-11-06T00:30:33.000Z,1005017,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Yepw,Warrior,Protection,tank,Illidan
2,310,305287956,9,The Necrotic Wake,2024-11-06T00:30:33.000Z,1005017,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Frozenshám,Shaman,Enhancement,dps,Tichondrius
2,310,305287956,9,The Necrotic Wake,2024-11-06T00:30:33.000Z,1005017,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Sendosdk,Death Knight,Frost,dps,Tichondrius
3,310,305850211,9,The Necrotic Wake,2024-11-08T18:04:15.000Z,1045989,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Dolkris,Priest,Discipline,healer,Sargeras
3,310,305850211,9,The Necrotic Wake,2024-11-08T18:04:15.000Z,1045989,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Vvt,Paladin,Retribution,dps,Stormrage
3,310,305850211,9,The Necrotic Wake,2024-11-08T18:04:15.000Z,1045989,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Littledope,Paladin,Retribution,dps,Cairne
3,310,305850211,9,The Necrotic Wake,2024-11-08T18:04:15.000Z,1045989,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Bayser,Warlock,Destruction,dps,Sargeras
3,310,305850211,9,The Necrotic Wake,2024-11-08T18:04:15.000Z,1045989,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Böhmer,Druid,Guardian,tank,Stormrage
4,310,305770996,9,The Necrotic Wake,2024-11-08T04:51:32.000Z,1046465,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Icyout,Death Knight,Frost,dps,Malorne
4,310,305770996,9,The Necrotic Wake,2024-11-08T04:51:32.000Z,1046465,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Onlyfacts,Shaman,Elemental,dps,Stormrage
4,310,305770996,9,The Necrotic Wake,2024-11-08T04:51:32.000Z,1046465,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Tempò,Priest,Discipline,healer,Sargeras
4,310,305770996,9,The Necrotic Wake,2024-11-08T04:51:32.000Z,1046465,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Anon9651984,Druid,Guardian,tank,Anonymous
4,310,305770996,9,The Necrotic Wake,2024-11-08T04:51:32.000Z,1046465,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Sâgittarius,Hunter,Survival,dps,Stormrage
5,310,306523490,9,The Necrotic Wake,2024-11-11T07:19:48.000Z,1051939,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Insulins,Hunter,Survival,dps,Frostmourne
5,310,306523490,9,The Necrotic Wake,2024-11-11T07:19:48.000Z,1051939,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Talisama,Paladin,Protection,tank,Frostmourne
5,310,306523490,9,The Necrotic Wake,2024-11-11T07:19:48.000Z,1051939,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Koujiaodahan,Rogue,Assassination,dps,Barthilas
5,310,306523490,9,The Necrotic Wake,2024-11-11T07:19:48.000Z,1051939,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Mikkster,Priest,Discipline,healer,Stormrage
5,310,306523490,9,The Necrotic Wake,2024-11-11T07:19:48.000Z,1051939,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Swallownfall,Shaman,Enhancement,dps,Frostmourne
6,310,306606576,9,The Necrotic Wake,2024-11-11T20:07:48.000Z,1066013,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Aturia,Rogue,Assassination,dps,Area 52
6,310,306606576,9,The Necrotic Wake,2024-11-11T20:07:48.000Z,1066013,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Velaarys,Shaman,Restoration,healer,Sargeras
6,310,306606576,9,The Necrotic Wake,2024-11-11T20:07:48.000Z,1066013,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Nessaqt,Hunter,Survival,dps,Stormrage
6,310,306606576,9,The Necrotic Wake,2024-11-11T20:07:48.000Z,1066013,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Slayzons,Death Knight,Blood,tank,Proudmoore
6,310,306606576,9,The Necrotic Wake,2024-11-11T20:07:48.000Z,1066013,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Lanarhooades,Priest,Shadow,dps,Area 52
7,310,305319759,9,The Necrotic Wake,2024-11-05T23:29:54.000Z,1095860,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Peureux,Priest,Discipline,healer,Zul'jin
7,310,305319759,9,The Necrotic Wake,2024-11-05T23:29:54.000Z,1095860,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Rasthr,Rogue,Assassination,dps,Mal'Ganis
7,310,305319759,9,The Necrotic Wake,2024-11-05T23:29:54.000Z,1095860,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Addarol,Death Knight,Unholy,dps,Moon Guard
7,310,305319759,9,The Necrotic Wake,2024-11-05T23:29:54.000Z,1095860,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Christlover,Paladin,Protection,tank,Illidan
7,310,305319759,9,The Necrotic Wake,2024-11-05T23:29:54.000Z,1095860,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Heckinhunt,Hunter,Survival,dps,Moon Guard
8,310,306033575,9,The Necrotic Wake,2024-11-09T09:34:38.000Z,1098538,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Grimreapper,Paladin,Retribution,dps,Dath'Remar
8,310,306033575,9,The Necrotic Wake,2024-11-09T09:34:38.000Z,1098538,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Vancily-53840202,Paladin,Protection,tank,Frostmourne
8,310,306033575,9,The Necrotic Wake,2024-11-09T09:34:38.000Z,1098538,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Heavilydazed,Paladin,Retribution,dps,Frostmourne
8,310,306033575,9,The Necrotic Wake,2024-11-09T09:34:38.000Z,1098538,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Ginkopi,Mage,Frost,dps,Nagrand
8,310,306033575,9,The Necrotic Wake,2024-11-09T09:34:38.000Z,1098538,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Skewy,Priest,Holy,healer,Frostmourne
9,310,306655757,9,The Necrotic Wake,2024-11-11T23:53:46.000Z,1100693,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Defflect,Hunter,Marksmanship,dps,Zul'jin
9,310,306655757,9,The Necrotic Wake,2024-11-11T23:53:46.000Z,1100693,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Purplegirafe,Warlock,Destruction,dps,Tichondrius
9,310,306655757,9,The Necrotic Wake,2024-11-11T23:53:46.000Z,1100693,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Boinkystork,Paladin,Protection,tank,Area 52
9,310,306655757,9,The Necrotic Wake,2024-11-11T23:53:46.000Z,1100693,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Emesgee,Monk,Mistweaver,healer,Wyrmrest Accord
9,310,306655757,9,The Necrotic Wake,2024-11-11T23:53:46.000Z,1100693,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Tooflossyy,Mage,Arcane,dps,Tichondrius
10,310,305754460,9,The Necrotic Wake,2024-11-08T03:24:24.000Z,1101146,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Mischimi,Evoker,Augmentation,dps,Hyjal
10,310,305754460,9,The Necrotic Wake,2024-11-08T03:24:24.000Z,1101146,1950999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Tryndl,Paladin,Protection,tank,Area 52
