rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,298270575,9,The Necrotic Wake,2024-10-06T20:25:23.000Z,950033,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Bobas,Warrior,Protection,tank,Hyjal
1,310,298270575,9,The Necrotic Wake,2024-10-06T20:25:23.000Z,950033,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Buhlr,Rogue,Assassination,dps,Hyjal
1,310,298270575,9,The Necrotic Wake,2024-10-06T20:25:23.000Z,950033,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Doomer,Shaman,Restoration,healer,Hyjal
1,310,298270575,9,The Necrotic Wake,2024-10-06T20:25:23.000Z,950033,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Dabnel,Monk,Windwalker,dps,Area 52
1,310,298270575,9,The Necrotic Wake,2024-10-06T20:25:23.000Z,950033,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Giantmonster,Shaman,Enhancement,dps,Area 52
2,310,309449431,9,The Necrotic Wake,2024-11-28T01:19:07.000Z,992991,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Reformedgala,Paladin,Retribution,dps,Area 52
2,310,309449431,9,The Necrotic Wake,2024-11-28T01:19:07.000Z,992991,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Saberpriest,Priest,Holy,healer,Khaz'goroth
2,310,309449431,9,The Necrotic Wake,2024-11-28T01:19:07.000Z,992991,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Kaderante,Death Knight,Unholy,dps,Stormrage
2,310,309449431,9,The Necrotic Wake,2024-11-28T01:19:07.000Z,992991,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Aérials,Paladin,Protection,tank,Ragnaros
2,310,309449431,9,The Necrotic Wake,2024-11-28T01:19:07.000Z,992991,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Tood,Hunter,Survival,dps,Shattered Halls
3,310,309292283,9,The Necrotic Wake,2024-11-26T22:29:08.000Z,1135690,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Lightwâll,Paladin,Retribution,dps,Area 52
3,310,309292283,9,The Necrotic Wake,2024-11-26T22:29:08.000Z,1135690,1950999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Cápz,Warrior,Protection,tank,Hyjal
