rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,308407109,9,The Stonevault,2024-11-21T09:17:41.000Z,954765,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",一个滑鸡,Hunter,Survival,dps,Silver Hand
1,310,308407109,9,The Stonevault,2024-11-21T09:17:41.000Z,954765,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",虎獸人丶,Demon Hunter,Vengeance,tank,Silver Hand
1,310,308407109,9,The Stonevault,2024-11-21T09:17:41.000Z,954765,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",驯受師,Hunter,Survival,dps,Silver Hand
1,310,308407109,9,The Stonevault,2024-11-21T09:17:41.000Z,954765,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",倾天盛威,Shaman,Enhancement,dps,Eldre'Thalas
1,310,308407109,9,The Stonevault,2024-11-21T09:17:41.000Z,954765,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",朵鹿鹿,Priest,Discipline,healer,Deathwing
2,310,308700526,9,The Stonevault,2024-11-23T06:27:57.000Z,1080888,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",西格玛鱼丷,Monk,Brewmaster,tank,Grim Batol
2,310,308700526,9,The Stonevault,2024-11-23T06:27:57.000Z,1080888,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",竹间,Death Knight,Frost,dps,Grim Batol
2,310,308700526,9,The Stonevault,2024-11-23T06:27:57.000Z,1080888,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",原谅色炫光,Hunter,Survival,dps,Grim Batol
2,310,308700526,9,The Stonevault,2024-11-23T06:27:57.000Z,1080888,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",蟑螂恶霸,Hunter,Survival,dps,Demon Fall Canyon
2,310,308700526,9,The Stonevault,2024-11-23T06:27:57.000Z,1080888,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",绰沃,Monk,Mistweaver,healer,Demon Fall Canyon
3,310,308377103,9,The Stonevault,2024-11-21T02:49:06.000Z,1110355,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",沐汐泠,Rogue,Assassination,dps,Deathwing
3,310,308377103,9,The Stonevault,2024-11-21T02:49:06.000Z,1110355,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",我冰箱呢,Mage,Frost,dps,Hectae
3,310,308377103,9,The Stonevault,2024-11-21T02:49:06.000Z,1110355,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",我知道要聚怪,Shaman,Restoration,healer,Loken
3,310,308377103,9,The Stonevault,2024-11-21T02:49:06.000Z,1110355,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",洛丹伦的蚊子,Paladin,Protection,tank,Azjol-Nerub
3,310,308377103,9,The Stonevault,2024-11-21T02:49:06.000Z,1110355,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",死的死的,Death Knight,Unholy,dps,Dragonblight
4,310,309214908,9,The Stonevault,2024-11-26T12:56:13.000Z,1200918,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",一减武僧还魂,Death Knight,Frost,dps,Rhonin
4,310,309214908,9,The Stonevault,2024-11-26T12:56:13.000Z,1200918,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",秋降霜,Shaman,Restoration,healer,Al'ar
4,310,309214908,9,The Stonevault,2024-11-26T12:56:13.000Z,1200918,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",暴风鹴语,Paladin,Protection,tank,Rhonin
4,310,309214908,9,The Stonevault,2024-11-26T12:56:13.000Z,1200918,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",暴风鸟语,Druid,Balance,dps,Rhonin
4,310,309214908,9,The Stonevault,2024-11-26T12:56:13.000Z,1200918,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Capture,Hunter,Survival,dps,Al'ar
5,310,308536839,9,The Stonevault,2024-11-22T05:20:39.000Z,1228697,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",叮铃叮铃叮铃,Shaman,Elemental,dps,Deathwing
5,310,308536839,9,The Stonevault,2024-11-22T05:20:39.000Z,1228697,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",上古侠风,Monk,Windwalker,dps,Deathwing
5,310,308536839,9,The Stonevault,2024-11-22T05:20:39.000Z,1228697,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",生如丶夏花,Paladin,Protection,tank,Burning Blade
5,310,308536839,9,The Stonevault,2024-11-22T05:20:39.000Z,1228697,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",张三弟,Monk,Mistweaver,healer,Al'ar
5,310,308536839,9,The Stonevault,2024-11-22T05:20:39.000Z,1228697,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",纳克萨罗斯,Death Knight,Unholy,dps,Al'ar
6,310,294936493,9,The Stonevault,2024-09-30T14:24:53.000Z,1229633,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Gawainejey,Death Knight,Frost,dps,Rhonin
