rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,301362136,9,The Stonevault,2024-10-19T14:29:34.000Z,1102656,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",愿君如月,Demon Hunter,Vengeance,tank,Anzu
1,310,301362136,9,The Stonevault,2024-10-19T14:29:34.000Z,1102656,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",艾莎云鸽,Shaman,Elemental,dps,Anzu
1,310,301362136,9,The Stonevault,2024-10-19T14:29:34.000Z,1102656,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",不洗戒律牧,Priest,Discipline,healer,Scarlet Crusade
1,310,301362136,9,The Stonevault,2024-10-19T14:29:34.000Z,1102656,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",道格拉斯先生,Death Knight,Frost,dps,The Great Sea
1,310,301362136,9,The Stonevault,2024-10-19T14:29:34.000Z,1102656,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Heat,Evoker,Augmentation,dps,Bladefist
2,310,301548822,9,The Stonevault,2024-10-20T03:56:15.000Z,1109347,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",鱼面筋,Death Knight,Frost,dps,Blanchard
2,310,301548822,9,The Stonevault,2024-10-20T03:56:15.000Z,1109347,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",你快樂吗,Shaman,Elemental,dps,The Master's Glaive
2,310,301548822,9,The Stonevault,2024-10-20T03:56:15.000Z,1109347,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",藍色闪电,Shaman,Restoration,healer,Burning Blade
2,310,301548822,9,The Stonevault,2024-10-20T03:56:15.000Z,1109347,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",能能别睡了,Evoker,Augmentation,dps,Kel'Thuzad
2,310,301548822,9,The Stonevault,2024-10-20T03:56:15.000Z,1109347,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",暮幽,Death Knight,Blood,tank,Scholomance
3,310,301898439,9,The Stonevault,2024-10-21T14:01:40.000Z,1166011,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",卡卡莉娜,Priest,Holy,healer,Isillien
3,310,301898439,9,The Stonevault,2024-10-21T14:01:40.000Z,1166011,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",卡卡西索,Shaman,Elemental,dps,Isillien
3,310,301898439,9,The Stonevault,2024-10-21T14:01:40.000Z,1166011,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",毛爷挺住,Death Knight,Blood,tank,Isillien
3,310,301898439,9,The Stonevault,2024-10-21T14:01:40.000Z,1166011,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",天元空我,Druid,Balance,dps,Al'ar
3,310,301898439,9,The Stonevault,2024-10-21T14:01:40.000Z,1166011,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",丶渔火,Priest,Shadow,dps,Isillien
4,310,300821227,9,The Stonevault,2024-10-17T09:42:52.000Z,1178228,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",佟翠花,Rogue,Assassination,dps,Al'ar
4,310,300821227,9,The Stonevault,2024-10-17T09:42:52.000Z,1178228,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",阿木木灬,Shaman,Restoration,healer,Al'ar
4,310,300821227,9,The Stonevault,2024-10-17T09:42:52.000Z,1178228,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",文成宇,Warrior,Protection,tank,Burning Blade
4,310,300821227,9,The Stonevault,2024-10-17T09:42:52.000Z,1178228,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",尛奥,Evoker,Augmentation,dps,Al'ar
4,310,300821227,9,The Stonevault,2024-10-17T09:42:52.000Z,1178228,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",雯雯信仰圣光,Paladin,Retribution,dps,Argus
5,309.4,301068259,9,The Stonevault,2024-10-18T12:17:10.000Z,1275059,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",超级电电電,Shaman,Elemental,dps,Zalazane
5,309.4,301068259,9,The Stonevault,2024-10-18T12:17:10.000Z,1275059,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",特拉蒙丶,Warrior,Protection,tank,Silver Hand
5,309.4,301068259,9,The Stonevault,2024-10-18T12:17:10.000Z,1275059,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",萧瑟霜,Shaman,Restoration,healer,Zalazane
5,309.4,301068259,9,The Stonevault,2024-10-18T12:17:10.000Z,1275059,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",丶睡叔叔,Evoker,Augmentation,dps,Silver Hand
5,309.4,301068259,9,The Stonevault,2024-10-18T12:17:10.000Z,1275059,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",亚里亚,Paladin,Retribution,dps,Scarlet Crusade
6,309.3,300853370,9,The Stonevault,2024-10-17T14:09:35.000Z,1279858,2070999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",小结界,Evoker,Preservation,healer,The Great Sea
6,309.3,300853370,9,The Stonevault,2024-10-17T14:09:35.000Z,1279858,2070999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Tym,Warrior,Fury,dps,The Great Sea
6,309.3,300853370,9,The Stonevault,2024-10-17T14:09:35.000Z,1279858,2070999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",星见雅,Demon Hunter,Havoc,dps,Rhonin
6,309.3,300853370,9,The Stonevault,2024-10-17T14:09:35.000Z,1279858,2070999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",雷丨恐怖图腾,Mage,Fire,dps,Silver Hand
6,309.3,300853370,9,The Stonevault,2024-10-17T14:09:35.000Z,1279858,2070999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",黑猫的隐语,Warrior,Protection,tank,Valley of Kings
7,309.3,300819597,9,The Stonevault,2024-10-17T09:15:01.000Z,1279967,2070999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",佟翠花,Rogue,Assassination,dps,Al'ar
