rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,309.1,297829365,9,The Stonevault,2024-10-05T09:17:41.000Z,1289759,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",步天,Hunter,Marksmanship,dps,Scarlet Crusade
1,309.1,297829365,9,The Stonevault,2024-10-05T09:17:41.000Z,1289759,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",卡拉星歌,Monk,Windwalker,dps,Echo Ridge
1,309.1,297829365,9,The Stonevault,2024-10-05T09:17:41.000Z,1289759,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",活动人偶,Death Knight,Blood,tank,Alleria
1,309.1,297829365,9,The Stonevault,2024-10-05T09:17:41.000Z,1289759,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",乌鸦过载了,Shaman,Restoration,healer,Scarlet Crusade
1,309.1,297829365,9,The Stonevault,2024-10-05T09:17:41.000Z,1289759,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Ellysia,Death Knight,Frost,dps,Scarlet Crusade
2,308.6,294936493,9,The Stonevault,2024-10-06T15:35:50.000Z,1319450,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Gawainejey,Death Knight,Unholy,dps,Rhonin
2,308.6,294936493,9,The Stonevault,2024-10-06T15:35:50.000Z,1319450,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",歪特多拉贡,Evoker,Devastation,dps,Valley of Kings
2,308.6,294936493,9,The Stonevault,2024-10-06T15:35:50.000Z,1319450,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",慢满,Shaman,Restoration,healer,Valley of Kings
2,308.6,294936493,9,The Stonevault,2024-10-06T15:35:50.000Z,1319450,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",小怪兽啊哈酱,Demon Hunter,Vengeance,tank,Valley of Kings
2,308.6,294936493,9,The Stonevault,2024-10-06T15:35:50.000Z,1319450,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",大丨帝,Warrior,Fury,dps,Valley of Kings
3,308.5,297429892,9,The Stonevault,2024-10-03T19:07:41.000Z,1323519,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",听凭风引,Shaman,Elemental,dps,Grim Batol
3,308.5,297429892,9,The Stonevault,2024-10-03T19:07:41.000Z,1323519,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",小德医生,Druid,Restoration,healer,Deathwing
3,308.5,297429892,9,The Stonevault,2024-10-03T19:07:41.000Z,1323519,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",段秋风丶,Death Knight,Frost,dps,Silver Hand
3,308.5,297429892,9,The Stonevault,2024-10-03T19:07:41.000Z,1323519,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",意见欲,Death Knight,Unholy,dps,The Great Sea
3,308.5,297429892,9,The Stonevault,2024-10-03T19:07:41.000Z,1323519,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Sarai,Death Knight,Blood,tank,Deathwing
4,306.8,297932131,9,The Stonevault,2024-10-05T18:01:42.000Z,1418498,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",阙景,Death Knight,Unholy,dps,Burning Blade
4,306.8,297932131,9,The Stonevault,2024-10-05T18:01:42.000Z,1418498,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",七堇丶,Mage,Fire,dps,Burning Blade
4,306.8,297932131,9,The Stonevault,2024-10-05T18:01:42.000Z,1418498,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",油炸鸭鸭,Paladin,Protection,tank,Barrens
4,306.8,297932131,9,The Stonevault,2024-10-05T18:01:42.000Z,1418498,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",小呆纸丶,Demon Hunter,Havoc,dps,Silver Hand
4,306.8,297932131,9,The Stonevault,2024-10-05T18:01:42.000Z,1418498,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Makki,Priest,Discipline,healer,Shadowmourne
5,306.7,297407193,9,The Stonevault,2024-10-03T16:25:26.000Z,1424162,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Macleans,Mage,Fire,dps,Silver Hand
5,306.7,297407193,9,The Stonevault,2024-10-03T16:25:26.000Z,1424162,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",步听话,Priest,Holy,healer,Burning Blade
5,306.7,297407193,9,The Stonevault,2024-10-03T16:25:26.000Z,1424162,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",熠星,Paladin,Retribution,dps,Burning Blade
5,306.7,297407193,9,The Stonevault,2024-10-03T16:25:26.000Z,1424162,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",阿貝师傅,Mage,Frost,dps,Alterac Mountains
5,306.7,297407193,9,The Stonevault,2024-10-03T16:25:26.000Z,1424162,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",宽恕丶,Demon Hunter,Vengeance,tank,Silver Hand
6,306.4,298156575,9,The Stonevault,2024-10-06T13:42:31.000Z,1441769,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",农村信用社,Demon Hunter,Vengeance,tank,Blanchard
6,306.4,298156575,9,The Stonevault,2024-10-06T13:42:31.000Z,1441769,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",丶晓茹,Mage,Fire,dps,Shadowmourne
6,306.4,298156575,9,The Stonevault,2024-10-06T13:42:31.000Z,1441769,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",依然飯特稀灬,Death Knight,Frost,dps,Shadowmourne
6,306.4,298156575,9,The Stonevault,2024-10-06T13:42:31.000Z,1441769,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",魔龙丶灾,Shaman,Elemental,dps,Scarlet Crusade
6,306.4,298156575,9,The Stonevault,2024-10-06T13:42:31.000Z,1441769,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",梵渡,Priest,Discipline,healer,Silver Hand
7,306.3,309519044,9,The Stonevault,2024-11-28T17:12:51.000Z,1445804,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Baoqisangqs,Paladin,Protection,tank,Grim Batol
7,306.3,309519044,9,The Stonevault,2024-11-28T17:12:51.000Z,1445804,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",女子女乃爸,Priest,Discipline,healer,Hectae
7,306.3,309519044,9,The Stonevault,2024-11-28T17:12:51.000Z,1445804,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",晴天小圣,Death Knight,Frost,dps,Silver Hand
7,306.3,309519044,9,The Stonevault,2024-11-28T17:12:51.000Z,1445804,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",趴趴狗,Shaman,Enhancement,dps,Scarlet Crusade
7,306.3,309519044,9,The Stonevault,2024-11-28T17:12:51.000Z,1445804,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",践踏哀木涕,Warrior,Fury,dps,Valley of Kings
8,306.3,297922900,9,The Stonevault,2024-10-05T17:26:08.000Z,1447947,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Wriothesley,Warlock,Affliction,dps,Grim Batol
8,306.3,297922900,9,The Stonevault,2024-10-05T17:26:08.000Z,1447947,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",西瓜沃特妹冷,Druid,Guardian,tank,Al'ar
8,306.3,297922900,9,The Stonevault,2024-10-05T17:26:08.000Z,1447947,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",我不认鹿啊,Paladin,Retribution,dps,Al'ar
8,306.3,297922900,9,The Stonevault,2024-10-05T17:26:08.000Z,1447947,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Stylesme,Demon Hunter,Havoc,dps,Deathwing
