rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,303773179,9,The Stonevault,2024-10-29T12:15:51.000Z,912319,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Nathelum,Shaman,Restoration,healer,Thrall
1,310,303773179,9,The Stonevault,2024-10-29T12:15:51.000Z,912319,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Keihatsu,Demon Hunter,Vengeance,tank,Thrall
1,310,303773179,9,The Stonevault,2024-10-29T12:15:51.000Z,912319,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Oyajî,Evoker,Augmentation,dps,Eredar
1,310,303773179,9,The Stonevault,2024-10-29T12:15:51.000Z,912319,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Frementr-199821729,Rogue,Assassination,dps,Stormreaver
1,310,303773179,9,The Stonevault,2024-10-29T12:15:51.000Z,912319,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Schamidu,Shaman,Enhancement,dps,Blackrock
2,310,302961398,9,The Stonevault,2024-10-26T16:35:04.000Z,963290,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Âlada,Shaman,Elemental,dps,Blackrock
2,310,302961398,9,The Stonevault,2024-10-26T16:35:04.000Z,963290,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Flummixfotm,Paladin,Protection,tank,Blackhand
2,310,302961398,9,The Stonevault,2024-10-26T16:35:04.000Z,963290,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Tidemyass,Shaman,Restoration,healer,Blackhand
2,310,302961398,9,The Stonevault,2024-10-26T16:35:04.000Z,963290,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Xailsham,Shaman,Elemental,dps,Blackmoore
2,310,302961398,9,The Stonevault,2024-10-26T16:35:04.000Z,963290,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Smts-229928790,Shaman,Enhancement,dps,Blackhand
3,310,302408872,9,The Stonevault,2024-10-23T23:59:54.000Z,997191,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Charien,Shaman,Elemental,dps,Twisting Nether
3,310,302408872,9,The Stonevault,2024-10-23T23:59:54.000Z,997191,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Supreemxo,Death Knight,Unholy,dps,Tarren Mill
3,310,302408872,9,The Stonevault,2024-10-23T23:59:54.000Z,997191,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Imridruid,Druid,Restoration,healer,Draenor
3,310,302408872,9,The Stonevault,2024-10-23T23:59:54.000Z,997191,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Wisp,Paladin,Retribution,dps,Dalaran
3,310,302408872,9,The Stonevault,2024-10-23T23:59:54.000Z,997191,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Brbxshield,Warrior,Protection,tank,Ysondre
4,310,302366556,9,The Stonevault,2024-10-23T18:31:49.000Z,1030398,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Shpøngle,Warrior,Fury,dps,Eredar
4,310,302366556,9,The Stonevault,2024-10-23T18:31:49.000Z,1030398,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Lhedruid,Druid,Guardian,tank,Eredar
4,310,302366556,9,The Stonevault,2024-10-23T18:31:49.000Z,1030398,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Brosamdî,Monk,Windwalker,dps,Thrall
4,310,302366556,9,The Stonevault,2024-10-23T18:31:49.000Z,1030398,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Greecesfotm,Priest,Discipline,healer,Tarren Mill
4,310,302366556,9,The Stonevault,2024-10-23T18:31:49.000Z,1030398,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Liluniq,Shaman,Elemental,dps,Tarren Mill
5,310,303327914,9,The Stonevault,2024-10-28T00:12:33.000Z,1037487,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Strikepal,Paladin,Protection,tank,Draenor
5,310,303327914,9,The Stonevault,2024-10-28T00:12:33.000Z,1037487,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Pepegamagus,Mage,Arcane,dps,Draenor
5,310,303327914,9,The Stonevault,2024-10-28T00:12:33.000Z,1037487,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Imapotatoo,Evoker,Preservation,healer,Kazzak
5,310,303327914,9,The Stonevault,2024-10-28T00:12:33.000Z,1037487,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Monksite,Monk,Windwalker,dps,Kazzak
5,310,303327914,9,The Stonevault,2024-10-28T00:12:33.000Z,1037487,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Anadearmas,Warrior,Fury,dps,Sanguino
6,310,302208945,9,The Stonevault,2024-10-27T19:56:50.000Z,1051417,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Nasuí,Paladin,Protection,tank,Draenor
6,310,302208945,9,The Stonevault,2024-10-27T19:56:50.000Z,1051417,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Garradan,Warrior,Fury,dps,Tarren Mill
6,310,302208945,9,The Stonevault,2024-10-27T19:56:50.000Z,1051417,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Vusham,Shaman,Restoration,healer,Tarren Mill
6,310,302208945,9,The Stonevault,2024-10-27T19:56:50.000Z,1051417,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Showmemoon,Druid,Balance,dps,Silvermoon
6,310,302208945,9,The Stonevault,2024-10-27T19:56:50.000Z,1051417,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Losmidk,Death Knight,Frost,dps,Tarren Mill
7,310,302905795,9,The Stonevault,2024-10-26T11:23:42.000Z,1065632,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Màgøulle,Shaman,Elemental,dps,Sargeras
7,310,302905795,9,The Stonevault,2024-10-26T11:23:42.000Z,1065632,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Lancardx,Demon Hunter,Havoc,dps,Twisting Nether
7,310,302905795,9,The Stonevault,2024-10-26T11:23:42.000Z,1065632,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Kiligân,Monk,Mistweaver,healer,Hyjal
7,310,302905795,9,The Stonevault,2024-10-26T11:23:42.000Z,1065632,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Kraptiote,Warrior,Protection,tank,Sargeras
7,310,302905795,9,The Stonevault,2024-10-26T11:23:42.000Z,1065632,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Nightseekz-110205009,Druid,Balance,dps,Draenor
8,310,303635353,9,The Stonevault,2024-10-29T14:09:41.000Z,1073469,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Sharty,Demon Hunter,Havoc,dps,Garona
8,310,303635353,9,The Stonevault,2024-10-29T14:09:41.000Z,1073469,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Veevoh,Shaman,Restoration,healer,Garona
8,310,303635353,9,The Stonevault,2024-10-29T14:09:41.000Z,1073469,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Varini,Mage,Arcane,dps,Twisting Nether
8,310,303635353,9,The Stonevault,2024-10-29T14:09:41.000Z,1073469,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Shayvan-144542436,Shaman,Elemental,dps,Tarren Mill
8,310,303635353,9,The Stonevault,2024-10-29T14:09:41.000Z,1073469,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Pøulet,Druid,Guardian,tank,Garona
9,310,302282731,9,The Stonevault,2024-10-23T09:31:39.000Z,1091038,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Paliosvk,Shaman,Elemental,dps,Drak'thul
9,310,302282731,9,The Stonevault,2024-10-23T09:31:39.000Z,1091038,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Tere,Hunter,Survival,dps,Drak'thul
9,310,302282731,9,The Stonevault,2024-10-23T09:31:39.000Z,1091038,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Wysh,Priest,Shadow,dps,Stormreaver
9,310,302282731,9,The Stonevault,2024-10-23T09:31:39.000Z,1091038,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Equalizers,Shaman,Restoration,healer,Tarren Mill
9,310,302282731,9,The Stonevault,2024-10-23T09:31:39.000Z,1091038,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Razbojnica,Warrior,Protection,tank,Drak'thul
10,310,302907924,9,The Stonevault,2024-10-26T11:47:25.000Z,1096611,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Kalasnilola-121874264,Death Knight,Unholy,dps,Uldum
10,310,302907924,9,The Stonevault,2024-10-26T11:47:25.000Z,1096611,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Лепреклоп,Shaman,Restoration,healer,Gordunni
10,310,302907924,9,The Stonevault,2024-10-26T11:47:25.000Z,1096611,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Altishammy,Shaman,Elemental,dps,Twisting Nether
10,310,302907924,9,The Stonevault,2024-10-26T11:47:25.000Z,1096611,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Даюзазу,Paladin,Protection,tank,Gordunni
10,310,302907924,9,The Stonevault,2024-10-26T11:47:25.000Z,1096611,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Бабленый,Paladin,Retribution,dps,Gordunni
11,310,302921402,9,The Stonevault,2024-10-26T12:49:35.000Z,1098471,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Turl,Paladin,Retribution,dps,Blackhand
11,310,302921402,9,The Stonevault,2024-10-26T12:49:35.000Z,1098471,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Blanquitah,Shaman,Restoration,healer,Zul'jin
11,310,302921402,9,The Stonevault,2024-10-26T12:49:35.000Z,1098471,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Wucelote,Paladin,Retribution,dps,Sanguino
11,310,302921402,9,The Stonevault,2024-10-26T12:49:35.000Z,1098471,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Moroewpal,Paladin,Retribution,dps,Blackhand
11,310,302921402,9,The Stonevault,2024-10-26T12:49:35.000Z,1098471,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Roxadin,Paladin,Protection,tank,Blackhand
