rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,308346832,9,The Stonevault,2024-11-20T22:12:31.000Z,918418,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Shabentman,Shaman,Enhancement,dps,Stormreaver
1,310,308346832,9,The Stonevault,2024-11-20T22:12:31.000Z,918418,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Dissie,Death Knight,Blood,tank,Stormreaver
1,310,308346832,9,The Stonevault,2024-11-20T22:12:31.000Z,918418,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Furzawf,Shaman,Enhancement,dps,Stormreaver
1,310,308346832,9,The Stonevault,2024-11-20T22:12:31.000Z,918418,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Japer,Rogue,Assassination,dps,Stormreaver
1,310,308346832,9,The Stonevault,2024-11-20T22:12:31.000Z,918418,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Healingyours,Druid,Restoration,healer,Aggra (Português)
2,310,308581213,9,The Stonevault,2024-11-22T14:55:32.000Z,1029162,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Ifir,Warrior,Fury,dps,Hyjal
2,310,308581213,9,The Stonevault,2024-11-22T14:55:32.000Z,1029162,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Shadowsenpai,Priest,Discipline,healer,Kazzak
2,310,308581213,9,The Stonevault,2024-11-22T14:55:32.000Z,1029162,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Mînoar,Paladin,Protection,tank,Stormscale
2,310,308581213,9,The Stonevault,2024-11-22T14:55:32.000Z,1029162,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Smellyoxen,Shaman,Enhancement,dps,Twisting Nether
2,310,308581213,9,The Stonevault,2024-11-22T14:55:32.000Z,1029162,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Acêso,Paladin,Retribution,dps,Ravencrest
3,310,308589074,9,The Stonevault,2024-11-22T13:24:53.000Z,1033790,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Sevenpala,Paladin,Holy,healer,Tarren Mill
3,310,308589074,9,The Stonevault,2024-11-22T13:24:53.000Z,1033790,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Podgnil,Death Knight,Frost,dps,Silvermoon
3,310,308589074,9,The Stonevault,2024-11-22T13:24:53.000Z,1033790,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Radac,Death Knight,Unholy,dps,Silvermoon
3,310,308589074,9,The Stonevault,2024-11-22T13:24:53.000Z,1033790,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Necsorus,Paladin,Protection,tank,Silvermoon
3,310,308589074,9,The Stonevault,2024-11-22T13:24:53.000Z,1033790,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Montechristo,Mage,Frost,dps,Silvermoon
4,310,308774241,9,The Stonevault,2024-11-23T15:50:50.000Z,1053276,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Shámanx,Shaman,Enhancement,dps,Eredar
4,310,308774241,9,The Stonevault,2024-11-23T15:50:50.000Z,1053276,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Dualipa,Paladin,Protection,tank,Dentarg
4,310,308774241,9,The Stonevault,2024-11-23T15:50:50.000Z,1053276,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Trashlóck,Warlock,Destruction,dps,Twisting Nether
4,310,308774241,9,The Stonevault,2024-11-23T15:50:50.000Z,1053276,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Permorberg,Death Knight,Frost,dps,Ragnaros
4,310,308774241,9,The Stonevault,2024-11-23T15:50:50.000Z,1053276,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Ékstróm,Monk,Mistweaver,healer,Twisting Nether
5,310,308843906,9,The Stonevault,2024-11-23T13:59:46.000Z,1064071,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Askjell,Warrior,Fury,dps,Mug'thol
5,310,308843906,9,The Stonevault,2024-11-23T13:59:46.000Z,1064071,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Kääpä,Shaman,Restoration,healer,Trollbane
5,310,308843906,9,The Stonevault,2024-11-23T13:59:46.000Z,1064071,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Pewedp,Paladin,Retribution,dps,Twisting Nether
5,310,308843906,9,The Stonevault,2024-11-23T13:59:46.000Z,1064071,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Nukeskull,Paladin,Protection,tank,Tarren Mill
5,310,308843906,9,The Stonevault,2024-11-23T13:59:46.000Z,1064071,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Guxran,Rogue,Assassination,dps,Draenor
6,310,308593676,9,The Stonevault,2024-11-22T16:26:14.000Z,1078663,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Palapaula,Paladin,Protection,tank,Blackhand
6,310,308593676,9,The Stonevault,2024-11-22T16:26:14.000Z,1078663,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Casè,Rogue,Assassination,dps,Blackhand
6,310,308593676,9,The Stonevault,2024-11-22T16:26:14.000Z,1078663,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Lúfí,Paladin,Holy,healer,Draenor
6,310,308593676,9,The Stonevault,2024-11-22T16:26:14.000Z,1078663,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Ündërsound,Shaman,Enhancement,dps,Aggra (Português)
6,310,308593676,9,The Stonevault,2024-11-22T16:26:14.000Z,1078663,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Jvn,Druid,Balance,dps,Gul'dan
7,310,308374066,9,The Stonevault,2024-11-20T22:33:33.000Z,1085898,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Мрбаблх,Paladin,Retribution,dps,Howling Fjord
7,310,308374066,9,The Stonevault,2024-11-20T22:33:33.000Z,1085898,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Kemÿ,Shaman,Restoration,healer,Doomhammer
7,310,308374066,9,The Stonevault,2024-11-20T22:33:33.000Z,1085898,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Холодимыч,Death Knight,Frost,dps,Gordunni
7,310,308374066,9,The Stonevault,2024-11-20T22:33:33.000Z,1085898,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Джитцх,Paladin,Protection,tank,Gordunni
7,310,308374066,9,The Stonevault,2024-11-20T22:33:33.000Z,1085898,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Kawajiothere,Shaman,Enhancement,dps,Tarren Mill
8,310,308515919,9,The Stonevault,2024-11-21T21:48:12.000Z,1089970,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Rescuepanda,Rogue,Assassination,dps,Ravencrest
8,310,308515919,9,The Stonevault,2024-11-21T21:48:12.000Z,1089970,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Dondodem,Shaman,Enhancement,dps,Twisting Nether
8,310,308515919,9,The Stonevault,2024-11-21T21:48:12.000Z,1089970,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Celypala,Paladin,Protection,tank,Ravencrest
8,310,308515919,9,The Stonevault,2024-11-21T21:48:12.000Z,1089970,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Cdurpal,Paladin,Retribution,dps,Hyjal
8,310,308515919,9,The Stonevault,2024-11-21T21:48:12.000Z,1089970,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Ochdsc,Priest,Discipline,healer,Hyjal
9,310,308628689,9,The Stonevault,2024-11-22T17:16:30.000Z,1104676,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Reitos,Paladin,Protection,tank,Twisting Nether
9,310,308628689,9,The Stonevault,2024-11-22T17:16:30.000Z,1104676,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Iciclewarmer,Mage,Frost,dps,Kazzak
9,310,308628689,9,The Stonevault,2024-11-22T17:16:30.000Z,1104676,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Alecaster,Shaman,Enhancement,dps,Tarren Mill
9,310,308628689,9,The Stonevault,2024-11-22T17:16:30.000Z,1104676,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Frankjensen,Priest,Discipline,healer,Tarren Mill
9,310,308628689,9,The Stonevault,2024-11-22T17:16:30.000Z,1104676,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Nedelya,Demon Hunter,Havoc,dps,Kazzak
10,310,308745069,9,The Stonevault,2024-11-23T14:42:08.000Z,1105200,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Waraëlle,Hunter,Beast Mastery,dps,Dalaran
10,310,308745069,9,The Stonevault,2024-11-23T14:42:08.000Z,1105200,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Nemefist,Monk,Windwalker,dps,Azshara
10,310,308745069,9,The Stonevault,2024-11-23T14:42:08.000Z,1105200,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Кренгенланд,Paladin,Protection,tank,Gordunni
10,310,308745069,9,The Stonevault,2024-11-23T14:42:08.000Z,1105200,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Arko,Warrior,Fury,dps,Shattrath
10,310,308745069,9,The Stonevault,2024-11-23T14:42:08.000Z,1105200,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Skîps,Priest,Discipline,healer,Ysondre
11,310,308414229,9,The Stonevault,2024-11-21T11:05:36.000Z,1112150,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Darwinning,Druid,Restoration,healer,Sylvanas
